post_mean,post_median,post_std,q025,q975,estimand,model,method
0.1600446254014969,0.15803298354148865,0.022116842,0.1222899779677391,0.20803651213645935,stoch_30,Observed,Observed
0.1716960370540619,0.16616347432136536,0.037261583,0.11329711973667145,0.25820884108543396,stoch_50,Observed,Observed
0.18321596086025238,0.1723557710647583,0.054417852,0.10462596267461777,0.3163682818412781,stoch_70,Observed,Observed
0.15800891816616058,0.1535116732120514,0.026907289400696754,0.11883901059627533,0.22401249408721924,stoch_30,Noisy (single),Plug-in
0.17305980622768402,0.16152611374855042,0.044314399,0.11932267248630524,0.2971700429916382,stoch_50,Noisy (single),Plug-in
0.18891750276088715,0.17059685289859772,0.061174661,0.1204320415854454,0.367682546,stoch_70,Noisy (single),Plug-in
0.3220914602279663,0.3258976638317108,0.073208094,0.17554306983947754,0.45547059178352356,stoch_30,Noisy (repeated),Plug-in
0.4505496025085449,0.4703214466571808,0.10153710097074509,0.203027606,0.6023937463760376,stoch_50,Noisy (repeated),Plug-in
0.5453720688819885,0.5721559524536133,0.11386245489120483,0.23274460434913635,0.6955508589744568,stoch_70,Noisy (repeated),Plug-in
0.2007277011871338,0.1935906708240509,0.047529563307762146,0.1268351674079895,0.3103567957878113,stoch_30,Multi-layer,Plug-in
0.2523820698261261,0.2385384738445282,0.087080188,0.12190072983503342,0.4393945634365082,stoch_50,Multi-layer,Plug-in
0.30180659890174866,0.2872692346572876,0.12221840769052505,0.11760196834802628,0.5454802513122559,stoch_70,Multi-layer,Plug-in
0.1623963564634323,0.1576545387506485,0.026590580120682716,0.1222747340798378,0.22537507116794586,stoch_30,Noisy (single),Multi-stage
0.1797947883605957,0.16802473366260529,0.042970117181539536,0.12572938203811646,0.2916552424430847,stoch_50,Noisy (single),Multi-stage
0.19805102050304413,0.17894917726516724,0.05940903,0.12927474081516266,0.3559780716896057,stoch_70,Noisy (single),Multi-stage
0.3151731789112091,0.3130563199520111,0.069711231,0.18846967816352844,0.4480234384536743,stoch_30,Noisy (repeated),Multi-stage
0.4419563412666321,0.4554244875907898,0.09330979,0.2340465933084488,0.589805007,stoch_50,Noisy (repeated),Multi-stage
0.5349873900413513,0.5556923151016235,0.099980526,0.2810174822807312,0.6777926087379456,stoch_70,Noisy (repeated),Multi-stage
0.19834738969802856,0.19021430611610413,0.050863489508628845,0.12197665870189667,0.3201169967651367,stoch_30,Multi-layer,Multi-stage
0.2461453676223755,0.23068749904632568,0.088671215,0.11762085556983948,0.4463132917881012,stoch_50,Multi-layer,Multi-stage
0.29188665747642517,0.27434206008911133,0.12241365015506744,0.11379941552877426,0.5489548444747925,stoch_70,Multi-layer,Multi-stage
