idx,layer,model,estimand,mean,median,TRUE,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
0,lunch,true_net,stoch,2.2683,2.16979,2.50467,-0.23636,0.20495999,0.12491,0.090339996,TRUE,1,1.0847529
0,lunch,true_net,gate,5.6965,5.40408,6.2918,-0.59529996,0.51534,0.12514,0.09045,TRUE,1,1.0847529
0,lunch,agg_or,stoch,1.99342,1.85952,2.50467,-0.51124996,0.35593998,0.24871999,0.24439,TRUE,0.52459,4.131435
0,lunch,agg_or,gate,4.99921,4.65106,6.2918,-1.29259,0.89624995,0.24998999,0.24427,TRUE,0.54098,4.131435
0,lunch,agg_and,stoch,1.34285,1.34143,2.50467,-1.1618099,0.17565,0.46912998,0.42847,FALSE,0.098359995,5.101647
0,lunch,agg_and,gate,3.35739,3.36019,6.2918,-2.9344199,0.43921998,0.47158,0.42964998,FALSE,0.08197,5.101647
0,lunch,two_stage,stoch,2.395156,2.2523,2.50467,-0.109514,0.48738998,0.16101600000000002,0.135096,TRUE,0.95081997,1.9481713
0,lunch,two_stage,gate,6.0062425,5.8101497,6.2918,-0.2855575,1.25151,0.16475999200000002,0.135456,TRUE,1,1.9481713
0,lunch,MWG,stoch,2.327332513,2.29505,2.50467,-0.177337488,0.21266,0.132691,0.094289,TRUE,1,1.236283
0,lunch,MWG,gate,5.8437875,5.72745,6.2918,-0.4480125,0.53485,0.133029,0.095186,TRUE,1,1.236283
1,lunch,true_net,stoch,2.55779,2.41506,2.50643,0.05136,0.2298,0.093949996,0.020569999,TRUE,1,0.75960743
1,lunch,true_net,gate,6.4207497,6.06288,6.2918,0.12894,0.57648,0.09389,0.020569999,TRUE,1,0.75960743
1,lunch,agg_or,stoch,1.47696,1.4171,2.50643,-1.02947,0.38749,0.43886,0.38114,FALSE,0.32786998,4.458307
1,lunch,agg_or,gate,3.71796,3.56805,6.2918,-2.57384,0.97884,0.43765998,0.37961,FALSE,0.32786998,4.458307
1,lunch,agg_and,stoch,1.23815,1.23689,2.50643,-1.2682799,0.17595999,0.51085997,0.4676,FALSE,0.06557,4.82657
1,lunch,agg_and,gate,3.11409,3.1138098,6.2918,-3.1777098,0.44265,0.50993,0.46649,FALSE,0.06557,4.82657
1,lunch,two_stage,stoch,2.129166,1.88032,2.50643,-0.377264,0.46221998,0.20453598400000003,0.168352,TRUE,0.90164,1.90818
1,lunch,two_stage,gate,5.344101085,5.0484,6.2918,-0.947698915,1.17694,0.206136,0.169936,TRUE,0.98361,1.90818
1,lunch,MWG,stoch,2.630654993,2.4696798,2.50643,0.12422499249999999,0.2511,0.14006200000000002,0.060463,TRUE,0.98361,0.8054446
1,lunch,MWG,gate,6.607125,6.2048097,6.2918,0.31532499999999997,0.63025,0.140269987,0.06058,TRUE,0.98361,0.8054446
2,lunch,true_net,stoch,2.7062,2.60174,2.51829,0.18790999,0.12119,0.08879,0.08727,TRUE,0.60656,0.98939914
2,lunch,true_net,gate,6.7637496,6.43358,6.2918,0.47195,0.30276,0.08912,0.087629996,TRUE,0.62294996,0.98939914
