idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
13_0_0,true_net,dynamic,1.0,3.87268,3.37914,3.87132,0.00136,0.01284,0.01291,0.0033399998,0.00137,0.00043,3.8481052,3.898162,True,1.0,0.27089757
13_0_0,true_net,stoch,1.0,4.8975997,4.75114,4.8958898,0.00171,0.0162,0.01628,0.00333,0.00171,0.00034,4.866564,4.929714,True,1.0,0.27089757
13_0_0,obs_net,dynamic,1.0,1.61812,0.75355,3.87132,-2.25319,0.15242,2.25834,0.58335,2.25319,0.63054,1.3210411,1.9141154,False,0.0019999999,5.6953125
13_0_0,obs_net,stoch,1.0,2.0040898,1.97398,4.8958898,-2.8918,0.18008,2.89741,0.5918,2.89181,0.58057,1.6519442,2.3538008,False,0.0,5.6953125
13_0_0,MWG,dynamic,1.0,3.8892798,3.25422,3.87132,0.017959999,0.10165,0.10322,0.026659999,0.48055997,0.15724,3.6972783,4.102481,True,0.854,2.251511
13_0_0,MWG,stoch,1.0,4.9281797,4.74833,4.8958898,0.032279998,0.37019998,0.37161,0.075899996,0.27831998,0.05878,4.240122,5.6820908,True,0.99799997,2.251511
13_0_0,MWG_rep,dynamic,1.0,4.91176,4.2378097,3.87132,1.04044,0.15038,1.05125,0.27155,1.08651,0.37985,4.6021967,5.1855607,False,0.34199998,3.8071334
13_0_0,MWG_rep,stoch,1.0,6.27373,6.124,4.8958898,1.3778399,0.43545,1.44501,0.29514998,1.3778399,0.29760998,5.4598737,7.15982,False,0.282,3.8071334
13_0_1,true_net,dynamic,1.5,3.8727598,3.3790798,3.87132,0.00144,0.01268,0.012759999,0.0033,0.00145,0.00045999998,3.8481042,3.8975859,True,1.0,0.26643416
13_0_1,true_net,stoch,1.5,4.8977,4.7511797,4.8958898,0.0018,0.01599,0.01609,0.00329,0.0018,0.00036,4.8666306,4.9290304,True,1.0,0.26643416
13_0_1,obs_net,dynamic,1.5,1.46407,0.61346996,3.87132,-2.40725,0.18531999,2.4143698,0.62365997,2.40725,0.67710996,1.1049119,1.8279207,False,0.0019999999,6.057256
13_0_1,obs_net,stoch,1.5,1.8024,1.78358,4.8958898,-3.09349,0.21147999,3.10071,0.63333,3.09349,0.62224,1.3958721,2.2175949,False,0.0,6.057256
13_0_1,MWG,dynamic,1.5,3.6984298,3.1336498,3.87132,-0.17289,0.119619995,0.21023,0.054309998,0.52966,0.16247,3.5066638,3.9434092,True,0.876,1.6754442
13_0_1,MWG,stoch,1.5,4.69207,4.52184,4.8958898,-0.20381999,0.35987,0.41358,0.084479995,0.33286,0.067109995,4.0135827,5.431111,True,0.988,1.6754442
13_0_1,MWG_rep,dynamic,1.5,3.52704,2.92549,3.87132,-0.34428,0.13759999,0.37076,0.095769994,0.57023996,0.1651,3.2358584,3.7294726,False,0.72999996,2.0083375
13_0_1,MWG_rep,stoch,1.5,4.5052,4.36193,4.8958898,-0.39069,0.33471,0.51445997,0.10508,0.45369998,0.08975,3.8754787,5.1946793,True,0.964,2.0083375
13_0_2,true_net,dynamic,2.0,3.8727,3.3790898,3.87132,0.0013799999,0.0131,0.013169999,0.0033999998,0.00139,0.00043999997,3.8468657,3.8987927,True,1.0,0.27057728
13_0_2,true_net,stoch,2.0,4.8976197,4.75112,4.8958898,0.00172,0.01653,0.01661,0.00339,0.00172,0.00035,4.8651214,4.930546,True,1.0,0.27057728
13_0_2,obs_net,dynamic,2.0,1.31099,0.50574,3.87132,-2.56033,0.22535999,2.57023,0.66391,2.56033,0.72275,0.86804676,1.753527,False,0.0,6.392198
13_0_2,obs_net,stoch,2.0,1.62466,1.6164999,4.8958898,-3.27124,0.25408998,3.28109,0.67017,3.27124,0.65929997,1.1276362,2.123529,False,0.0,6.392198
13_0_2,MWG,dynamic,2.0,0.0049199997,-0.00517,3.87132,-3.8664,0.0,3.8664,0.99873,3.8664,1.00133,0.004920527,0.004920527,False,0.0,21.642857
13_0_2,MWG,stoch,2.0,0.00966,0.01112,4.8958898,-4.88623,0.0019299999,4.88623,0.99802995,4.88623,0.99796,0.0062806625,0.013667155,False,0.0,21.642857
13_0_2,MWG_rep,dynamic,2.0,3.44311,2.81576,3.87132,-0.42821,0.07786,0.43523,0.11242,0.65453,0.18675,3.2903569,3.5995677,False,0.678,2.0918798
13_0_2,MWG_rep,stoch,2.0,4.33178,4.1818,4.8958898,-0.56411,0.31412998,0.64567,0.13188,0.59094,0.117189996,3.739932,4.9666786,True,0.91599995,2.0918798
13_0_3,true_net,dynamic,2.5,3.8725798,3.3787699,3.87132,0.0012599999,0.01291,0.01297,0.00335,0.0012899999,0.00040999998,3.8469417,3.897542,True,1.0,0.26827642
13_0_3,true_net,stoch,2.5,4.89747,4.75092,4.8958898,0.0015799999,0.01627,0.01635,0.0033399998,0.0015799999,0.00032,4.8650813,4.9289064,True,1.0,0.26827642
13_0_3,obs_net,dynamic,2.5,1.35281,0.59856,3.87132,-2.5185099,0.29219,2.5354,0.65492,2.5185099,0.70813996,0.7737218,1.9397887,False,0.006,6.438373
