idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
10,true_net,dynamic,1.0,4.1478,3.67452,4.1500597,-0.00226,0.014339999,0.01452,0.0034999999,0.011539999,0.00278,4.119597,4.175459,True,1.0
10,true_net,stoch,1.0,4.99671,4.81874,4.99983,-0.0031299999,0.01709,0.01737,0.0034699999,0.013809999,0.0027599998,4.963043,5.029653,True,1.0
10,obs_net,dynamic,1.0,1.67004,0.77384996,4.1500597,-2.48002,0.15679,2.4849699,0.59878,2.48002,0.59758997,1.3671204,1.9835322,False,0.006
10,obs_net,stoch,1.0,2.06123,2.03257,4.99983,-2.9385998,0.18507,2.9444199,0.58889997,2.9385998,0.58774,1.7022963,2.43189,False,0.0
10,MWG,dynamic,1.0,4.18152,3.4767299,4.1500597,0.03145,0.33883,0.34028998,0.081999995,0.27642998,0.06661,3.511673,4.8159156,True,0.542
10,MWG,stochastic,1.0,5.09795,5.02557,4.99983,0.09811,0.50057,0.51009,0.102019995,0.40807,0.08162,4.1639004,6.1004696,True,0.84999996
10,MWG_rep,dynamic,1.0,3.82163,3.2725298,4.1500597,-0.32843998,0.09341,0.34146,0.082279995,0.32843998,0.07914,3.6460876,3.9943922,False,0.724
10,MWG_rep,stochastic,1.0,4.62463,4.46824,4.99983,-0.3752,0.32342,0.49534997,0.09907,0.41447,0.082899995,3.9940915,5.25783,True,0.974
16,true_net,dynamic,1.5,4.14825,3.6748798,4.1500597,-0.0018099999,0.014219999,0.01433,0.00345,0.01146,0.0027599998,4.1205206,4.1761274,True,1.0
16,true_net,stoch,1.5,4.99725,4.81922,4.99983,-0.00259,0.016929999,0.017129999,0.0034299998,0.0137,0.00274,4.9642262,5.0304985,True,1.0
16,obs_net,dynamic,1.5,1.56923,0.69321996,4.1500597,-2.5808399,0.17469999,2.58675,0.62329996,2.5808399,0.62188,1.222914,1.9066232,False,0.0039999997
16,obs_net,stoch,1.5,1.9259399,1.9051499,4.99983,-3.07389,0.20133999,3.0804799,0.61612,3.07389,0.6148,1.5258648,2.3167145,False,0.0
16,MWG,dynamic,1.5,3.87939,3.3857398,4.1500597,-0.27067,0.13013999,0.30034,0.07237,0.27078998,0.06525,3.590109,4.080295,False,0.842
16,MWG,stochastic,1.5,4.69302,4.5259,4.99983,-0.30681,0.34697,0.46317,0.09264,0.37951,0.075909995,4.0267563,5.37827,True,0.96199995
16,MWG_rep,dynamic,1.5,3.73382,3.2226498,4.1500597,-0.41625,0.114,0.43157998,0.103989996,0.41625,0.1003,3.5102942,3.9494727,False,0.676
16,MWG_rep,stochastic,1.5,4.49286,4.3483,4.99983,-0.50698,0.33944,0.61012,0.12203,0.52813,0.105629995,3.851639,5.169777,True,0.956
22,true_net,dynamic,2.0,4.14773,3.6742399,4.1500597,-0.00233,0.01392,0.01411,0.0033999998,0.01122,0.0026999998,4.120456,4.175116,True,1.0
22,true_net,stoch,2.0,4.9966297,4.8185697,4.99983,-0.0032,0.01657,0.01687,0.0033699998,0.01342,0.00268,4.9641824,5.0293307,True,1.0
22,obs_net,dynamic,2.0,1.53852,0.69193,4.1500597,-2.6115398,0.21069999,2.62003,0.63132,2.6115398,0.62928,1.1280053,1.9570414,False,0.0039999997
22,obs_net,stoch,2.0,1.87297,1.85592,4.99983,-3.12686,0.23593,3.1357498,0.62716997,3.12686,0.62539,1.412293,2.3400018,False,0.0
22,MWG,dynamic,2.0,3.4663599,2.93268,4.1500597,-0.68369997,0.12596999,0.69521,0.16752,0.68369997,0.16474,3.2520556,3.704186,False,0.74399996
22,MWG,stochastic,2.0,4.1016397,3.9245698,4.99983,-0.89818996,0.32995,0.95688,0.19138,0.89853996,0.17971,3.458585,4.748358,False,0.58
22,MWG_rep,dynamic,2.0,3.45218,2.83913,4.1500597,-0.69787997,0.08252,0.70273995,0.16933,0.69787997,0.16815999,3.2930777,3.6167288,False,0.452
22,MWG_rep,stochastic,2.0,4.1156898,3.97903,4.99983,-0.88413996,0.29373,0.93166,0.18633999,0.88426,0.17685999,3.5410237,4.6848626,False,0.752
28,true_net,dynamic,2.5,4.14811,3.67486,4.1500597,-0.00196,0.014269999,0.0144,0.0034699999,0.0114899995,0.00277,4.1193686,4.1757817,True,1.0
28,true_net,stoch,2.5,4.99707,4.81902,4.99983,-0.0027599998,0.01699,0.01722,0.00344,0.013719999,0.00275,4.9628077,5.0300927,True,1.0
28,obs_net,dynamic,2.5,1.6534,0.84913,4.1500597,-2.49666,0.23677999,2.50786,0.60429996,2.49666,0.6016,1.1781068,2.1195338,False,0.0039999997
28,obs_net,stoch,2.5,1.9928399,1.97706,4.99983,-3.007,0.26214,3.0184,0.6037,3.007,0.60142,1.4674158,2.5100946,False,0.0
28,MWG,dynamic,2.5,3.71871,3.1322598,4.1500597,-0.43135,0.11875,0.44739997,0.10781,0.43137,0.103939995,3.502511,3.9893668,False,0.80799997
28,MWG,stochastic,2.5,4.46027,4.29027,4.99983,-0.53955996,0.33178,0.63341,0.12669,0.55572,0.11115,3.8255093,5.1267767,True,0.858
28,MWG_rep,dynamic,2.5,3.64958,3.08858,4.1500597,-0.50049,0.09794,0.50997996,0.122889996,0.50049,0.1206,3.4526632,3.8365443,False,0.546
28,MWG_rep,stochastic,2.5,4.3621197,4.2283697,4.99983,-0.63772,0.30872,0.70851,0.14171,0.64243996,0.12849,3.7777853,4.9770527,False,0.89
34,true_net,dynamic,3.0,4.14757,3.67415,4.1500597,-0.0024899999,0.01394,0.01416,0.00341,0.01132,0.0027299998,4.120599,4.175163,True,1.0
34,true_net,stoch,3.0,4.99644,4.81841,4.99983,-0.0033999998,0.01661,0.01695,0.00339,0.013549999,0.00271,4.964117,5.029174,True,1.0
34,obs_net,dynamic,3.0,1.7087599,0.95148,4.1500597,-2.44131,0.27514,2.45676,0.59198,2.44131,0.58826,1.1707381,2.2415,False,0.006
34,obs_net,stoch,3.0,2.05228,2.03744,4.99983,-2.9475498,0.30391,2.9631798,0.59266,2.9475498,0.58953,1.4578778,2.6429622,False,0.0
34,MWG,dynamic,3.0,3.56843,3.0899398,4.1500597,-0.58164,0.10808,0.59159,0.14254999,0.58164,0.14015,3.3925312,3.7901063,False,0.788
34,MWG,stochastic,3.0,4.23442,4.05345,4.99983,-0.76541,0.33644998,0.83608997,0.16722,0.76756996,0.15352,3.583556,4.890123,False,0.7
34,MWG_rep,dynamic,3.0,3.5102398,2.93514,4.1500597,-0.63982,0.105399996,0.64844996,0.15625,0.63982,0.15416999,3.3013904,3.709586,False,0.564
34,MWG_rep,stochastic,3.0,4.25453,4.1247897,4.99983,-0.7453,0.30631,0.80579,0.16115999,0.74698997,0.1494,3.6770906,4.868852,False,0.83
40,true_net,dynamic,3.5,4.14786,3.6745298,4.1500597,-0.0022,0.014169999,0.014339999,0.0034599998,0.01143,0.00275,4.120464,4.175929,True,1.0
40,true_net,stoch,3.5,4.99677,4.81876,4.99983,-0.00306,0.01687,0.01715,0.0034299998,0.013669999,0.0027299998,4.96423,5.0302644,True,1.0
40,obs_net,dynamic,3.5,1.6086999,0.87662995,4.1500597,-2.54136,0.313,2.56056,0.61699,2.54136,0.61237,0.9960944,2.2209907,False,0.007999999
40,obs_net,stoch,3.5,1.94856,1.93607,4.99983,-3.05127,0.34860998,3.07112,0.61424,3.05127,0.61026996,1.2657561,2.6313787,False,0.0
40,MWG,dynamic,3.5,3.79962,3.2486498,4.1500597,-0.35044,0.14921999,0.38088998,0.09178,0.35198,0.084809996,3.5752869,4.1477513,False,0.82
40,MWG,stochastic,3.5,4.6346498,4.4569798,4.99983,-0.36518,0.38430998,0.53014,0.106029995,0.44359,0.08872,3.9260917,5.438489,True,0.96199995
40,MWG_rep,dynamic,3.5,3.50985,2.90498,4.1500597,-0.64021,0.13719,0.65475,0.15777,0.64021,0.15427,3.248201,3.7717695,False,0.542
40,MWG_rep,stochastic,3.5,4.3505697,4.21771,4.99983,-0.64927,0.31812,0.72301,0.14461,0.65502,0.13101,3.7537127,4.995286,False,0.88199997
65,true_net,dynamic,1.0,4.11911,3.6556299,4.12356,-0.00444,0.01243,0.0132,0.0032,0.0105099995,0.0025499999,4.094222,4.1437707,True,1.0
65,true_net,stoch,1.0,5.49116,5.28292,5.4972,-0.00604,0.01667,0.01773,0.00323,0.0141199995,0.00257,5.457728,5.524166,True,1.0
65,obs_net,dynamic,1.0,1.92255,1.13611,4.12356,-2.201,0.17593999,2.20802,0.53547,2.201,0.53376,1.585504,2.268654,False,0.0139999995
65,obs_net,stoch,1.0,2.44297,2.39039,5.4972,-3.05422,0.2225,3.06232,0.55706996,3.05422,0.5556,2.017241,2.8813345,False,0.0
65,MWG,dynamic,1.0,-0.24228999,-0.87442,4.12356,-4.36584,0.29742,4.37596,1.0612099,4.36584,1.0587599,-0.7676998,0.27999684,False,0.0
65,MWG,stochastic,1.0,-0.25193,-0.32415,5.4972,-5.7491198,0.35687998,5.76019,1.04784,5.7491198,1.04583,-0.94000196,0.37783748,False,0.0
65,MWG_rep,dynamic,1.0,3.8558,3.2718399,4.12356,-0.26775998,0.106639996,0.28821,0.06989,0.26782,0.06495,3.6618156,4.0509796,False,0.74
65,MWG_rep,stochastic,1.0,5.2304997,5.0503497,5.4972,-0.2667,0.39179,0.47395,0.086219996,0.37943998,0.06903,4.4593873,5.985936,True,0.978
71,true_net,dynamic,1.5,4.1191897,3.65567,4.12356,-0.0043699997,0.01239,0.01313,0.00318,0.01045,0.00254,4.0949965,4.1435432,True,1.0
71,true_net,stoch,1.5,5.49126,5.28303,5.4972,-0.00594,0.01661,0.01764,0.00321,0.01404,0.0025499999,5.4588995,5.5239434,True,1.0
71,obs_net,dynamic,1.5,1.6453799,0.84059,4.12356,-2.47818,0.19832,2.4861,0.60289997,2.47818,0.60098,1.2580898,2.040824,False,0.007999999
71,obs_net,stoch,1.5,2.06616,2.03644,5.4972,-3.4310298,0.24381,3.4396799,0.62571996,3.4310298,0.62413996,1.5902816,2.5539172,False,0.0
71,MWG,dynamic,1.5,-0.05311,-0.01292,4.12356,-4.17667,2e-05,4.17667,1.01288,4.17667,1.01288,-0.05312304,-0.05308643,False,0.0
71,MWG,stochastic,1.5,-0.067559995,-0.06636,5.4972,-5.5647497,0.00108,5.5647497,1.01229,5.5647497,1.01229,-0.0695768,-0.06529427,False,0.0
71,MWG_rep,dynamic,1.5,3.7918,3.23017,4.12356,-0.33175,0.101789996,0.34702,0.08415,0.33176,0.08045,3.5882845,3.988183,False,0.608
71,MWG_rep,stochastic,1.5,5.1026297,4.95181,5.4972,-0.39457,0.36558,0.53788996,0.097849995,0.44608,0.081149995,4.3666425,5.814751,True,0.97599995
77,true_net,dynamic,2.0,4.11946,3.656,4.12356,-0.00409,0.01258,0.01323,0.00321,0.01055,0.00256,4.0946593,4.1446548,True,1.0
77,true_net,stoch,2.0,5.49163,5.28338,5.4972,-0.00557,0.01687,0.01777,0.00323,0.014169999,0.0025799999,5.458304,5.525323,True,1.0
77,obs_net,dynamic,2.0,1.69063,0.92396,4.12356,-2.43292,0.23685,2.4444199,0.59279996,2.43292,0.59001,1.2256554,2.1566553,False,0.0139999995
77,obs_net,stoch,2.0,2.1024399,2.07828,5.4972,-3.39476,0.28520998,3.40672,0.61972,3.39476,0.61754,1.5436352,2.6620324,False,0.0
77,MWG,dynamic,2.0,2.93602,2.4707,4.12356,-1.1875299,0.09462,1.1912999,0.2889,1.1875299,0.28799,2.7544916,3.1432655,False,0.548
77,MWG,stochastic,2.0,4.1696,3.9965198,5.4972,-1.3276,0.36778,1.3776,0.25059998,1.3276,0.24149999,3.405182,4.8667374,False,0.35599998
77,MWG_rep,dynamic,2.0,3.445,2.88692,4.12356,-0.67855,0.115159996,0.68825,0.16691,0.67855,0.16454999,3.220265,3.662859,False,0.534
77,MWG_rep,stochastic,2.0,4.73321,4.57869,5.4972,-0.76398,0.34805,0.83953,0.15271999,0.76589,0.13932,4.0056,5.389768,False,0.848
83,true_net,dynamic,2.5,4.1195498,3.65585,4.12356,-0.00401,0.012,0.01265,0.0030699999,0.010079999,0.00244,4.0960317,4.1430726,True,1.0
83,true_net,stoch,2.5,5.4917397,5.2834396,5.4972,-0.0054599997,0.01608,0.01699,0.00309,0.01354,0.0024599999,5.4603543,5.5231853,True,1.0
83,obs_net,dynamic,2.5,1.7468799,1.02139,4.12356,-2.37667,0.26898,2.39184,0.58004,2.37667,0.57636,1.2214916,2.2797456,False,0.0139999995
83,obs_net,stoch,2.5,2.15691,2.1357799,5.4972,-3.3402798,0.31958,3.3555398,0.61041,3.3402798,0.60763,1.5331779,2.7873502,False,0.0
83,MWG,dynamic,2.5,3.5212698,2.93114,4.12356,-0.60227996,0.079909995,0.60756,0.14734,0.60227996,0.14605999,3.3531616,3.6655724,False,0.754
83,MWG,stochastic,2.5,4.8265,4.6293797,5.4972,-0.67069995,0.37577,0.76879,0.13984999,0.68042,0.12378,4.050789,5.5532513,True,0.796
83,MWG_rep,dynamic,2.5,3.54733,2.9739199,4.12356,-0.57623,0.091529995,0.58344996,0.14149,0.57623,0.13973999,3.365983,3.7233145,False,0.576
83,MWG_rep,stochastic,2.5,4.75336,4.60149,5.4972,-0.74382997,0.34761,0.82105,0.14936,0.74706,0.13589999,4.057777,5.4335237,False,0.84999996
89,true_net,dynamic,3.0,4.11931,3.65585,4.12356,-0.0042499998,0.01239,0.0131,0.00318,0.01043,0.00253,4.095537,4.144223,True,1.0
89,true_net,stoch,3.0,5.49142,5.2831798,5.4972,-0.00578,0.016619999,0.01759,0.0032,0.01401,0.0025499999,5.459426,5.5247607,True,1.0
89,obs_net,dynamic,3.0,1.8142899,1.1309099,4.12356,-2.30926,0.30965,2.3299298,0.56503,2.30926,0.56001997,1.2045012,2.414642,False,0.02
89,obs_net,stoch,3.0,2.23035,2.2128599,5.4972,-3.26685,0.36543998,3.28723,0.59797996,3.26685,0.59428,1.5104184,2.939685,False,0.0
89,MWG,dynamic,3.0,3.70938,3.19396,4.12356,-0.41417998,0.1144,0.42969,0.1042,0.41417998,0.100439996,3.5006561,3.917749,False,0.83199996
89,MWG,stochastic,3.0,4.9856896,4.7903,5.4972,-0.5115,0.40019998,0.64945996,0.11814,0.54864997,0.0998,4.203432,5.766268,True,0.912
89,MWG_rep,dynamic,3.0,3.6464398,3.0402598,4.12356,-0.47711,0.099089995,0.48729,0.11817,0.47711,0.1157,3.442769,3.8303912,False,0.58199996
89,MWG_rep,stochastic,3.0,4.87331,4.7350097,5.4972,-0.62389,0.34486,0.71286,0.12968,0.63154995,0.114889994,4.181008,5.5222816,True,0.91599995
95,true_net,dynamic,3.5,4.11921,3.65556,4.12356,-0.00434,0.012449999,0.013189999,0.0032,0.010489999,0.0025499999,4.094508,4.1430917,True,1.0
95,true_net,stoch,3.5,5.49129,5.2830896,5.4972,-0.00591,0.016689999,0.01771,0.0032199998,0.01409,0.00256,5.458242,5.5233197,True,1.0
95,obs_net,dynamic,3.5,1.8844199,1.24632,4.12356,-2.23914,0.3549,2.2670898,0.54978997,2.23914,0.54301,1.1947889,2.5849018,False,0.033999998
95,obs_net,stoch,3.5,2.3199599,2.30429,5.4972,-3.17724,0.42132998,3.20505,0.58303,3.17724,0.57796997,1.5031245,3.1505017,False,0.0
