idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
33_0_0,true_net,dynamic,2.0,4.32347,3.8503199,4.32091,0.0025499999,0.01382,0.01406,0.0032499998,0.0025499999,0.00055,4.2958155,4.3511457,True,1.0,0.30274525
33_0_0,true_net,stoch,2.0,5.39317,5.17473,5.38998,0.0031899998,0.01722,0.017509999,0.0032499998,0.0031899998,0.00059999997,5.358751,5.427628,True,1.0,0.30274525
33_0_0,obs_net,dynamic,2.0,1.69671,0.84911,4.32091,-2.6241999,0.25209,2.6362798,0.61012,2.6241999,0.64846,1.2027041,2.194106,False,0.006,6.3914294
33_0_0,obs_net,stoch,2.0,2.01286,1.9975,5.38998,-3.37712,0.27456,3.38826,0.62861997,3.37712,0.61639,1.4751989,2.5551455,False,0.0,6.3914294
33_0_0,MWG,dynamic,2.0,3.3378398,3.02594,4.32091,-0.98306996,0.086399995,0.98686,0.22839,1.0487599,0.25186,3.163395,3.482908,False,0.754,3.0595434
33_0_0,MWG,stoch,2.0,4.20461,4.04187,5.38998,-1.18538,0.10153,1.1897199,0.22072999,1.18538,0.21891999,4.036288,4.3822513,False,0.21,3.0595434
33_0_0,MWG_rep,dynamic,2.0,3.51486,3.35707,4.32091,-0.80605,0.145,0.81899,0.18954,0.93226,0.22597,3.2218752,3.7869902,False,0.978,2.6563528
33_0_0,MWG_rep,stoch,2.0,4.41603,4.26328,5.38998,-0.97394997,0.13864,0.98376995,0.18252,0.98649997,0.17701,4.1214695,4.6659775,False,0.242,2.6563528
33_0_1,true_net,dynamic,2.5,4.32364,3.8504698,4.32091,0.0027299998,0.01377,0.01404,0.0032499998,0.0027299998,0.00059999997,4.2969203,4.3509126,True,1.0,0.3031072
33_0_1,true_net,stoch,2.5,5.3933897,5.17484,5.38998,0.00341,0.01715,0.01749,0.00324,0.00341,0.00062999997,5.3601627,5.427353,True,1.0,0.3031072
33_0_1,obs_net,dynamic,2.5,1.3184999,0.51559997,4.32091,-3.00241,0.32543,3.02,0.69892,3.00241,0.75143,0.6824771,1.958167,False,0.0039999997,6.970761
33_0_1,obs_net,stoch,2.5,1.6077,1.6015099,5.38998,-3.78228,0.35826,3.7992098,0.70486,3.78228,0.69345,0.90930456,2.3117175,False,0.0,6.970761
33_0_1,MWG,dynamic,2.5,3.62897,3.33372,4.32091,-0.69194996,0.12365,0.70291,0.16268,0.83145,0.20312,3.405429,3.870647,False,0.922,2.326667
33_0_1,MWG,stoch,2.5,4.57412,4.3814597,5.38998,-0.81586,0.12639,0.82558995,0.15316999,0.81994,0.14872,4.325341,4.813681,False,0.47,2.326667
33_0_1,MWG_rep,dynamic,2.5,4.11807,3.91515,4.32091,-0.20284,0.16031,0.25854,0.059839997,0.62166,0.16622,3.8171577,4.4361315,True,0.996,2.1570644
33_0_1,MWG_rep,stoch,2.5,5.14887,4.96595,5.38998,-0.24112,0.15251,0.2853,0.052929997,0.41039,0.07475,4.839674,5.429858,True,0.78599995,2.1570644
33_0_2,true_net,dynamic,3.0,4.32334,3.85019,4.32091,0.00242,0.01382,0.014029999,0.0032499998,0.00242,0.00052,4.297175,4.350762,True,1.0,0.3006692
33_0_2,true_net,stoch,3.0,5.3930097,5.17452,5.38998,0.00303,0.01722,0.017479999,0.00324,0.00303,0.00057,5.360437,5.4272146,True,1.0,0.3006692
33_0_2,obs_net,dynamic,3.0,1.17932,0.45115,4.32091,-3.1416,0.41739,3.1692,0.73346,3.1416,0.78931,0.37762564,2.0077922,False,0.0019999999,7.225864
33_0_2,obs_net,stoch,3.0,1.45862,1.45374,5.38998,-3.93136,0.46980998,3.9593298,0.73456997,3.93136,0.72185,0.556725,2.3879614,False,0.0,7.225864
33_0_2,MWG,dynamic,3.0,3.38061,3.0667899,4.32091,-0.94031,0.124479994,0.94851,0.21951999,1.00672,0.24332999,3.1474206,3.6167195,False,0.886,3.3014936
33_0_2,MWG,stoch,3.0,4.31464,4.13769,5.38998,-1.0753499,0.12512,1.0826,0.20085,1.0753499,0.19664,4.068334,4.5415034,False,0.29799998,3.3014936
33_0_2,MWG_rep,dynamic,3.0,3.51439,3.32159,4.32091,-0.80653,0.14151,0.81885,0.18950999,0.93459,0.23019,3.238474,3.7906628,False,0.96599996,2.6366663
33_0_2,MWG_rep,stoch,3.0,4.44868,4.2680497,5.38998,-0.94131,0.12837,0.95001996,0.17626,0.95458996,0.17128,4.1949744,4.700375,False,0.258,2.6366663
33_0_3,true_net,dynamic,3.5,4.3228097,3.8495698,4.32091,0.00189,0.013909999,0.01404,0.0032499998,0.00189,0.00039,4.295841,4.350179,True,1.0,0.30540243
33_0_3,true_net,stoch,3.5,5.3923497,5.1738997,5.38998,0.00237,0.017339999,0.0175,0.0032499998,0.00237,0.00043999997,5.3587117,5.4264083,True,1.0,0.30540243
33_0_3,obs_net,dynamic,3.5,1.1402099,0.48154998,4.32091,-3.1806998,0.52997,3.22456,0.74627,3.1806998,0.80051,0.11016839,2.1811926,False,0.007999999,7.345865
33_0_3,obs_net,stoch,3.5,1.41756,1.4134699,5.38998,-3.97243,0.60716,4.01856,0.74556,3.97243,0.72968996,0.23823978,2.6117759,False,0.0,7.345865
33_0_3,MWG,dynamic,3.5,4.0896697,3.79577,4.32091,-0.23123999,0.1445,0.27267998,0.06311,0.63282,0.1664,3.8235574,4.382797,True,0.97999996,2.0315542
33_0_3,MWG,stoch,3.5,5.1510997,4.95819,5.38998,-0.23888,0.13888,0.27631998,0.051269997,0.38733998,0.07025,4.8824415,5.437151,True,0.844,2.0315542
33_0_3,MWG_rep,dynamic,3.5,3.55088,3.36763,4.32091,-0.77002996,0.13324,0.78147,0.18086,0.90224,0.22337,3.2927532,3.8153887,False,0.97999996,2.6220546
33_0_3,MWG_rep,stoch,3.5,4.46419,4.2968597,5.38998,-0.92579997,0.13428,0.93548,0.17356,0.94254,0.1689,4.20497,4.726726,False,0.28399998,2.6220546
33_0_4,true_net,dynamic,4.0,4.3238897,3.8506799,4.32091,0.0029799999,0.01389,0.01421,0.00329,0.0029799999,0.00065999996,4.297064,4.35154,True,1.0,0.30342752
33_0_4,true_net,stoch,4.0,5.3936996,5.17512,5.38998,0.00372,0.0173,0.0177,0.0032799998,0.00372,0.00068999996,5.360261,5.4281507,True,1.0,0.30342752
33_0_4,obs_net,dynamic,4.0,0.32917,-0.31405,4.32091,-3.99174,0.6285,4.04092,0.9352,3.99174,1.0275,-0.877819,1.5631789,False,0.0,8.499993
33_0_4,obs_net,stoch,4.0,0.47415,0.46884,5.38998,-4.9158297,0.73332995,4.97023,0.92212,4.9158297,0.90990996,-0.93193996,1.9168991,False,0.0,8.499993
33_0_4,MWG,dynamic,4.0,3.98489,3.73105,4.32091,-0.33602,0.17357999,0.37820998,0.087529995,0.6398,0.16436,3.6522238,4.365258,True,0.988,2.1342387
33_0_4,MWG,stoch,4.0,4.99394,4.7975097,5.38998,-0.39604998,0.18018,0.4351,0.08072,0.47777998,0.08562,4.670935,5.3921323,True,0.80799997,2.1342387
33_0_4,MWG_rep,dynamic,4.0,3.7895198,3.58422,4.32091,-0.53139,0.13283,0.54774,0.12675999,0.74412996,0.18405,3.5242743,4.039938,False,0.986,2.2583983
33_0_4,MWG_rep,stoch,4.0,4.76708,4.58587,5.38998,-0.62290996,0.13202,0.63673997,0.11813,0.67013997,0.11975,4.4876056,5.010148,False,0.514,2.2583983
33_1_0,true_net,dynamic,2.0,4.44033,4.078,4.46763,-0.0273,0.014699999,0.03101,0.0069399998,0.0273,0.00665,4.4114246,4.469123,True,0.352,0.31190318
33_1_0,true_net,stoch,2.0,5.00492,4.81693,5.03565,-0.03073,0.01656,0.03491,0.0069299997,0.03073,0.00605,4.972374,5.037305,True,0.978,0.31190318
33_1_0,obs_net,dynamic,2.0,1.7090499,0.98411,4.46763,-2.75858,0.26666,2.77144,0.62034,2.75858,0.64493,1.1906937,2.2317004,False,0.0019999999,6.016493
33_1_0,obs_net,stoch,2.0,1.8391099,1.82231,5.03565,-3.1965399,0.27028,3.2079499,0.63705,3.1965399,0.62465,1.3135728,2.3727808,False,0.0,6.016493
