idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
241_0_0,true_net,dynamic,2.0,3.64742,3.14657,3.5299098,0.11752,0.12624,0.04886,0.03649,True,1.0,0.25299332
241_0_0,true_net,gate,2.0,12.88285,12.33937,12.466,0.41685,0.44798,0.049089998,0.03315,True,1.0,0.25299332
241_0_0,obs_net,dynamic,2.0,1.95089,1.26411,3.5299098,-1.57901,0.45786,0.46574998,0.47855,False,0.22,3.8687851
241_0_0,obs_net,gate,2.0,6.3663397,6.30477,12.466,-6.09967,1.40691,0.50215,0.47359,False,0.04,3.8687851
241_0_0,MWG,dynamic,2.0,3.6677299,3.49961,3.5299098,0.13781999,0.18553999,0.039288,0.14668499,True,0.99799997,0.5747477
241_0_0,MWG,gate,2.0,12.82346,12.38344,12.466,0.35746,0.57006997,0.032388,0.056775,True,0.95199996,0.5747477
241_0_0,MWG_no_z,dynamic,2.0,3.5645099,3.3929698,3.5299098,0.03461,0.20887,0.0509829983,0.202209,True,1.0,0.77667195
241_0_0,MWG_no_z,gate,2.0,12.37258,11.949369,12.466,-0.09343,0.65633,0.0452029983,0.075376,True,0.95199996,0.77667195
241_0_0,MWG_rep,dynamic,2.0,3.6079998,3.4493399,3.5299098,0.07809,0.1802,0.033383998199999994,0.12827,True,1.0,0.49932897
241_0_0,MWG_rep,gate,2.0,12.51412,12.10994,12.466,0.048109997,0.58057,0.028038,0.049815,True,0.97599995,0.49932897
241_0_0,MWG_misspec,dynamic,2.0,3.68942,3.54163,3.5299098,0.15951,0.18834,0.06432639632,0.27182700000000004,True,0.99799997,999.0
241_0_0,MWG_misspec,gate,2.0,12.87291,12.38668,12.466,0.4069,0.56003,0.05108759724,0.1021229964,True,0.958,999.0
241_0_0,two_stage_refined,dynamic,2.0,3.67747,3.1575499,3.5299098,0.14756,0.14874,0.05935,0.31022,True,0.20799999,0.5926844
241_0_0,two_stage_refined,gate,2.0,12.91206,12.37021,12.466,0.44605,0.52388996,0.055189997,0.12380999,True,0.40399998,0.5926844
241_0_0,two_stage_no_refine,dynamic,2.0,1.6073899,0.81325,3.5299098,-1.9225199,0.14265999,0.54614,0.5974,False,0.018,3.0318317
241_0_0,two_stage_no_refine,gate,2.0,5.58984,5.41999,12.466,-6.8761697,0.49705,0.55303,0.54288,False,0.0,3.0318317
241_0_0,two_stage_rep_refined,dynamic,2.0,3.5808198,3.03441,3.5299098,0.05091,0.15462999,0.04612,0.26835,True,0.254,0.5318679
241_0_0,two_stage_rep_refined,gate,2.0,12.43337,11.907439,12.466,-0.03263,0.53692,0.04315,0.10384,True,0.47,0.5318679
241_0_0,cont_relax,dynamic,2.0,3.81453,3.7071998,3.5299098,0.28462,0.16109,0.09265,0.29446998,True,1.0,999.0
241_0_0,cont_relax,gate,2.0,13.19737,13.1601,12.466,0.73137,0.26716,0.062459998,0.14112,False,0.942,999.0
241_0_1,true_net,dynamic,2.5,3.6459298,3.1448998,3.5299098,0.116019994,0.12638,0.0486,0.036,True,1.0,0.25256455
241_0_1,true_net,gate,2.5,12.87753,12.334169,12.466,0.41152,0.44845998,0.04883,0.03273,True,1.0,0.25256455
241_0_1,obs_net,dynamic,2.5,1.61518,0.99955,3.5299098,-1.9147199,0.55788,0.56498,0.58882,False,0.176,4.1932135
241_0_1,obs_net,gate,2.5,5.35996,5.32922,12.466,-7.10604,1.7334499,0.58675,0.55634,False,0.015999999,4.1932135
241_0_1,MWG,dynamic,2.5,3.6817598,3.52494,3.5299098,0.15186,0.19229,0.0416459976,0.15183,True,1.0,0.6329656
241_0_1,MWG,gate,2.5,12.709419,12.366389,12.466,0.24341999,0.61266,0.031728,0.05616,True,0.96599996,0.6329656
241_0_1,MWG_no_z,dynamic,2.5,3.35868,3.19555,3.5299098,-0.17122999,0.16827999,0.05780849575,0.190273986,True,1.0,1.0840254
241_0_1,MWG_no_z,gate,2.5,11.8025,11.42178,12.466,-0.6635,0.55941,0.059177,0.07737799649999999,True,0.95199996,1.0840254
241_0_1,MWG_rep,dynamic,2.5,3.6452198,3.50634,3.5299098,0.11531,0.21852,0.042,0.14379999,True,0.99799997,0.50531226
241_0_1,MWG_rep,gate,2.5,12.730129,12.34612,12.466,0.26413,0.68944997,0.035538,0.05396,True,0.97599995,0.50531226
241_0_1,MWG_misspec,dynamic,2.5,3.4914498,3.3789098,3.5299098,-0.038459998,0.19374,0.05148320000000001,0.237231,True,1.0,999.0
241_0_1,MWG_misspec,gate,2.5,12.25719,11.92478,12.466,-0.20881,0.62341,0.0485208,0.09710099550000001,True,0.97599995,999.0
241_0_1,two_stage_refined,dynamic,2.5,3.8150399,3.2935,3.5299098,0.28513,0.16104,0.092769995,0.33800998,True,0.212,0.6533887
241_0_1,two_stage_refined,gate,2.5,13.06153,12.627359,12.466,0.59551996,0.54914,0.06498,0.12726,True,0.412,0.6533887
241_0_1,two_stage_no_refine,dynamic,2.5,1.88673,1.1544399,3.5299098,-1.64318,0.17621,0.46817,0.50521,False,0.067999996,2.7566292
241_0_1,two_stage_no_refine,gate,2.5,6.6416197,6.4387097,12.466,-5.82439,0.62781996,0.46993,0.45751,False,0.0,2.7566292
241_0_1,two_stage_rep_refined,dynamic,2.5,3.7760599,3.34441,3.5299098,0.24614999,0.15786,0.082839996,0.3261,True,0.21,0.50114423
241_0_1,two_stage_rep_refined,gate,2.5,13.15648,12.656509,12.466,0.69047,0.55052996,0.07084,0.12658,True,0.44799998,0.50114423
241_0_1,cont_relax,dynamic,2.5,4.4653697,4.3530498,3.5299098,0.93546,0.16695,0.2692,0.47085,False,1.0,999.0
241_0_1,cont_relax,gate,2.5,15.406839,15.402539,12.466,2.94083,0.28037,0.23697999,0.29681998,False,0.61,999.0
241_0_2,true_net,dynamic,3.0,3.64588,3.1445298,3.5299098,0.11597,0.12645,0.048609998,0.03596,True,1.0,0.25223324
241_0_2,true_net,gate,3.0,12.87735,12.334,12.466,0.41134,0.44878998,0.048839998,0.03272,True,1.0,0.25223324
241_0_2,obs_net,dynamic,3.0,1.49523,0.95397997,3.5299098,-2.03468,0.67893,0.60765,0.63040996,False,0.22,4.3589005
241_0_2,obs_net,gate,3.0,5.0005097,4.96835,12.466,-7.4655,2.12511,0.62266,0.58589,False,0.025999999,4.3589005
241_0_2,MWG,dynamic,3.0,3.94452,3.8059099,3.5299098,0.41461,0.20645,0.07872599999999999,0.173825,True,1.0,0.73072386
241_0_2,MWG,gate,3.0,13.50748,13.09404,12.466,1.04148,0.63347,0.058673997,0.0713,True,0.91599995,0.73072386
241_0_2,MWG_no_z,dynamic,3.0,3.7819998,3.6153698,3.5299098,0.25209,0.17276,0.073593,0.21326199999999998,True,1.0,0.44577911
241_0_2,MWG_no_z,gate,3.0,13.50484,13.11557,12.466,1.0388299,0.56876,0.0807585,0.097132,True,0.9,0.44577911
241_0_2,MWG_rep,dynamic,3.0,3.9175298,3.76117,3.5299098,0.38762,0.18741,0.073182,0.16102,True,0.99799997,0.60212874
241_0_2,MWG_rep,gate,3.0,13.568069,13.13668,12.466,1.10207,0.64333,0.0614219964,0.069235,True,0.922,0.60212874
241_0_2,MWG_misspec,dynamic,3.0,3.6096199,3.4761999,3.5299098,0.07971,0.19909999,0.0558992,0.25272900000000004,True,0.99799997,999.0
