idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
22,0.505,0.503,0.646,-0.141,0.069000006,0.29000002,0.319,0.141,0.15,0.21800001,0.18100001,0.201,0.052,0.37500003,0.646,0,0.89800006,Linear_oracle,dynamic
22,0.60700005,0.577,0.646,-0.039,0.148,0.049000002,0.33400002,0.039,0.143,0.061000004,0.19100001,0.006,0.064,0.40300003,0.98800004,1,1,BYM_oracle,dynamic
22,2.075,2.068,2.6460001,-0.57100004,0.287,0.58500004,0.66300005,0.57100004,0.58000004,0.216,0.22200002,0.049000002,0.060000002,1.5330001,2.661,1,0.52400005,Linear_oracle,stoch
22,2.48,2.3620002,2.6460001,-0.16600001,0.60200006,0.18300001,0.656,0.16600001,0.504,0.063,0.192,0.005,0.058000002,1.641,4.018,1,1,BYM_oracle,stoch
22,0.163,0.163,0.646,-0.483,0.08800001,0.60800004,0.624,0.483,0.48600003,0.748,707.40204,0.88600004,9852471,-0.010000001,0.335,0,0.16000001,Linear_observed,dynamic
22,0.192,0.18,0.646,-0.45400003,0.15200001,0.53000003,0.64000005,0.45400003,0.508,0.703,1229.583,0.67200005,32568530,-0.071,0.54700005,0,0.296,BYM_observed,dynamic
22,0.67200005,0.671,2.6460001,-1.9740001,0.29500002,2.1230001,2.147,1.9740001,1.9740001,0.74600005,0.726,0.64400005,0.55,0.093,1.2520001,0,0.002,Linear_observed,stoch
22,0.822,0.76400006,2.6460001,-1.8240001,0.531,1.9990001,2.078,1.8240001,1.843,0.689,0.67300004,0.57100004,0.50600004,-0.045,2.1160002,0,0.238,BYM_observed,stoch
22,0.37300003,0.37100002,0.646,-0.273,0.079,0.44500002,0.47400004,0.31,0.33,0.48000002,1244.482,0.47500002,27812476,0.22500001,0.53800005,0,0.632,Linear_3S,dynamic
22,1.4230001,1.4150001,2.6460001,-1.223,0.294,1.35,1.3980001,1.223,1.23,0.462,0.44500002,0.26000002,0.223,0.87100005,2.0310001,0,0.16600001,Linear_3S,stoch
22,0.48000002,0.448,0.646,-0.16600001,0.224,0.289,0.80100006,0.21700001,0.42000002,0.33600003,1476.2291,0.2,44913324,0.17600001,0.99700004,1,0.8880001,BYM_3S,dynamic
22,1.838,1.723,2.6460001,-0.808,0.873,0.97800004,1.3460001,0.81700003,1.102,0.30900002,0.411,0.136,0.23700002,0.69000006,3.841,1,0.994,BYM_3S,stoch
22,0.57600003,0.572,0.646,-0.07,0.10700001,0.354,0.38500002,0.252,0.26700002,0.39000002,2812.5361,0.3,87437256,0.37600002,0.79,1,0.526,Linear_1S,dynamic
22,0.83400005,0.79300004,0.646,0.18800001,0.259,0.42400002,0.669,0.29200003,0.358,0.45100003,3345.5203,0.43100002,133103310,0.44300002,1.44,1,0.76600003,BYM_1S,dynamic
22,2.17,2.158,2.6460001,-0.476,0.39900002,0.632,0.762,0.512,0.6,0.194,0.21700001,0.057000004,0.067,1.424,2.9640002,1,0.78200006,Linear_1S,stoch
22,3.1660001,3.009,2.6460001,0.52000004,0.98200005,0.65500003,1.207,0.564,0.896,0.21300001,0.36100003,0.061000004,0.25,1.6930001,5.4670005,1,0.98600006,BYM_1S,stoch
77,0.485,0.485,0.646,-0.16100001,0.060000002,0.36600003,0.38000003,0.16100001,0.16900001,0.24900001,0.172,0.32000002,0.047000002,0.37,0.606,0,0.89800006,Linear_oracle,dynamic
77,0.72,0.68700004,0.646,0.074,0.19100001,0.09200001,0.363,0.074,0.165,0.11400001,0.24700001,0.020000001,0.127,0.45200002,1.171,1,1,BYM_oracle,dynamic
77,2,1.996,2.6460001,-0.646,0.24900001,0.657,0.711,0.647,0.65000004,0.24400002,0.252,0.062000003,0.07300001,1.521,2.5040002,0,0.07,Linear_oracle,stoch
77,2.96,2.825,2.6460001,0.314,0.785,0.34800002,0.89400005,0.31300002,0.615,0.11800001,0.231,0.017,0.102000006,1.853,4.8040004,1,1,BYM_oracle,stoch
77,0.20600002,0.20700002,0.646,-0.44000003,0.065000005,0.624,0.632,0.446,0.45000002,0.69000006,487.2,0.93100005,4374773.5,0.078,0.33400002,0,0.21200001,Linear_observed,dynamic
77,-0.36,-0.34100002,0.646,-1.006,0.34600002,1.3330001,1.414,1.006,1.0150001,1.557,4277.9243,4.2520003,337796480,-0.86600006,0.108,0,0.2,BYM_observed,dynamic
77,0.78200006,0.785,2.6460001,-1.8640001,0.21200001,2.0070002,2.02,1.8640001,1.8640001,0.70400006,0.684,0.57500005,0.483,0.36100003,1.197,0,0.004,Linear_observed,stoch
77,-1.097,-1.065,2.6460001,-3.7430003,1.031,3.8940003,4.072,3.7440002,3.7440002,1.4150001,1.432,2.1660001,2.3240001,-2.578,0.31800002,0,0,BYM_observed,stoch
77,0.381,0.37600002,0.646,-0.26500002,0.081,0.48700002,0.514,0.317,0.342,0.49100003,1545.102,0.568,41391196,0.23200001,0.55,0,0.726,Linear_3S,dynamic
77,1.424,1.4100001,2.6460001,-1.222,0.28800002,1.3340001,1.3840001,1.222,1.2290001,0.462,0.448,0.254,0.22500001,0.88400006,2.013,0,0.156,Linear_3S,stoch
77,0.563,0.55,0.646,-0.083000004,0.29200003,0.24200001,0.633,0.187,0.36100003,0.289,2142.601,0.14,86119336,-0.32500002,1.126,1,0.97200006,BYM_3S,dynamic
77,2.117,2.066,2.6460001,-0.52900004,1.09,0.717,1.358,0.572,1,0.216,0.37800002,0.07300001,0.252,-1.2010001,4.2120004,1,1,BYM_3S,stoch
