idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
33.0,0.503,0.50100005,0.69200003,-0.18900001,0.071,0.33200002,0.35500002,0.18900001,0.192,0.273,0.245,0.48000002,0.513,0.36800003,0.64900005,0.0,0.896,Linear_oracle,dynamic
33.0,0.77900004,0.73700005,0.69200003,0.087000005,0.23,0.32900003,0.6,0.124000005,0.216,0.252,0.23500001,0.47500002,0.86700004,0.45800003,1.335,1.0,1.0,BYM_oracle,dynamic
33.0,1.904,1.8950001,2.6200001,-0.716,0.268,0.74300003,0.799,0.716,0.717,0.27400002,0.27400002,0.284,0.305,1.3970001,2.45,0.0,0.002,Linear_oracle,stoch
33.0,2.9580002,2.795,2.6200001,0.33800003,0.874,0.34100002,0.96800005,0.33800003,0.67700005,0.254,0.26500002,0.13000001,0.36900002,1.7360001,5.0670004,1.0,1.0,BYM_oracle,stoch
33.0,0.28,0.277,0.69200003,-0.41200003,0.072000004,0.58400005,0.596,0.425,0.43,0.596,599.93005,0.84400004,0.86200005,0.14400001,0.42800003,0.0,0.28,Linear_observed,dynamic
33.0,0.51600003,0.44700003,0.69200003,-0.17600001,0.28300002,0.50100005,0.808,0.374,0.46,0.409,1055.029,0.72400004,1.167,0.16900001,1.23,1.0,0.65000004,BYM_observed,dynamic
33.0,1.0600001,1.052,2.6200001,-1.5600001,0.26200002,1.7270001,1.7500001,1.5600001,1.562,0.595,0.568,0.65900004,0.66800004,0.56700003,1.6010001,0.0,0.056,Linear_observed,stoch
33.0,1.9620001,1.7040001,2.6200001,-0.65800005,1.057,0.989,1.4690001,0.744,1.161,0.404,0.43400002,0.37800002,0.56100005,0.67700005,4.6450005,1.0,0.984,BYM_observed,stoch
33.0,0.36800003,0.36600003,0.69200003,-0.324,0.074,0.512,0.53400004,0.354,0.372,0.469,1069.06,0.74,0.772,0.23,0.517,0.0,0.578,Linear_3S,dynamic
33.0,1.4130001,1.409,2.6200001,-1.207,0.279,1.338,1.383,1.207,1.215,0.46100003,0.44200003,0.51100004,0.528,0.8880001,1.968,0.0,0.16000001,Linear_3S,stoch
