idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
41,0.453,0.45200002,0.69200003,-0.23900001,0.065000005,0.46300003,0.47700003,0.23900001,0.24000001,0.34500003,0.268,0.669,0.689,0.33,0.583,0,0.896,Linear_oracle,dynamic
41,0.657,0.611,0.69200003,-0.035,0.20700002,0.069000006,0.44500002,0.054,0.187,0.23600002,0.23400001,0.09900001,0.643,0.39100003,1.184,1,1,BYM_oracle,dynamic
41,1.7140001,1.7090001,2.6200001,-0.906,0.24300002,0.93200004,0.96900004,0.90700006,0.90700006,0.34600002,0.351,0.356,0.37,1.251,2.1990001,0,0,Linear_oracle,stoch
41,2.489,2.3140001,2.6200001,-0.13100001,0.78800005,0.165,0.83500004,0.133,0.62600005,0.23600002,0.24100001,0.063,0.319,1.483,4.498,1,1,BYM_oracle,stoch
41,0.275,0.27400002,0.69200003,-0.41700003,0.067,0.64000005,0.64900005,0.437,0.441,0.60300004,785.05304,0.9250001,0.938,0.14600001,0.40800002,0,0.28800002,Linear_observed,dynamic
41,0.38900003,0.33400002,0.69200003,-0.303,0.22500001,0.432,0.66300005,0.32200003,0.42800003,0.50200003,923.145,0.624,0.95800006,0.13700001,0.99200004,1,0.57600003,BYM_observed,dynamic
41,1.0200001,1.016,2.6200001,-1.6,0.23600002,1.761,1.779,1.6,1.6010001,0.611,0.58500004,0.67200005,0.679,0.565,1.4890001,0,0.042000003,Linear_observed,stoch
41,1.4610001,1.25,2.6200001,-1.159,0.82800007,1.373,1.6170001,1.1650001,1.3640001,0.50200003,0.5,0.52400005,0.61700004,0.551,3.6780002,1,0.924,BYM_observed,stoch
41,0.35200003,0.349,0.69200003,-0.34,0.071,0.59000003,0.61,0.379,0.4,0.49100003,1199.404,0.85300004,0.88100004,0.22200002,0.5,0,0.614,Linear_3S,dynamic
41,1.317,1.3080001,2.6200001,-1.3030001,0.25300002,1.417,1.4560001,1.3030001,1.307,0.497,0.48100004,0.541,0.555,0.845,1.838,0,0.1,Linear_3S,stoch
41,0.512,0.48800004,0.69200003,-0.18,0.314,0.32500002,0.71500003,0.23700002,0.418,0.418,1505.2821,0.47000003,1.033,-0.087000005,1.1960001,1,0.92600006,BYM_3S,dynamic
41,1.9300001,1.8310001,2.6200001,-0.69000006,1.174,0.87900007,1.511,0.71400005,1.1680001,0.418,0.44300002,0.33600003,0.577,-0.286,4.5070004,1,1,BYM_3S,stoch
41,0.52900004,0.526,0.69200003,-0.163,0.095000006,0.49500003,0.512,0.312,0.323,0.24300002,2389.508,0.716,0.739,0.35200003,0.72700006,1,0.43600002,Linear_1S,dynamic
41,0.73700005,0.68600005,0.69200003,0.045,0.24300002,0.24200001,0.532,0.19900002,0.316,0.26000002,2879.728,0.35000002,0.76900005,0.41000003,1.342,1,0.684,BYM_1S,dynamic
41,1.9620001,1.9520001,2.6200001,-0.65800005,0.347,0.781,0.86600006,0.66800004,0.712,0.256,0.26000002,0.298,0.33,1.3130001,2.6880002,1,0.56600004,Linear_1S,stoch
41,2.7500002,2.5560002,2.6200001,0.13000001,0.91,0.42400002,1.0300001,0.347,0.75600004,0.25800002,0.29900002,0.162,0.393,1.531,5.0070004,1,0.998,BYM_1S,stoch
96,0.514,0.512,0.69200003,-0.178,0.068,0.30600002,0.33,0.178,0.18,0.257,0.23600002,0.44200003,0.47700003,0.386,0.65000004,0,0.896,Linear_oracle,dynamic
96,0.634,0.60800004,0.69200003,-0.058000002,0.147,0.104,0.356,0.082,0.16000001,0.186,0.21900001,0.15100001,0.514,0.423,1.003,1,1,BYM_oracle,dynamic
96,1.9470001,1.94,2.6200001,-0.67300004,0.254,0.70100003,0.75500005,0.674,0.675,0.257,0.25800002,0.268,0.28800002,1.465,2.4580002,0,0,Linear_oracle,stoch
96,2.407,2.305,2.6200001,-0.21300001,0.56100005,0.264,0.64000005,0.216,0.497,0.186,0.18900001,0.101,0.24400002,1.6060001,3.811,1,1,BYM_oracle,stoch
96,0.28800002,0.286,0.69200003,-0.404,0.067,0.559,0.57100004,0.41500002,0.418,0.58400005,512.72003,0.80700004,0.82500005,0.158,0.42000002,0,0.252,Linear_observed,dynamic
96,-0.40300003,-0.44300002,0.69200003,-1.095,0.45700002,1.3820001,1.4870001,1.095,1.0990001,1.582,4030.2642,1.9970001,2.148,-0.96700007,0.24300002,0,0.156,BYM_observed,dynamic
96,1.095,1.09,2.6200001,-1.5250001,0.245,1.697,1.7170001,1.526,1.5270001,0.582,0.55300003,0.648,0.65500003,0.61700004,1.5840001,0,0.054,Linear_observed,stoch
96,-1.4410001,-1.5810001,2.6200001,-4.0610003,1.6680001,4.2450004,4.6060004,4.0610003,4.0610003,1.5500001,1.5730001,1.6200001,1.7580001,-3.5130002,0.91300005,0,0,BYM_observed,stoch
96,0.354,0.351,0.69200003,-0.33800003,0.080000006,0.50600004,0.52900004,0.36100003,0.37600002,0.48900002,887.94006,0.73200005,0.76500005,0.19700001,0.522,0,0.532,Linear_3S,dynamic
96,1.358,1.3520001,2.6200001,-1.2620001,0.30400002,1.4000001,1.4460001,1.2620001,1.269,0.48200002,0.46100003,0.53400004,0.55200005,0.76100004,1.9950001,0,0.15200001,Linear_3S,stoch
96,0.46600002,0.441,0.69200003,-0.22600001,0.24200001,0.37500003,0.671,0.27600002,0.40500003,0.407,972.18805,0.54200006,0.97,0,1.0760001,1,0.75200003,BYM_3S,dynamic
96,1.792,1.6960001,2.6200001,-0.82800007,0.92600006,1.029,1.4100001,0.84700006,1.116,0.40100002,0.41200003,0.393,0.53800005,0.005,4.135,1,0.998,BYM_3S,stoch
96,0.54700005,0.544,0.69200003,-0.14500001,0.096,0.381,0.40600002,0.27100003,0.282,0.21900001,2204.1282,0.551,0.586,0.365,0.74200004,1,0.462,Linear_1S,dynamic
96,0.64500004,0.61600006,0.69200003,-0.047000002,0.17400001,0.259,0.49,0.202,0.287,0.20500001,2224.956,0.374,0.708,0.393,1.0840001,1,0.648,BYM_1S,dynamic
96,2.1000001,2.088,2.6200001,-0.52000004,0.367,0.68,0.785,0.55600005,0.62200004,0.21000001,0.22500001,0.259,0.3,1.4050001,2.848,1,0.72200006,Linear_1S,stoch
96,2.479,2.368,2.6200001,-0.141,0.67,0.45900002,0.83100003,0.358,0.63000005,0.20300001,0.24300002,0.17500001,0.317,1.5120001,4.1670003,1,1,BYM_1S,stoch
151,0.44300002,0.44200003,0.69200003,-0.24900001,0.061000004,0.39600003,0.41200003,0.24900001,0.24900001,0.36,0.35300002,0.572,0.596,0.324,0.56600004,0,0.1,Linear_oracle,dynamic
151,0.52400005,0.50100005,0.69200003,-0.16800001,0.128,0.22100002,0.365,0.16800001,0.209,0.27600002,0.321,0.319,0.527,0.35000002,0.85400003,1,1,BYM_oracle,dynamic
151,1.6780001,1.6730001,2.6200001,-0.94200003,0.231,0.99100006,1.023,0.94200003,0.94200003,0.35900003,0.356,0.37800002,0.39000002,1.233,2.141,0,0,Linear_oracle,stoch
151,1.988,1.9010001,2.6200001,-0.632,0.485,0.69100004,0.85600007,0.632,0.725,0.27400002,0.27100003,0.264,0.32700002,1.33,3.2480001,1,1,BYM_oracle,stoch
151,0.20600002,0.20600002,0.69200003,-0.48600003,0.074,0.651,0.661,0.48600003,0.49100003,0.702,418.11002,0.94100004,0.95600003,0.063,0.35200003,0,0.19600001,Linear_observed,dynamic
151,0.31500003,0.26900002,0.69200003,-0.377,0.208,0.513,0.73600006,0.40300003,0.507,0.58000004,815.51605,0.74100006,1.0630001,0.051000003,0.86,1,0.39400002,BYM_observed,dynamic
151,0.79600006,0.79300004,2.6200001,-1.8240001,0.26500002,1.9790001,1.9990001,1.8240001,1.825,0.69600004,0.67300004,0.75500005,0.763,0.277,1.3210001,0,0.008,Linear_observed,stoch
151,1.225,1.0430001,2.6200001,-1.3950001,0.777,1.6020001,1.7930001,1.396,1.5280001,0.569,0.559,0.611,0.684,0.264,3.2710001,1,0.87000006,BYM_observed,stoch
151,0.36900002,0.36400002,0.69200003,-0.323,0.07300001,0.51600003,0.53800005,0.35700002,0.374,0.467,1169.2251,0.74600005,0.77800006,0.23600002,0.52400005,0,0.572,Linear_3S,dynamic
151,1.3970001,1.383,2.6200001,-1.223,0.26900002,1.355,1.3970001,1.223,1.23,0.467,0.44700003,0.517,0.53300005,0.90500003,1.9610001,0,0.156,Linear_3S,stoch
151,0.333,0.39600003,0.69200003,-0.35900003,0.28800002,0.554,0.83400005,0.38300002,0.448,0.541,1117.4861,0.80100006,1.205,-0.187,0.80700004,1,0.748,BYM_3S,dynamic
151,1.264,1.5040001,2.6200001,-1.3560001,1.0940001,1.488,1.8650001,1.3560001,1.4580001,0.54,0.545,0.568,0.712,-0.69900006,3.0630002,1,0.88400006,BYM_3S,stoch
151,0.497,0.49300003,0.69200003,-0.19500001,0.09200001,0.43500003,0.45400003,0.29700002,0.30600002,0.28500003,2122.2231,0.629,0.656,0.324,0.68500006,0,0.42000002,Linear_1S,dynamic
151,0.66700006,0.62100005,0.69200003,-0.025,0.22000001,0.26000002,0.53400004,0.20600002,0.30100003,0.24300002,2476.1052,0.37500003,0.772,0.37500003,1.228,1,0.688,BYM_1S,dynamic
151,1.8730001,1.8600001,2.6200001,-0.74700004,0.344,0.882,0.95500004,0.757,0.78800005,0.287,0.284,0.337,0.365,1.23,2.575,0,0.448,Linear_1S,stoch
151,2.525,2.345,2.6200001,-0.095000006,0.83300006,0.44900003,0.96300006,0.35300002,0.72400004,0.24300002,0.282,0.171,0.36800003,1.4230001,4.6450005,1,0.998,BYM_1S,stoch
206,0.684,0.683,0.69200003,-0.008,0.079,0.21200001,0.24900001,0.119,0.13100001,0.091000006,0.17400001,0.30600002,0.35900003,0.53400004,0.84400004,1,0.94000006,Linear_oracle,dynamic
206,0.88100004,0.84200007,0.69200003,0.18900001,0.20300001,0.245,0.43100002,0.18900001,0.22600001,0.29500002,0.367,0.35300002,0.62200004,0.6,1.378,1,1,BYM_oracle,dynamic
206,2.5830002,2.5790002,2.6200001,-0.037,0.296,0.13100001,0.35000002,0.102000006,0.264,0.091000006,0.102000006,0.05,0.134,2.0180001,3.183,1,0.994,Linear_oracle,stoch
206,3.3270001,3.1790001,2.6200001,0.707,0.76600003,0.777,1.1220001,0.707,0.77400005,0.29200003,0.287,0.29700002,0.42800003,2.266,5.21,1,1,BYM_oracle,stoch
206,0.32700002,0.328,0.69200003,-0.365,0.066,0.54,0.55200005,0.38900003,0.393,0.527,848.01,0.781,0.79700005,0.19600001,0.45600003,0,0.30400002,Linear_observed,dynamic
206,0.684,0.606,0.69200003,-0.008,0.337,0.54200006,0.90400004,0.36400002,0.44000003,0.37,1791.5001,0.78400004,1.3060001,0.26900002,1.5430001,1,0.76600003,BYM_observed,dynamic
206,1.2310001,1.2320001,2.6200001,-1.389,0.24300002,1.5710001,1.5920001,1.389,1.394,0.53000003,0.50100005,0.59900004,0.60800004,0.754,1.702,0,0.086,Linear_observed,stoch
206,2.572,2.2810001,2.6200001,-0.048,1.261,0.74700004,1.4900001,0.56200004,1.1140001,0.367,0.439,0.28500003,0.569,1.0300001,5.775,1,0.994,BYM_observed,stoch
206,0.46100003,0.45600003,0.69200003,-0.231,0.08400001,0.43400002,0.47300002,0.298,0.33100003,0.335,1668.295,0.62700003,0.684,0.30900002,0.63900006,0,0.77400005,Linear_3S,dynamic
206,1.746,1.7320001,2.6200001,-0.874,0.30800003,1.01,1.092,0.88000005,0.91700006,0.33400002,0.33200002,0.38500002,0.41700003,1.1800001,2.391,0,0.522,Linear_3S,stoch
206,0.47100002,0.53300005,0.69200003,-0.22100002,0.386,0.377,0.781,0.275,0.41500002,0.41300002,2006.2401,0.545,1.1290001,-0.554,1.033,1,0.938,BYM_3S,dynamic
206,1.7860001,2.025,2.6200001,-0.83400005,1.4560001,0.989,1.8160001,0.84400004,1.1780001,0.41000003,0.44900003,0.377,0.693,-2.048,3.8990002,1,1,BYM_3S,stoch
206,0.76900005,0.76600003,0.69200003,0.07700001,0.115,0.35000002,0.381,0.28,0.29500002,0.15900001,3786.1482,0.50600004,0.55,0.555,1.005,1,0.432,Linear_1S,dynamic
206,0.934,0.897,0.69200003,0.24200001,0.224,0.34800002,0.49500003,0.296,0.358,0.367,4390.1743,0.50200003,0.716,0.606,1.4770001,1,0.49600002,BYM_1S,dynamic
206,2.8930001,2.88,2.6200001,0.273,0.42800003,0.513,0.68600005,0.40300003,0.523,0.15400001,0.21300001,0.19600001,0.26200002,2.094,3.772,1,0.906,Linear_1S,stoch
206,3.5160003,3.3760002,2.6200001,0.896,0.84200007,1.0220001,1.3460001,0.90400004,1.005,0.36,0.411,0.39000002,0.514,2.282,5.557,1,0.78800005,BYM_1S,stoch
261,0.402,0.40100002,0.69200003,-0.29000002,0.058000002,0.476,0.48800004,0.29000002,0.29000002,0.41900003,0.397,0.68700004,0.70500004,0.291,0.517,0,0.1,Linear_oracle,dynamic
261,0.55,0.505,0.69200003,-0.142,0.187,0.18100001,0.453,0.142,0.231,0.293,0.33100003,0.26200002,0.65400004,0.323,1.036,1,1,BYM_oracle,dynamic
261,1.5230001,1.5200001,2.6200001,-1.097,0.21800001,1.1500001,1.174,1.098,1.098,0.41900003,0.41700003,0.439,0.448,1.1040001,1.9580001,0,0,Linear_oracle,stoch
261,2.0900002,1.917,2.6200001,-0.53000003,0.711,0.59400004,0.94400007,0.53000003,0.77500004,0.29200003,0.293,0.22700001,0.36,1.2290001,3.9450002,1,1,BYM_oracle,stoch
261,0.28,0.28,0.69200003,-0.41200003,0.074,0.61,0.62100005,0.42900002,0.43400002,0.595,707.82806,0.882,0.89800006,0.136,0.42600003,0,0.298,Linear_observed,dynamic
261,0.365,0.34600002,0.69200003,-0.32700002,0.67600006,0.74200004,1.067,0.43400002,0.832,0.97200006,5199.8345,1.0730001,1.542,-0.35700002,1.123,1,0.77400005,BYM_observed,dynamic
261,1.0430001,1.044,2.6200001,-1.577,0.261,1.7400001,1.7620001,1.577,1.5780001,0.60200006,0.57500005,0.66400003,0.67300004,0.537,1.5580001,0,0.042000003,Linear_observed,stoch
261,1.2950001,1.2240001,2.6200001,-1.325,2.3300002,1.5230001,2.9650002,1.3290001,2.548,0.88400006,1.0070001,0.58100003,1.1320001,-1.197,3.9300003,1,0.79200006,BYM_observed,stoch
261,0.36100003,0.358,0.69200003,-0.33100003,0.067,0.545,0.56600004,0.36600003,0.38300002,0.47800002,1150.237,0.78800005,0.81700003,0.23700002,0.49800003,0,0.57000005,Linear_3S,dynamic
261,1.396,1.3850001,2.6200001,-1.2240001,0.257,1.3470001,1.389,1.2240001,1.23,0.467,0.45000002,0.514,0.53000003,0.91800004,1.9190001,0,0.13800001,Linear_3S,stoch
261,0.45000002,0.411,0.69200003,-0.24200001,0.165,0.388,0.577,0.28500003,0.36600003,0.393,1305.0441,0.56100005,0.83400005,0.24700001,0.92,1,0.79800004,BYM_3S,dynamic
261,1.7390001,1.577,2.6200001,-0.88100004,0.63900006,1.033,1.2440001,0.887,1.049,0.384,0.38700002,0.39400002,0.47500002,0.95400006,3.5570002,1,0.98,BYM_3S,stoch
