idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
2,0.647,0.647,0.646,0.001,0.017,0.017,0.035,0.014,0.019000001,0.021000002,0.030000001,0.001,0.002,0.614,0.68100005,1,1,Linear_oracle,dynamic
2,0.646,0.646,0.646,0,0.018000001,0.018000001,0.155,0.014,0.083000004,0.022000002,0.15200001,0.001,0.049000002,0.611,0.68,1,0.8880001,GP_oracle,dynamic
2,2.65,2.65,2.6460001,0.004,0.071,0.071,0.079,0.057000004,0.058000002,0.022000002,0.022000002,0.001,0.001,2.5110002,2.7900002,1,1,Linear_oracle,stoch
2,2.5740001,2.5740001,2.6460001,-0.072000004,0.074,0.10300001,0.432,0.085,0.21000001,0.032,0.076000005,0.002,0.012,2.4250002,2.716,1,0.79,GP_oracle,stoch
2,0.48200002,0.48200002,0.646,-0.164,0.039,0.16800001,0.319,0.164,0.24400002,0.254,1541.753,0.068,30076898,0.40800002,0.559,0,0.254,Linear_observed,dynamic
2,0.24400002,0.24400002,0.646,-0.402,0.057000004,0.407,0.549,0.40300003,0.44900003,0.623,1761.0901,0.39600003,49478156,0.128,0.358,0,0.30400002,GP_observed,dynamic
2,1.766,1.766,2.6460001,-0.88000005,0.128,0.88900006,1.141,0.88000005,0.91600007,0.33200002,0.31300002,0.113000005,0.123,1.5200001,2.02,0,0.16800001,Linear_observed,stoch
2,1.9790001,1.978,2.6460001,-0.66700006,0.133,0.68100005,1.3210001,0.66700006,1.0660001,0.252,0.397,0.066,0.21300001,1.725,2.24,0,0.26200002,GP_observed,stoch
2,0.595,0.59400004,0.646,-0.051000003,0.037,0.064,0.29000002,0.055000003,0.224,0.085,2130.3,0.010000001,72828120,0.52400005,0.67,1,0.90800005,Linear_3S,dynamic
2,2.3030002,2.3030002,2.6460001,-0.34300002,0.11800001,0.363,0.62700003,0.344,0.49100003,0.13000001,0.179,0.019000001,0.047000002,2.071,2.532,0,0.77000004,Linear_3S,stoch
2,0.574,0.573,0.646,-0.072000004,0.042000003,0.08400001,0.36,0.075,0.264,0.115,1749.676,0.017,63797156,0.49300003,0.66,1,0.94200003,GP_3S,dynamic
2,2.134,2.1330001,2.6460001,-0.512,0.13000001,0.52900004,0.841,0.512,0.652,0.194,0.23900001,0.040000003,0.081,1.881,2.3890002,0,0.90800005,GP_3S,stoch
2,0.75500005,0.75500005,0.646,0.109000005,0.027,0.112,0.257,0.109000005,0.209,0.16800001,3358.1711,0.030000001,118226520,0.702,0.808,0,0.16000001,Linear_1S,dynamic
2,0.76000005,0.76000005,0.646,0.11400001,0.033,0.11800001,0.314,0.113000005,0.245,0.17500001,3247.756,0.033,122885000,0.694,0.82400006,0,0.35200003,GP_1S,dynamic
2,2.9120002,2.9120002,2.6460001,0.266,0.104,0.286,0.462,0.266,0.37800002,0.101,0.162,0.012,0.045,2.7110002,3.1160002,0,0.30600002,Linear_1S,stoch
2,2.8030002,2.8030002,2.6460001,0.157,0.133,0.20600002,0.64500004,0.17300001,0.44500002,0.065000005,0.171,0.006,0.05,2.542,3.0600002,1,0.522,GP_1S,stoch
57,0.675,0.675,0.646,0.029000001,0.016,0.033,0.049000002,0.029000001,0.034,0.046000004,0.067,0.003,0.007,0.64400005,0.70600003,1,0.20600002,Linear_oracle,dynamic
57,0.66400003,0.66400003,0.646,0.018000001,0.018000001,0.025,0.133,0.021000002,0.074,0.032,0.141,0.002,0.043,0.628,0.70000005,1,0.99600005,GP_oracle,dynamic
57,2.769,2.769,2.6460001,0.123,0.066,0.14,0.155,0.125,0.126,0.047000002,0.045,0.003,0.003,2.64,2.8980002,1,0.84200007,Linear_oracle,stoch
57,2.7170002,2.7170002,2.6460001,0.071,0.075,0.10300001,0.36400002,0.085,0.16800001,0.032,0.059000004,0.002,0.007,2.569,2.8650002,1,0.99200004,GP_oracle,stoch
57,0.535,0.535,0.646,-0.11100001,0.041,0.119,0.31100002,0.112,0.24200001,0.17300001,1933.6201,0.034,45277108,0.45600003,0.61600006,0,0.224,Linear_observed,dynamic
57,0.35700002,0.35700002,0.646,-0.289,0.065000005,0.296,0.46300003,0.289,0.36400002,0.44700003,1588.176,0.21000001,40658628,0.22900002,0.48600003,0,0.47000003,GP_observed,dynamic
