idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
23.0,0.63900006,0.64000005,0.646,-0.007,0.017,0.018000001,0.034,0.015000001,0.019000001,0.023000002,0.032,0.001,0.002,0.606,0.67300004,1.0,1.0,Linear_oracle,dynamic
23.0,0.624,0.623,0.646,-0.022000002,0.019000001,0.030000001,0.147,0.025,0.064,0.038000003,0.11800001,0.002,0.038000003,0.587,0.661,1.0,0.98600006,GP_oracle,dynamic
23.0,2.617,2.618,2.6460001,-0.029000001,0.071,0.07700001,0.085,0.061000004,0.063,0.023000002,0.023000002,0.001,0.001,2.4770002,2.756,1.0,1.0,Linear_oracle,stoch
23.0,2.502,2.502,2.6460001,-0.14400001,0.078,0.164,0.439,0.14600001,0.18900001,0.055000003,0.066,0.004,0.010000001,2.348,2.654,1.0,0.97800004,GP_oracle,stoch
23.0,0.505,0.505,0.646,-0.141,0.036000002,0.14600001,0.305,0.141,0.231,0.21900001,1746.545,0.051000003,37132236.0,0.43400002,0.57600003,0.0,0.252,Linear_observed,dynamic
23.0,0.33900002,0.33900002,0.646,-0.307,0.062000003,0.31300002,0.508,0.307,0.39600003,0.47500002,1960.9312,0.23500001,58650556.0,0.21900001,0.46100003,0.0,0.42800003,GP_observed,dynamic
23.0,1.825,1.8260001,2.6460001,-0.82100004,0.12100001,0.83000004,1.098,0.82100004,0.874,0.31,0.3,0.098000005,0.116000004,1.588,2.059,0.0,0.18,Linear_observed,stoch
23.0,2.023,2.0240002,2.6460001,-0.623,0.124000005,0.63500005,1.271,0.623,1.034,0.23500001,0.384,0.058000002,0.19900002,1.7800001,2.265,0.0,0.26000002,GP_observed,stoch
23.0,0.574,0.573,0.646,-0.072000004,0.038000003,0.081,0.294,0.07300001,0.22800002,0.113000005,2209.885,0.016,75962330.0,0.503,0.652,1.0,0.892,Linear_3S,dynamic
23.0,2.176,2.1750002,2.6460001,-0.47000003,0.109000005,0.483,0.72,0.47000003,0.572,0.178,0.20500001,0.033,0.058000002,1.9650002,2.3920002,0.0,0.62600005,Linear_3S,stoch
23.0,0.526,0.52500004,0.646,-0.120000005,0.042000003,0.128,0.39400002,0.12100001,0.27800003,0.187,1708.331,0.039,64949190.0,0.446,0.61,0.0,0.934,GP_3S,dynamic
23.0,1.9540001,1.9540001,2.6460001,-0.69200003,0.123,0.703,0.966,0.69200003,0.772,0.26200002,0.28,0.071,0.105000004,1.713,2.1950002,0.0,0.77000004,GP_3S,stoch
23.0,0.735,0.735,0.646,0.089,0.025,0.09200001,0.245,0.089,0.2,0.13700001,3445.8152,0.020000001,120835560.0,0.684,0.78400004,0.0,0.192,Linear_1S,dynamic
23.0,0.72,0.72,0.646,0.074,0.038000003,0.083000004,0.31,0.074,0.23400001,0.115,3472.9001,0.016,126606616.0,0.647,0.795,0.0,0.47200003,GP_1S,dynamic
23.0,2.766,2.765,2.6460001,0.120000005,0.094000004,0.15300001,0.41200003,0.12900001,0.33400002,0.049000002,0.14,0.003,0.033,2.5790002,2.947,1.0,0.32200003,Linear_1S,stoch
23.0,2.687,2.686,2.6460001,0.041,0.148,0.15400001,0.614,0.123,0.41500002,0.046000004,0.16100001,0.003,0.046000004,2.3990002,2.976,1.0,0.632,GP_1S,stoch
78.0,0.64900005,0.64900005,0.646,0.003,0.018000001,0.018000001,0.035,0.014,0.018000001,0.022000002,0.029000001,0.001,0.001,0.615,0.684,1.0,1.0,Linear_oracle,dynamic
78.0,0.647,0.647,0.646,0.001,0.019000001,0.019000001,0.14500001,0.015000001,0.067,0.024,0.12200001,0.001,0.039,0.609,0.68500006,1.0,0.98600006,GP_oracle,dynamic
78.0,2.657,2.657,2.6460001,0.011000001,0.07300001,0.074,0.080000006,0.059000004,0.060000002,0.022000002,0.022000002,0.001,0.001,2.513,2.802,1.0,1.0,Linear_oracle,stoch
78.0,2.6060002,2.6060002,2.6460001,-0.040000003,0.082,0.091000006,0.47400004,0.07300001,0.18900001,0.028,0.060000002,0.001,0.010000001,2.4450002,2.7670002,1.0,0.966,GP_oracle,stoch
78.0,0.48100004,0.48000002,0.646,-0.165,0.034,0.16900001,0.31300002,0.16600001,0.23600002,0.256,1574.124,0.068,30779980.0,0.41300002,0.54700005,0.0,0.254,Linear_observed,dynamic
78.0,0.24300002,0.24300002,0.646,-0.40300003,0.065000005,0.409,0.52000004,0.404,0.423,0.625,1287.608,0.4,30465380.0,0.113000005,0.36800003,0.0,0.33,GP_observed,dynamic
78.0,1.7570001,1.7550001,2.6460001,-0.88900006,0.115,0.897,1.149,0.89000005,0.9250001,0.33600003,0.317,0.115,0.126,1.5280001,1.9810001,0.0,0.15,Linear_observed,stoch
78.0,1.743,1.7420001,2.6460001,-0.90300006,0.11800001,0.9110001,1.319,0.90300006,1.095,0.34100002,0.407,0.11800001,0.215,1.516,1.9720001,0.0,0.224,GP_observed,stoch
78.0,0.596,0.595,0.646,-0.05,0.040000003,0.065000005,0.289,0.055000003,0.224,0.085,2147.562,0.010000001,73207624.0,0.52000004,0.67800003,1.0,0.91400003,Linear_3S,dynamic
78.0,2.3000002,2.3000002,2.6460001,-0.34600002,0.12200001,0.367,0.63900006,0.347,0.5,0.13100001,0.18200001,0.019000001,0.048,2.058,2.536,0.0,0.754,Linear_3S,stoch
78.0,0.55200005,0.55,0.646,-0.094000004,0.046000004,0.105000004,0.365,0.096,0.268,0.148,1680.7521,0.027,63533984.0,0.46600002,0.646,0.0,0.952,GP_3S,dynamic
78.0,2.051,2.049,2.6460001,-0.595,0.135,0.611,0.915,0.596,0.717,0.22500001,0.26200002,0.053000003,0.095000006,1.7870001,2.319,0.0,0.89000005,GP_3S,stoch
78.0,0.72700006,0.72700006,0.646,0.081,0.026,0.08400001,0.24400002,0.080000006,0.2,0.124000005,3075.3901,0.017,97022810.0,0.675,0.777,0.0,0.15200001,Linear_1S,dynamic
78.0,0.734,0.734,0.646,0.08800001,0.037,0.095000006,0.307,0.08800001,0.23900001,0.136,2945.8362,0.022000002,97426470.0,0.661,0.80700004,0.0,0.39200002,GP_1S,dynamic
78.0,2.798,2.798,2.6460001,0.15200001,0.098000005,0.18100001,0.42100003,0.158,0.33900002,0.060000002,0.143,0.0050000004,0.036000002,2.601,2.993,1.0,0.34,Linear_1S,stoch
78.0,2.7040002,2.703,2.6460001,0.058000002,0.14600001,0.157,0.646,0.125,0.42600003,0.047000002,0.16100001,0.004,0.044000003,2.4180002,2.9910002,1.0,0.61,GP_1S,stoch
133.0,0.648,0.648,0.646,0.002,0.018000001,0.018000001,0.035,0.014,0.019000001,0.022000002,0.030000001,0.001,0.002,0.61300004,0.683,1.0,1.0,Linear_oracle,dynamic
133.0,0.642,0.642,0.646,-0.004,0.018000001,0.019000001,0.12900001,0.015000001,0.066,0.023000002,0.123,0.001,0.036000002,0.606,0.67700005,1.0,0.95400006,GP_oracle,dynamic
