idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
16,0.47300002,0.47200003,0.646,-0.17300001,0.065000005,0.335,0.354,0.17300001,0.177,0.268,0.22100002,0.268,0.071,0.351,0.60800004,0,0.89800006,Linear_oracle,dynamic
16,0.671,0.61700004,0.646,0.025,0.21400002,0.072000004,0.432,0.024,0.17400001,0.038000003,0.22800002,0.012,0.101,0.397,1.212,1,1,BYM_oracle,dynamic
16,1.9430001,1.937,2.6460001,-0.703,0.272,0.72400004,0.78300005,0.703,0.70600003,0.266,0.26900002,0.075,0.083000004,1.4330001,2.503,0,0.046000004,Linear_oracle,stoch
16,2.742,2.525,2.6460001,0.096,0.87200004,0.096,0.91200006,0.096,0.65900004,0.036000002,0.25100002,0.001,0.113000005,1.618,4.947,1,1,BYM_oracle,stoch
16,0.337,0.337,0.646,-0.30900002,0.078,0.49,0.504,0.344,0.35000002,0.532,1164.3151,0.574,20543762,0.186,0.49400002,0,0.268,Linear_observed,dynamic
16,0.446,0.39100003,0.646,-0.2,0.22100002,0.32500002,0.56700003,0.245,0.354,0.379,1399.786,0.254,36978532,0.187,1.09,1,0.70400006,BYM_observed,dynamic
16,1.235,1.2360001,2.6460001,-1.411,0.26900002,1.582,1.608,1.411,1.416,0.53300005,0.508,0.35700002,0.287,0.72,1.7750001,0,0.1,Linear_observed,stoch
16,1.649,1.4410001,2.6460001,-0.99700004,0.80100006,1.2270001,1.478,1.014,1.2370001,0.38300002,0.44900003,0.215,0.26000002,0.73700005,3.9900002,1,0.94400007,BYM_observed,stoch
16,0.37300003,0.37,0.646,-0.273,0.072000004,0.46600002,0.49,0.31300002,0.33400002,0.485,1240.0801,0.51900005,28160994,0.24000001,0.523,0,0.67200005,Linear_3S,dynamic
16,1.4380001,1.429,2.6460001,-1.2080001,0.26500002,1.3240001,1.368,1.2080001,1.2140001,0.45700002,0.441,0.25,0.21700001,0.93600005,1.9820001,0,0.148,Linear_3S,stoch
