idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
24.0,1.1270001,1.0480001,0.69200003,0.43500003,0.469,0.68100005,1.052,0.43500003,0.48800004,0.69600004,0.68600005,0.98300004,1.5200001,0.47000003,2.227,1.0,1.0,Linear_oracle,dynamic
24.0,1.092,1.013,0.69200003,0.4,0.42600003,0.827,1.1750001,0.4,0.453,0.629,0.499,1.195,1.697,0.505,2.1160002,1.0,1.0,BYM_oracle,dynamic
24.0,4.262,3.9650002,2.6200001,1.6420001,1.7750001,1.7310001,2.5440001,1.6420001,1.8220001,0.69500005,0.69000006,0.661,0.9710001,1.7810001,8.424001,1.0,1.0,Linear_oracle,stoch
24.0,4.143,3.8420002,2.6200001,1.5230001,1.6150001,1.5550001,2.2900002,1.5230001,1.659,0.63100004,0.64400005,0.59400004,0.874,1.9130001,8.034,1.0,1.0,BYM_oracle,stoch
24.0,1.2010001,1.103,0.69200003,0.509,0.609,1.1910001,1.6220001,0.648,0.73800004,0.855,4020.1802,1.7210001,2.344,0.35300002,2.6420002,1.0,0.772,Linear_observed,dynamic
24.0,1.151,1.0610001,0.69200003,0.45900002,0.53400004,1.3870001,1.7320001,0.66300005,0.75500005,0.75600004,3109.186,2.0040002,2.503,0.38700002,2.437,1.0,0.90800005,BYM_observed,dynamic
24.0,4.44,4.086,2.6200001,1.82,2.236,2.0640001,3.0930002,1.8570001,2.2610002,0.82100004,0.947,0.78800005,1.1800001,1.3180001,9.726001,1.0,0.99200004,Linear_observed,stoch
24.0,4.294,3.966,2.6200001,1.674,1.9640001,1.8770001,2.7630002,1.7110001,2.0370002,0.73200005,0.86200005,0.716,1.0550001,1.478,9.0130005,1.0,0.97400004,BYM_observed,stoch
24.0,1.245,1.167,0.69200003,0.55300003,0.551,1.0550001,1.4890001,0.60300004,0.74600005,0.86800003,3923.9092,1.524,2.1520002,0.437,2.483,1.0,1.0,Linear_3S,dynamic
24.0,4.9020004,4.604,2.6200001,2.282,2.163,2.355,3.3390002,2.282,2.496,0.93000007,1.01,0.89900005,1.274,1.725,9.767,1.0,0.99200004,Linear_3S,stoch
24.0,0.897,0.81100005,0.69200003,0.20500001,0.43100002,0.67700005,1.143,0.374,0.527,0.49800003,2348.59,0.97800004,1.651,0.319,1.9280001,1.0,0.998,BYM_3S,dynamic
24.0,3.522,3.183,2.6200001,0.90200007,1.6910001,0.99500006,2.059,0.9110001,1.4640001,0.52500004,0.595,0.38000003,0.786,1.2520001,7.5650005,1.0,1.0,BYM_3S,stoch
24.0,1.1810001,1.0810001,0.69200003,0.48900002,0.48600003,0.656,1.003,0.517,0.591,0.744,4659.726,0.9480001,1.4480001,0.536,2.334,1.0,0.58000004,Linear_1S,dynamic
24.0,1.167,1.0760001,0.69200003,0.47500002,0.46300003,0.804,1.1800001,0.522,0.583,0.71900004,4016.6772,1.161,1.705,0.54300004,2.2800002,1.0,0.634,BYM_1S,dynamic
24.0,4.681,4.2850003,2.6200001,2.061,1.9280001,2.1850002,2.96,2.061,2.1720002,0.814,0.869,0.83400005,1.13,2.121,9.258,1.0,0.8880001,Linear_1S,stoch
24.0,4.609,4.2520003,2.6200001,1.9890001,1.8270001,2.0760002,2.802,1.988,2.091,0.78400004,0.84800005,0.79200006,1.069,2.1430001,9.029,1.0,0.878,BYM_1S,stoch
79.0,1.1520001,1.065,0.69200003,0.46,0.42100003,0.79200006,1.077,0.46,0.47400004,0.68100005,0.619,1.1450001,1.557,0.60700005,2.15,1.0,1.0,Linear_oracle,dynamic
79.0,1.268,1.212,0.69200003,0.57600003,0.402,1.128,1.371,0.57600003,0.583,0.837,0.64500004,1.6300001,1.9810001,0.674,2.1990001,1.0,0.91,BYM_oracle,dynamic
79.0,4.3630004,4.033,2.6200001,1.743,1.593,1.8140001,2.4620001,1.743,1.7850001,0.68100005,0.68100005,0.69200003,0.94000006,2.298,8.1380005,1.0,1.0,Linear_oracle,stoch
79.0,4.809,4.598,2.6200001,2.1890001,1.5250001,2.2470002,2.7470002,2.1890001,2.2020001,0.84000003,0.85400003,0.85800004,1.0480001,2.5540001,8.337001,1.0,0.97,BYM_oracle,stoch
79.0,1.0320001,0.92200005,0.69200003,0.34,0.513,1.108,1.526,0.56600004,0.637,0.64500004,3082.3762,1.6,2.2050002,0.38200003,2.239,1.0,0.75200003,Linear_observed,dynamic
79.0,-0.19900002,-0.056,0.69200003,-0.89100003,0.517,1.2980001,1.473,0.89100003,0.9110001,1.2880001,2670.1602,1.8750001,2.128,-1.0400001,0.356,0.0,0.294,BYM_observed,dynamic
79.0,3.8330002,3.427,2.6200001,1.213,1.8950001,1.47,2.4290001,1.2930001,1.7650001,0.625,0.73800004,0.56100005,0.92700005,1.4360001,8.279,1.0,0.98,Linear_observed,stoch
79.0,-0.689,-0.172,2.6200001,-3.3090003,1.8510001,3.436,3.9510002,3.3100002,3.3100002,1.263,1.2750001,1.3110001,1.508,-3.706,1.292,0.0,0.012,BYM_observed,stoch
79.0,0.80600005,0.708,0.69200003,0.11400001,0.344,0.521,0.883,0.323,0.42800003,0.37,2343.8882,0.753,1.276,0.39400002,1.6890001,1.0,0.984,Linear_3S,dynamic
79.0,3.1250002,2.7470002,2.6200001,0.505,1.33,0.674,1.5790001,0.574,1.1140001,0.38000003,0.45000002,0.257,0.60300004,1.531,6.5360003,1.0,1.0,Linear_3S,stoch
79.0,1.0480001,1.0090001,0.69200003,0.356,0.601,1.077,1.7340001,0.51600003,0.72400004,0.78800005,2734.2932,1.5550001,2.505,0.038000003,2.3130002,1.0,0.99600005,BYM_3S,dynamic
79.0,4.0610003,3.9110003,2.6200001,1.4410001,2.3240001,1.5070001,2.851,1.4410001,2.196,0.81500006,0.90000004,0.57500005,1.088,0.17400001,8.935,1.0,1.0,BYM_3S,stoch
79.0,1.197,1.08,0.69200003,0.505,0.45400003,0.75500005,1.049,0.535,0.577,0.74100006,4897.7803,1.0910001,1.5150001,0.62600005,2.295,1.0,0.54200006,Linear_1S,dynamic
79.0,1.107,0.99700004,0.69200003,0.41500002,0.397,0.68,0.975,0.46300003,0.50200003,0.61200005,4327.6323,0.98200005,1.409,0.62100005,2.1230001,1.0,0.55600005,BYM_1S,dynamic
79.0,4.6600003,4.203,2.6200001,2.0400002,1.769,2.14,2.811,2.0400002,2.098,0.78700006,0.851,0.81700003,1.0730001,2.437,8.941,1.0,0.634,Linear_1S,stoch
79.0,4.307,3.8810003,2.6200001,1.687,1.5460001,1.7770001,2.3830001,1.687,1.7540001,0.65300006,0.71800005,0.67800003,0.90900004,2.4160001,8.267,1.0,0.652,BYM_1S,stoch
