idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
27,1.8980001,1.894,3.0000002,-1.102,0.20700002,1.102,1.121,1.102,1.102,0.367,0.367,0.367,0.374,1.4990001,2.309,0,0,Linear_oracle,dynamic
27,2.663,2.489,3.0000002,-0.337,0.75200003,0.337,0.82400006,0.337,0.674,0.22500001,0.22500001,0.112,0.275,1.756,4.638,1,1,BYM_oracle,dynamic
27,1.8980001,1.894,3.0000002,-1.102,0.20700002,1.102,1.121,1.102,1.102,0.367,0.367,0.367,0.374,1.4990001,2.309,0,0,Linear_oracle,stoch
27,2.663,2.489,3.0000002,-0.337,0.75200003,0.337,0.82400006,0.337,0.674,0.22500001,0.22500001,0.112,0.275,1.756,4.638,1,1,BYM_oracle,stoch
27,1.8980001,1.894,3.0000002,-1.102,0.20700002,1.102,1.121,1.102,1.102,0.367,0.367,0.367,0.374,1.4990001,2.309,0,0,Linear_observed,dynamic
27,2.322,2.17,3.0000002,-0.67800003,0.64000005,0.67800003,0.93200004,0.67800003,0.83400005,0.27800003,0.27800003,0.22600001,0.31100002,1.6270001,4.0670004,1,1,BYM_observed,dynamic
27,1.8980001,1.894,3.0000002,-1.102,0.20700002,1.102,1.121,1.102,1.102,0.367,0.367,0.367,0.374,1.4990001,2.309,0,0,Linear_observed,stoch
27,2.322,2.17,3.0000002,-0.67800003,0.64000005,0.67800003,0.93200004,0.67800003,0.83400005,0.27800003,0.27800003,0.22600001,0.31100002,1.6270001,4.0670004,1,1,BYM_observed,stoch
27,1.9160001,1.917,3.0000002,-1.0840001,0.21000001,1.0840001,1.1040001,1.0840001,1.0840001,0.36100003,0.36100003,0.36100003,0.36800003,1.5020001,2.3200002,0,0,Linear_3S,dynamic
27,1.9160001,1.917,3.0000002,-1.0840001,0.21000001,1.0840001,1.1040001,1.0840001,1.0840001,0.36100003,0.36100003,0.36100003,0.36800003,1.5020001,2.3200002,0,0,Linear_3S,stoch
27,2.1720002,2.1290002,3.0000002,-0.82800007,0.402,0.82800007,0.92100006,0.82800007,0.85300004,0.284,0.284,0.27600002,0.307,1.5640001,3.0790002,1,1,BYM_3S,dynamic
