idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
53.0,2.102,2.1000001,3.0000002,-0.89800006,0.216,0.89800006,0.924,0.89800006,0.89800006,0.29900002,0.29900002,0.29900002,0.30800003,1.682,2.5340002,0.0,0.0,Linear_oracle,dynamic
53.0,3.4580002,3.2600002,3.0000002,0.45800003,1.0150001,0.45800003,1.1140001,0.45800003,0.777,0.259,0.259,0.15300001,0.37100002,2.092,5.9490004,1.0,1.0,BYM_oracle,dynamic
53.0,2.102,2.1000001,3.0000002,-0.89800006,0.216,0.89800006,0.924,0.89800006,0.89800006,0.29900002,0.29900002,0.29900002,0.30800003,1.682,2.5340002,0.0,0.0,Linear_oracle,stoch
53.0,3.4580002,3.2600002,3.0000002,0.45800003,1.0150001,0.45800003,1.1140001,0.45800003,0.777,0.259,0.259,0.15300001,0.37100002,2.092,5.9490004,1.0,1.0,BYM_oracle,stoch
53.0,2.102,2.1000001,3.0000002,-0.89800006,0.216,0.89800006,0.924,0.89800006,0.89800006,0.29900002,0.29900002,0.29900002,0.30800003,1.682,2.5340002,0.0,0.0,Linear_observed,dynamic
53.0,-0.51900005,-0.60400003,3.0000002,-3.519,0.51000005,3.519,3.5560002,3.519,3.519,1.1730001,1.1730001,1.1730001,1.1850001,-1.143,0.275,0.0,0.0,BYM_observed,dynamic
53.0,2.102,2.1000001,3.0000002,-0.89800006,0.216,0.89800006,0.924,0.89800006,0.89800006,0.29900002,0.29900002,0.29900002,0.30800003,1.682,2.5340002,0.0,0.0,Linear_observed,stoch
53.0,-0.51900005,-0.60400003,3.0000002,-3.519,0.51000005,3.519,3.5560002,3.519,3.519,1.1730001,1.1730001,1.1730001,1.1850001,-1.143,0.275,0.0,0.0,BYM_observed,stoch
53.0,2.105,2.1230001,3.0000002,-0.89500004,0.24800001,0.89500004,0.929,0.89500004,0.89500004,0.298,0.298,0.298,0.31,1.6070001,2.499,0.0,0.0,Linear_3S,dynamic
53.0,2.105,2.1230001,3.0000002,-0.89500004,0.24800001,0.89500004,0.929,0.89500004,0.89500004,0.298,0.298,0.298,0.31,1.6070001,2.499,0.0,0.0,Linear_3S,stoch
53.0,2.7510002,2.5830002,3.0000002,-0.24900001,0.734,0.24900001,0.77500004,0.24900001,0.615,0.20500001,0.20500001,0.083000004,0.25800002,1.845,4.7050004,1.0,1.0,BYM_3S,dynamic
53.0,2.7510002,2.5830002,3.0000002,-0.24900001,0.734,0.24900001,0.77500004,0.24900001,0.615,0.20500001,0.20500001,0.083000004,0.25800002,1.845,4.7050004,1.0,1.0,BYM_3S,stoch
53.0,2.102,2.1000001,3.0000002,-0.89800006,0.216,0.89800006,0.924,0.89800006,0.89800006,0.29900002,0.29900002,0.29900002,0.30800003,1.682,2.5340002,0.0,0.0,Linear_1S,dynamic
53.0,2.969,2.719,3.0000002,-0.031000001,0.93200004,0.031000001,0.93200004,0.031000001,0.69100004,0.23,0.23,0.010000001,0.31100002,1.8920001,5.4230003,1.0,1.0,BYM_1S,dynamic
53.0,2.102,2.1000001,3.0000002,-0.89800006,0.216,0.89800006,0.924,0.89800006,0.89800006,0.29900002,0.29900002,0.29900002,0.30800003,1.682,2.5340002,0.0,0.0,Linear_1S,stoch
53.0,2.969,2.719,3.0000002,-0.031000001,0.93200004,0.031000001,0.93200004,0.031000001,0.69100004,0.23,0.23,0.010000001,0.31100002,1.8920001,5.4230003,1.0,1.0,BYM_1S,stoch
108.0,2.223,2.2210002,3.0000002,-0.777,0.22100002,0.777,0.80700004,0.777,0.777,0.259,0.259,0.259,0.26900002,1.7900001,2.6560001,0.0,0.0,Linear_oracle,dynamic
108.0,3.6740003,3.3720002,3.0000002,0.674,1.2310001,0.674,1.404,0.674,0.93500006,0.312,0.312,0.22500001,0.46800002,2.184,6.9800005,1.0,1.0,BYM_oracle,dynamic
108.0,2.223,2.2210002,3.0000002,-0.777,0.22100002,0.777,0.80700004,0.777,0.777,0.259,0.259,0.259,0.26900002,1.7900001,2.6560001,0.0,0.0,Linear_oracle,stoch
108.0,3.6740003,3.3720002,3.0000002,0.674,1.2310001,0.674,1.404,0.674,0.93500006,0.312,0.312,0.22500001,0.46800002,2.184,6.9800005,1.0,1.0,BYM_oracle,stoch
108.0,2.223,2.2210002,3.0000002,-0.777,0.22100002,0.777,0.80700004,0.777,0.777,0.259,0.259,0.259,0.26900002,1.7900001,2.6560001,0.0,0.0,Linear_observed,dynamic
108.0,2.746,2.5370002,3.0000002,-0.254,0.76100004,0.254,0.80200005,0.254,0.62600005,0.209,0.209,0.085,0.26700002,1.9330001,4.879,1.0,1.0,BYM_observed,dynamic
108.0,2.223,2.2210002,3.0000002,-0.777,0.22100002,0.777,0.80700004,0.777,0.777,0.259,0.259,0.259,0.26900002,1.7900001,2.6560001,0.0,0.0,Linear_observed,stoch
108.0,2.746,2.5370002,3.0000002,-0.254,0.76100004,0.254,0.80200005,0.254,0.62600005,0.209,0.209,0.085,0.26700002,1.9330001,4.879,1.0,1.0,BYM_observed,stoch
108.0,2.2340002,2.23,3.0000002,-0.76600003,0.192,0.76600003,0.79,0.76600003,0.76600003,0.25500003,0.25500003,0.25500003,0.263,1.899,2.683,0.0,0.0,Linear_3S,dynamic
108.0,2.2340002,2.23,3.0000002,-0.76600003,0.192,0.76600003,0.79,0.76600003,0.76600003,0.25500003,0.25500003,0.25500003,0.263,1.899,2.683,0.0,0.0,Linear_3S,stoch
108.0,2.5310001,2.437,3.0000002,-0.469,0.47400004,0.469,0.66700006,0.469,0.586,0.19500001,0.19500001,0.156,0.22200002,1.922,3.7300003,1.0,1.0,BYM_3S,dynamic
108.0,2.5310001,2.437,3.0000002,-0.469,0.47400004,0.469,0.66700006,0.469,0.586,0.19500001,0.19500001,0.156,0.22200002,1.922,3.7300003,1.0,1.0,BYM_3S,stoch
108.0,2.223,2.2210002,3.0000002,-0.777,0.22100002,0.777,0.80700004,0.777,0.777,0.259,0.259,0.259,0.26900002,1.7900001,2.6560001,0.0,0.0,Linear_1S,dynamic
108.0,2.926,2.6680002,3.0000002,-0.074,0.89100003,0.074,0.89400005,0.074,0.652,0.21700001,0.21700001,0.025,0.298,1.9770001,5.301,1.0,1.0,BYM_1S,dynamic
108.0,2.223,2.2210002,3.0000002,-0.777,0.22100002,0.777,0.80700004,0.777,0.777,0.259,0.259,0.259,0.26900002,1.7900001,2.6560001,0.0,0.0,Linear_1S,stoch
108.0,2.926,2.6680002,3.0000002,-0.074,0.89100003,0.074,0.89400005,0.074,0.652,0.21700001,0.21700001,0.025,0.298,1.9770001,5.301,1.0,1.0,BYM_1S,stoch
163.0,2.101,2.102,3.0000002,-0.89900005,0.21200001,0.89900005,0.924,0.89900005,0.89900005,0.3,0.3,0.3,0.30800003,1.69,2.5200002,0.0,0.0,Linear_oracle,dynamic
163.0,3.561,3.2930002,3.0000002,0.56100005,1.202,0.56100005,1.327,0.56100005,0.91200006,0.30400002,0.30400002,0.187,0.44200003,2.062,6.6840005,1.0,1.0,BYM_oracle,dynamic
163.0,2.101,2.102,3.0000002,-0.89900005,0.21200001,0.89900005,0.924,0.89900005,0.89900005,0.3,0.3,0.3,0.30800003,1.69,2.5200002,0.0,0.0,Linear_oracle,stoch
163.0,3.561,3.2930002,3.0000002,0.56100005,1.202,0.56100005,1.327,0.56100005,0.91200006,0.30400002,0.30400002,0.187,0.44200003,2.062,6.6840005,1.0,1.0,BYM_oracle,stoch
163.0,2.101,2.102,3.0000002,-0.89900005,0.21200001,0.89900005,0.924,0.89900005,0.89900005,0.3,0.3,0.3,0.30800003,1.69,2.5200002,0.0,0.0,Linear_observed,dynamic
163.0,3.0140002,2.69,3.0000002,0.014,1.1040001,0.014,1.1040001,0.014,0.762,0.254,0.254,0.0050000004,0.36800003,1.8800001,5.9950004,1.0,1.0,BYM_observed,dynamic
163.0,2.101,2.102,3.0000002,-0.89900005,0.21200001,0.89900005,0.924,0.89900005,0.89900005,0.3,0.3,0.3,0.30800003,1.69,2.5200002,0.0,0.0,Linear_observed,stoch
163.0,3.0140002,2.69,3.0000002,0.014,1.1040001,0.014,1.1040001,0.014,0.762,0.254,0.254,0.0050000004,0.36800003,1.8800001,5.9950004,1.0,1.0,BYM_observed,stoch
163.0,2.1390002,2.1290002,3.0000002,-0.86100006,0.223,0.86100006,0.89000005,0.86100006,0.86100006,0.287,0.287,0.287,0.29700002,1.7160001,2.5700002,0.0,0.0,Linear_3S,dynamic
163.0,2.1390002,2.1290002,3.0000002,-0.86100006,0.223,0.86100006,0.89000005,0.86100006,0.86100006,0.287,0.287,0.287,0.29700002,1.7160001,2.5700002,0.0,0.0,Linear_3S,stoch
163.0,3.2710001,2.857,3.0000002,0.27100003,1.3080001,0.27100003,1.3360001,0.27100003,0.924,0.30800003,0.30800003,0.09,0.44500002,1.904,6.8500004,1.0,1.0,BYM_3S,dynamic
163.0,3.2710001,2.857,3.0000002,0.27100003,1.3080001,0.27100003,1.3360001,0.27100003,0.924,0.30800003,0.30800003,0.09,0.44500002,1.904,6.8500004,1.0,1.0,BYM_3S,stoch
163.0,2.101,2.102,3.0000002,-0.89900005,0.21200001,0.89900005,0.924,0.89900005,0.89900005,0.3,0.3,0.3,0.30800003,1.69,2.5200002,0.0,0.0,Linear_1S,dynamic
163.0,3.6520002,3.3490002,3.0000002,0.652,1.3820001,0.652,1.5280001,0.652,1.056,0.35200003,0.35200003,0.21700001,0.509,1.9820001,7.1930003,1.0,1.0,BYM_1S,dynamic
163.0,2.101,2.102,3.0000002,-0.89900005,0.21200001,0.89900005,0.924,0.89900005,0.89900005,0.3,0.3,0.3,0.30800003,1.69,2.5200002,0.0,0.0,Linear_1S,stoch
163.0,3.6520002,3.3490002,3.0000002,0.652,1.3820001,0.652,1.5280001,0.652,1.056,0.35200003,0.35200003,0.21700001,0.509,1.9820001,7.1930003,1.0,1.0,BYM_1S,stoch
218.0,2.4680002,2.467,3.0000002,-0.532,0.22800002,0.532,0.57900006,0.532,0.53400004,0.178,0.178,0.177,0.193,2.025,2.9210002,0.0,0.0,Linear_oracle,dynamic
218.0,2.8750002,2.755,3.0000002,-0.125,0.544,0.125,0.558,0.125,0.42700002,0.142,0.142,0.042000003,0.186,2.176,4.2780004,1.0,1.0,BYM_oracle,dynamic
218.0,2.4680002,2.467,3.0000002,-0.532,0.22800002,0.532,0.57900006,0.532,0.53400004,0.178,0.178,0.177,0.193,2.025,2.9210002,0.0,0.0,Linear_oracle,stoch
218.0,2.8750002,2.755,3.0000002,-0.125,0.544,0.125,0.558,0.125,0.42700002,0.142,0.142,0.042000003,0.186,2.176,4.2780004,1.0,1.0,BYM_oracle,stoch
218.0,2.4680002,2.467,3.0000002,-0.532,0.22800002,0.532,0.57900006,0.532,0.53400004,0.178,0.178,0.177,0.193,2.025,2.9210002,0.0,0.0,Linear_observed,dynamic
218.0,0.31500003,0.42700002,3.0000002,-2.6850002,1.093,2.6850002,2.8990002,2.6850002,2.6850002,0.89500004,0.89500004,0.89500004,0.966,-1.3330001,1.741,0.0,0.0,BYM_observed,dynamic
218.0,2.4680002,2.467,3.0000002,-0.532,0.22800002,0.532,0.57900006,0.532,0.53400004,0.178,0.178,0.177,0.193,2.025,2.9210002,0.0,0.0,Linear_observed,stoch
218.0,0.31500003,0.42700002,3.0000002,-2.6850002,1.093,2.6850002,2.8990002,2.6850002,2.6850002,0.89500004,0.89500004,0.89500004,0.966,-1.3330001,1.741,0.0,0.0,BYM_observed,stoch
218.0,2.5,2.48,3.0000002,-0.5,0.24700001,0.5,0.558,0.5,0.503,0.16800001,0.16800001,0.16700001,0.186,2.009,2.9290001,0.0,0.0,Linear_3S,dynamic
218.0,2.5,2.48,3.0000002,-0.5,0.24700001,0.5,0.558,0.5,0.503,0.16800001,0.16800001,0.16700001,0.186,2.009,2.9290001,0.0,0.0,Linear_3S,stoch
218.0,2.4320002,2.7,3.0000002,-0.568,1.3840001,0.568,1.496,0.568,1.0070001,0.33600003,0.33600003,0.18900001,0.499,-0.029000001,4.809,1.0,1.0,BYM_3S,dynamic
218.0,2.4320002,2.7,3.0000002,-0.568,1.3840001,0.568,1.496,0.568,1.0070001,0.33600003,0.33600003,0.18900001,0.499,-0.029000001,4.809,1.0,1.0,BYM_3S,stoch
218.0,2.4680002,2.467,3.0000002,-0.532,0.22800002,0.532,0.57900006,0.532,0.53400004,0.178,0.178,0.177,0.193,2.025,2.9210002,0.0,0.0,Linear_1S,dynamic
218.0,3.1590002,2.9410002,3.0000002,0.15900001,0.83900005,0.15900001,0.85400003,0.15900001,0.57000005,0.19000001,0.19000001,0.053000003,0.28500003,2.204,5.3310003,1.0,1.0,BYM_1S,dynamic
218.0,2.4680002,2.467,3.0000002,-0.532,0.22800002,0.532,0.57900006,0.532,0.53400004,0.178,0.178,0.177,0.193,2.025,2.9210002,0.0,0.0,Linear_1S,stoch
218.0,3.1590002,2.9410002,3.0000002,0.15900001,0.83900005,0.15900001,0.85400003,0.15900001,0.57000005,0.19000001,0.19000001,0.053000003,0.28500003,2.204,5.3310003,1.0,1.0,BYM_1S,stoch
273.0,2.3270001,2.322,3.0000002,-0.67300004,0.22500001,0.67300004,0.71000004,0.67300004,0.67300004,0.224,0.224,0.224,0.23700002,1.8930001,2.7840002,0.0,0.0,Linear_oracle,dynamic
273.0,3.2600002,3.111,3.0000002,0.26000002,0.753,0.26000002,0.79700005,0.26000002,0.568,0.18900001,0.18900001,0.087000005,0.266,2.2240002,5.1600003,1.0,1.0,BYM_oracle,dynamic
273.0,2.3270001,2.322,3.0000002,-0.67300004,0.22500001,0.67300004,0.71000004,0.67300004,0.67300004,0.224,0.224,0.224,0.23700002,1.8930001,2.7840002,0.0,0.0,Linear_oracle,stoch
273.0,3.2600002,3.111,3.0000002,0.26000002,0.753,0.26000002,0.79700005,0.26000002,0.568,0.18900001,0.18900001,0.087000005,0.266,2.2240002,5.1600003,1.0,1.0,BYM_oracle,stoch
273.0,2.3270001,2.322,3.0000002,-0.67300004,0.22500001,0.67300004,0.71000004,0.67300004,0.67300004,0.224,0.224,0.224,0.23700002,1.8930001,2.7840002,0.0,0.0,Linear_observed,dynamic
273.0,2.868,2.6460001,3.0000002,-0.132,0.78900003,0.132,0.8,0.132,0.588,0.19600001,0.19600001,0.044000003,0.26700002,2.0270002,5.144,1.0,1.0,BYM_observed,dynamic
273.0,2.3270001,2.322,3.0000002,-0.67300004,0.22500001,0.67300004,0.71000004,0.67300004,0.67300004,0.224,0.224,0.224,0.23700002,1.8930001,2.7840002,0.0,0.0,Linear_observed,stoch
273.0,2.868,2.6460001,3.0000002,-0.132,0.78900003,0.132,0.8,0.132,0.588,0.19600001,0.19600001,0.044000003,0.26700002,2.0270002,5.144,1.0,1.0,BYM_observed,stoch
273.0,2.3040001,2.308,3.0000002,-0.69600004,0.20600002,0.69600004,0.726,0.69600004,0.69600004,0.23200001,0.23200001,0.23200001,0.24200001,1.9590001,2.7410002,0.0,0.0,Linear_3S,dynamic
273.0,2.3040001,2.308,3.0000002,-0.69600004,0.20600002,0.69600004,0.726,0.69600004,0.69600004,0.23200001,0.23200001,0.23200001,0.24200001,1.9590001,2.7410002,0.0,0.0,Linear_3S,stoch
273.0,2.062,2.4650002,3.0000002,-0.938,1.391,0.938,1.6780001,0.938,1.123,0.374,0.374,0.31300002,0.559,-0.549,4.1010003,1.0,1.0,BYM_3S,dynamic
273.0,2.062,2.4650002,3.0000002,-0.938,1.391,0.938,1.6780001,0.938,1.123,0.374,0.374,0.31300002,0.559,-0.549,4.1010003,1.0,1.0,BYM_3S,stoch
273.0,2.3270001,2.322,3.0000002,-0.67300004,0.22500001,0.67300004,0.71000004,0.67300004,0.67300004,0.224,0.224,0.224,0.23700002,1.8930001,2.7840002,0.0,0.0,Linear_1S,dynamic
273.0,3.1690001,2.9350002,3.0000002,0.16900001,0.89800006,0.16900001,0.91400003,0.16900001,0.642,0.21400002,0.21400002,0.056,0.305,2.1000001,5.5080004,1.0,1.0,BYM_1S,dynamic
273.0,2.3270001,2.322,3.0000002,-0.67300004,0.22500001,0.67300004,0.71000004,0.67300004,0.67300004,0.224,0.224,0.224,0.23700002,1.8930001,2.7840002,0.0,0.0,Linear_1S,stoch
273.0,3.1690001,2.9350002,3.0000002,0.16900001,0.89800006,0.16900001,0.91400003,0.16900001,0.642,0.21400002,0.21400002,0.056,0.305,2.1000001,5.5080004,1.0,1.0,BYM_1S,stoch
328.0,2.2340002,2.23,3.0000002,-0.76600003,0.224,0.76600003,0.799,0.76600003,0.76600003,0.25500003,0.25500003,0.25500003,0.266,1.8030001,2.6790001,0.0,0.0,Linear_oracle,dynamic
328.0,3.4610002,3.209,3.0000002,0.46100003,1.0630001,0.46100003,1.159,0.46100003,0.785,0.26200002,0.26200002,0.15400001,0.386,2.153,6.084,1.0,1.0,BYM_oracle,dynamic
328.0,2.2340002,2.23,3.0000002,-0.76600003,0.224,0.76600003,0.799,0.76600003,0.76600003,0.25500003,0.25500003,0.25500003,0.266,1.8030001,2.6790001,0.0,0.0,Linear_oracle,stoch
328.0,3.4610002,3.209,3.0000002,0.46100003,1.0630001,0.46100003,1.159,0.46100003,0.785,0.26200002,0.26200002,0.15400001,0.386,2.153,6.084,1.0,1.0,BYM_oracle,stoch
328.0,2.2340002,2.23,3.0000002,-0.76600003,0.224,0.76600003,0.799,0.76600003,0.76600003,0.25500003,0.25500003,0.25500003,0.266,1.8030001,2.6790001,0.0,0.0,Linear_observed,dynamic
328.0,2.8270001,2.581,3.0000002,-0.17300001,0.85700005,0.17300001,0.874,0.17300001,0.651,0.21700001,0.21700001,0.058000002,0.291,1.9460001,5.188,1.0,1.0,BYM_observed,dynamic
328.0,2.2340002,2.23,3.0000002,-0.76600003,0.224,0.76600003,0.799,0.76600003,0.76600003,0.25500003,0.25500003,0.25500003,0.266,1.8030001,2.6790001,0.0,0.0,Linear_observed,stoch
328.0,2.8270001,2.581,3.0000002,-0.17300001,0.85700005,0.17300001,0.874,0.17300001,0.651,0.21700001,0.21700001,0.058000002,0.291,1.9460001,5.188,1.0,1.0,BYM_observed,stoch
328.0,2.2710001,2.265,3.0000002,-0.72900003,0.215,0.72900003,0.76000005,0.72900003,0.72900003,0.24300002,0.24300002,0.24300002,0.25300002,1.8490001,2.693,0.0,0.0,Linear_3S,dynamic
328.0,2.2710001,2.265,3.0000002,-0.72900003,0.215,0.72900003,0.76000005,0.72900003,0.72900003,0.24300002,0.24300002,0.24300002,0.25300002,1.8490001,2.693,0.0,0.0,Linear_3S,stoch
