idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
10,true_net,dynamic,0.4,4.32721,3.8513,4.2985597,0.028649999,0.02172,0.035949998,0.008359999,0.030359998,0.0070599997,4.285882,4.370666,True,1.0
10,true_net,stoch,0.4,4.7146997,4.50943,4.68366,0.031049998,0.02362,0.03901,0.00833,0.032929998,0.00703,4.6697555,4.761988,True,1.0
10,obs_net,dynamic,0.4,4.3007097,3.63113,4.2985597,0.0021499998,0.21592,0.21593,0.05023,0.17109999,0.0398,3.873538,4.726282,True,0.454
10,obs_net,stoch,0.4,4.59454,4.54589,4.68366,-0.08912,0.22872,0.24546999,0.05241,0.19615999,0.04188,4.141818,5.0457826,True,0.56799996
10,MWG,dynamic,0.4,-3.65514,-4.4785,4.2985597,-7.9536996,0.01176,7.9537096,1.85032,7.9537096,1.85032,-3.671895,-3.6370628,False,0.0
10,MWG,stochastic,0.4,-4.01092,-4.16931,4.68366,-8.69457,0.18969999,8.69664,1.85681,8.69457,1.85636,-4.369461,-3.754922,False,0.0
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
10,true_net,dynamic,0.4,4.32721,3.8513,4.2985597,0.028649999,0.02172,0.035949998,0.008359999,0.030359998,0.0070599997,4.285882,4.370666,True,1.0
10,true_net,stoch,0.4,4.7146997,4.50943,4.68366,0.031049998,0.02362,0.03901,0.00833,0.032929998,0.00703,4.6697555,4.761988,True,1.0
10,obs_net,dynamic,0.4,3.5669198,2.81075,4.2985597,-0.73164,0.26143998,0.77695,0.18075,0.73206997,0.17030999,3.04867,4.087813,False,0.364
10,obs_net,stoch,0.4,3.81348,3.78644,4.68366,-0.87017995,0.27642,0.91302997,0.19494,0.87022996,0.1858,3.2646945,4.365648,False,0.34199998
10,MWG,dynamic,0.4,4.8115897,4.09487,4.2985597,0.51302,0.0162,0.51328,0.11940999,0.51302,0.119349994,4.78559,4.841369,False,0.044
10,MWG,stochastic,0.4,5.2749,5.11973,4.68366,0.59124,0.13055,0.60547996,0.12928,0.59124,0.12624,5.030779,5.443502,False,0.384
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
10,true_net,dynamic,0.4,4.3273997,3.85143,4.2985597,0.02884,0.02104,0.0357,0.0083,0.030399999,0.00707,4.2870655,4.3687387,True,1.0
10,true_net,stoch,0.4,4.71491,4.50987,4.68366,0.03125,0.02289,0.038739998,0.00827,0.03297,0.0070399996,4.671018,4.75983,True,1.0
10,obs_net,dynamic,0.4,4.2964,3.62691,4.2985597,-0.00216,0.21628,0.2163,0.05032,0.17163,0.039929997,3.870367,4.7257743,True,0.454
10,obs_net,stoch,0.4,4.58994,4.54097,4.68366,-0.09372,0.22913,0.24756,0.05286,0.19839999,0.04236,4.138563,5.044241,True,0.57
10,MWG,dynamic,0.4,3.07629,2.64873,4.2985597,-1.22228,0.071109995,1.22434,0.28483,1.22228,0.28434998,2.9526553,3.2006192,False,0.096
10,MWG,stochastic,0.4,3.2781699,3.13792,4.68366,-1.4054899,0.15766,1.41431,0.30197,1.4054899,0.30008,2.98767,3.5421252,False,0.126
