idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
0.0,1.5530001,1.5510001,1.5740001,-0.021000002,0.054,0.058000002,1.455,1.6610001,1.0,Linear_oracle,dynamic
0.0,1.5550001,1.5530001,1.5740001,-0.019000001,0.056,0.059000004,1.447,1.6660001,1.0,GP_oracle,dynamic
0.0,1.44,1.439,1.5740001,-0.134,0.060000002,0.147,1.327,1.5600001,0.0,Linear_oracle,stoch
0.0,1.4560001,1.455,1.5740001,-0.11800001,0.080000006,0.143,1.302,1.6100001,1.0,GP_oracle,stoch
0.0,1.6760001,1.6760001,1.5740001,0.102000006,0.093,0.13800001,1.4950001,1.8570001,1.0,Linear_observed,dynamic
0.0,1.6250001,1.6220001,1.5740001,0.051000003,0.126,0.136,1.373,1.8830001,1.0,GP_observed,dynamic
0.0,1.355,1.3540001,1.5740001,-0.21900001,0.08400001,0.23500001,1.1910001,1.5170001,0.0,Linear_observed,stoch
0.0,1.3130001,1.312,1.5740001,-0.261,0.109000005,0.282,1.1,1.536,0.0,GP_observed,stoch
0.0,1.4070001,1.4080001,1.5740001,-0.16700001,0.07300001,0.18200001,1.264,1.5500001,0.0,Linear_2S,dynamic
0.0,1.3850001,1.3840001,1.5740001,-0.18900001,0.07300001,0.20300001,1.243,1.5300001,0.0,GP_2S,dynamic
0.0,1.2260001,1.2240001,1.465,-0.23900001,0.081,0.25300002,1.0710001,1.3870001,0.0,Linear_2S,stoch
0.0,1.176,1.174,1.465,-0.289,0.104,0.307,0.97300005,1.3870001,0.0,GP_2S,stoch
0.0,1.401,1.4020001,1.5740001,-0.17300001,0.074,0.18800001,1.256,1.544,0.0,Linear_3S,dynamic
0.0,1.376,1.376,1.5740001,-0.19800001,0.075,0.21200001,1.2310001,1.5230001,0.0,GP_3S,dynamic
0.0,1.217,1.217,1.465,-0.24800001,0.081,0.261,1.0610001,1.3790001,0.0,Linear_3S,stoch
0.0,1.1570001,1.159,1.465,-0.30800003,0.104,0.32500002,0.94900006,1.358,0.0,GP_3S,stoch
0.0,1.567,1.5680001,1.5740001,-0.007,0.068,0.068,1.4310001,1.7010001,1.0,Linear_1S,dynamic
0.0,1.557,1.5580001,1.5740001,-0.017,0.075,0.07700001,1.409,1.705,1.0,GP_1S,dynamic
0.0,1.475,1.4760001,1.5740001,-0.09900001,0.085,0.13000001,1.307,1.641,1.0,Linear_1S,stoch
0.0,1.447,1.4440001,1.5740001,-0.127,0.136,0.186,1.1830001,1.718,1.0,GP_1S,stoch
1.0,1.5530001,1.5530001,1.5740001,-0.021000002,0.054,0.058000002,1.4460001,1.6570001,1.0,Linear_oracle,dynamic
1.0,1.5530001,1.554,1.5740001,-0.021000002,0.055000003,0.059000004,1.4480001,1.659,1.0,GP_oracle,dynamic
1.0,1.44,1.44,1.5740001,-0.134,0.061000004,0.147,1.3180001,1.5560001,0.0,Linear_oracle,stoch
1.0,1.4530001,1.4530001,1.5740001,-0.12100001,0.081,0.14600001,1.2930001,1.6110001,1.0,GP_oracle,stoch
1.0,1.674,1.672,1.5740001,0.1,0.094000004,0.13700001,1.4940001,1.8550001,1.0,Linear_observed,dynamic
1.0,1.6140001,1.6150001,1.5740001,0.040000003,0.127,0.133,1.363,1.8690001,1.0,GP_observed,dynamic
1.0,1.353,1.3510001,1.5740001,-0.22100002,0.08400001,0.23600002,1.1930001,1.5170001,0.0,Linear_observed,stoch
1.0,1.3050001,1.3050001,1.5740001,-0.26900002,0.109000005,0.29000002,1.0890001,1.521,0.0,GP_observed,stoch
1.0,1.414,1.411,1.5740001,-0.16000001,0.071,0.17500001,1.2880001,1.559,0.0,Linear_2S,dynamic
1.0,1.394,1.3920001,1.5740001,-0.18,0.07300001,0.194,1.2590001,1.5450001,0.0,GP_2S,dynamic
