,idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand,model,type,abs_bias,ci_length
0,1.0,1.554,1.554,1.5740001,-0.020000001,0.055000003,0.058000002,1.447,1.6600001,1.0,Linear_oracle,dynamic,Linear,Oracle,0.020000001,0.21300009999999991
1,1.0,1.5560001,1.5560001,1.5740001,-0.018000001,0.056,0.059000004,1.4460001,1.6660001,1.0,GP_oracle,dynamic,GP,Oracle,0.018000001,0.21999999999999997
2,1.0,1.4560001,1.4560001,1.5740001,-0.11800001,0.062000003,0.133,1.3330001,1.5780001,1.0,Linear_oracle,stoch,Linear,Oracle,0.11800001,0.24499999999999988
3,1.0,1.4720001,1.4740001,1.5740001,-0.102000006,0.082,0.13100001,1.3110001,1.631,1.0,GP_oracle,stoch,GP,Oracle,0.102000006,0.3199999
4,1.0,1.616,1.6170001,1.5740001,0.042000003,0.094000004,0.10300001,1.4330001,1.8050001,1.0,Linear_observed,dynamic,Linear,Obs.,0.042000003,0.3719999999999999
5,1.0,1.6100001,1.608,1.5740001,0.036000002,0.135,0.13900001,1.355,1.8780001,1.0,GP_observed,dynamic,GP,Obs.,0.036000002,0.5230001
6,1.0,1.3390001,1.3390001,1.5740001,-0.23500001,0.09,0.252,1.1650001,1.5170001,0.0,Linear_observed,stoch,Linear,Obs.,0.23500001,0.35199999999999987
7,1.0,1.3290001,1.327,1.5740001,-0.245,0.13000001,0.27800003,1.08,1.588,1.0,GP_observed,stoch,GP,Obs.,0.245,0.508
8,1.0,1.391,1.389,1.5740001,-0.18300001,0.064,0.194,1.2700001,1.5220001,0.0,Linear_2S,dynamic,Linear,2S,0.18300001,0.252
9,1.0,1.376,1.3750001,1.5740001,-0.19800001,0.066,0.209,1.248,1.5070001,0.0,GP_2S,dynamic,GP,2S,0.19800001,0.25900009999999996
10,1.0,1.23,1.2290001,1.4810001,-0.25100002,0.080000006,0.263,1.077,1.3920001,0.0,Linear_2S,stoch,Linear,2S,0.25100002,0.3150001
11,1.0,1.177,1.176,1.4810001,-0.30400002,0.1,0.32000002,0.98200005,1.3750001,0.0,GP_2S,stoch,GP,2S,0.30400002,0.39300005000000005
12,1.0,1.3920001,1.389,1.5740001,-0.18200001,0.07,0.19500001,1.263,1.539,0.0,Linear_3S,dynamic,Linear,3S,0.18200001,0.276
