idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
13.0,0.64500004,0.64500004,0.634,0.011000001,0.018000001,0.016,0.038000003,0.011000001,0.021000002,0.61,0.68100005,1.0,1.0,Linear_oracle,dynamic
13.0,0.61800003,0.61800003,0.634,-0.016,0.020000001,0.23400001,0.264,0.068,0.08400001,0.578,0.657,1.0,0.84000003,GP_oracle,dynamic
13.0,2.5770001,2.5760002,2.532,0.045,0.071,0.049000002,0.09200001,0.045,0.069000006,2.437,2.719,1.0,1.0,Linear_oracle,stoch
13.0,2.4880002,2.4880002,2.532,-0.044000003,0.076000005,0.38300002,0.42400002,0.120000005,0.15400001,2.3400002,2.6350002,1.0,0.99000007,GP_oracle,stoch
13.0,0.45200002,0.45200002,0.634,-0.18200001,0.030000001,0.35700002,0.36,0.246,0.25,0.393,0.51000005,0.0,0.23400001,Linear_observed,dynamic
13.0,0.35300002,0.35300002,0.634,-0.28100002,0.060000002,0.43100002,0.453,0.305,0.32900003,0.23700002,0.47300002,0.0,0.53000003,GP_observed,dynamic
13.0,1.756,1.756,2.532,-0.776,0.11000001,1.021,1.028,0.81500006,0.82000005,1.536,1.9690001,0.0,0.17400001,Linear_observed,stoch
13.0,1.8700001,1.868,2.532,-0.66200006,0.127,1.153,1.202,0.92100006,0.94200003,1.623,2.118,0.0,0.296,GP_observed,stoch
13.0,0.513,0.512,0.634,-0.12100001,0.029000001,0.275,0.30900002,0.194,0.22500001,0.45900002,0.57100004,0.0,0.78800005,Linear_3S,dynamic
13.0,2.167,2.1660001,2.532,-0.365,0.106000006,0.546,0.62,0.43,0.48900002,1.9640001,2.3790002,0.0,0.71800005,Linear_3S,stoch
13.0,0.47200003,0.47200003,0.634,-0.162,0.033,0.34800002,0.41900003,0.21700001,0.26500002,0.40600002,0.537,0.0,0.846,GP_3S,dynamic
13.0,1.9620001,1.9620001,2.532,-0.57000005,0.117000006,0.74500006,0.88100004,0.58400005,0.67300004,1.7340001,2.1920002,0.0,0.84000003,GP_3S,stoch
13.0,0.61700004,0.61700004,0.634,-0.017,0.022000002,0.22900002,0.23200001,0.177,0.179,0.574,0.65800005,1.0,0.18400002,Linear_1S,dynamic
13.0,0.586,0.586,0.634,-0.048,0.028,0.3,0.32500002,0.194,0.20300001,0.531,0.64100003,1.0,0.4,GP_1S,dynamic
13.0,2.6420002,2.641,2.532,0.11000001,0.096,0.386,0.4,0.31,0.319,2.4510002,2.828,1.0,0.36400002,Linear_1S,stoch
13.0,2.4680002,2.469,2.532,-0.064,0.124000005,0.51100004,0.569,0.335,0.36600003,2.2250001,2.709,1.0,0.63600004,GP_1S,stoch
68.0,0.87900007,0.87900007,0.883,-0.004,0.024,0.010000001,0.041,0.008,0.025,0.832,0.92600006,1.0,1.0,Linear_oracle,dynamic
68.0,0.85600007,0.85700005,0.883,-0.027,0.025,0.201,0.24000001,0.078,0.10300001,0.80500007,0.906,1.0,0.98200005,GP_oracle,dynamic
68.0,2.67,2.67,2.68,-0.010000001,0.069000006,0.014,0.078,0.011000001,0.058000002,2.5330002,2.8070002,1.0,1.0,Linear_oracle,stoch
68.0,2.5540001,2.555,2.68,-0.126,0.075,0.49100003,0.53300005,0.18800001,0.216,2.4020002,2.7010002,1.0,0.938,GP_oracle,stoch
68.0,0.568,0.56700003,0.883,-0.31500003,0.048,0.476,0.48100004,0.37,0.37500003,0.47400004,0.66400003,0.0,0.19800001,Linear_observed,dynamic
68.0,0.36200002,0.36100003,0.883,-0.521,0.089,0.711,0.73600006,0.57500005,0.59400004,0.18900001,0.53800005,0.0,0.33600003,GP_observed,dynamic
68.0,1.7620001,1.7600001,2.68,-0.91800004,0.132,1.1730001,1.1810001,0.95400006,0.961,1.503,2.0270002,0.0,0.15200001,Linear_observed,stoch
68.0,2.046,2.045,2.68,-0.634,0.156,1.3740001,1.4300001,1.0910001,1.1120001,1.741,2.355,0.0,0.256,GP_observed,stoch
68.0,0.703,0.702,0.883,-0.18,0.043,0.349,0.4,0.26500002,0.30900002,0.62,0.79,0.0,0.79800004,Linear_3S,dynamic
68.0,2.197,2.196,2.68,-0.483,0.11100001,0.661,0.72200006,0.53400004,0.57900006,1.983,2.4190001,0.0,0.588,Linear_3S,stoch
68.0,0.689,0.689,0.883,-0.194,0.045,0.36400002,0.46100003,0.272,0.34500003,0.60300004,0.78000003,0.0,0.90000004,GP_3S,dynamic
68.0,2.0730002,2.0730002,2.68,-0.60700005,0.116000004,0.77800006,0.896,0.62600005,0.70000005,1.8460001,2.3030002,0.0,0.754,GP_3S,stoch
68.0,0.89800006,0.897,0.883,0.015000001,0.034,0.28800002,0.29200003,0.22900002,0.23200001,0.83100003,0.966,1.0,0.2,Linear_1S,dynamic
68.0,0.887,0.887,0.883,0.004,0.037,0.35500002,0.384,0.26500002,0.279,0.814,0.95900005,1.0,0.42800003,GP_1S,dynamic
68.0,2.762,2.7600002,2.68,0.082,0.101,0.39600003,0.411,0.317,0.33,2.5640001,2.9620001,1.0,0.358,Linear_1S,stoch
