idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
38,0.703,0.703,0.71300006,-0.010000001,0.022000002,0.013,0.041,0.010000001,0.023000002,0.65900004,0.74600005,1,1,Linear_oracle,dynamic
38,0.671,0.671,0.71300006,-0.042000003,0.025,0.16800001,0.21300001,0.09200001,0.109000005,0.62100005,0.721,1,0.8,GP_oracle,dynamic
38,2.6390002,2.6390002,2.6750002,-0.036000002,0.081,0.039,0.097,0.036000002,0.072000004,2.479,2.7960002,1,1,Linear_oracle,stoch
38,2.568,2.569,2.6750002,-0.10700001,0.082,0.409,0.455,0.187,0.21700001,2.4080002,2.7310002,1,0.90000004,GP_oracle,stoch
38,0.49600002,0.49600002,0.71300006,-0.21700001,0.039,0.39600003,0.4,0.284,0.28800002,0.41900003,0.573,0,0.22000001,Linear_observed,dynamic
38,0.48200002,0.48200002,0.71300006,-0.231,0.059000004,0.45100003,0.47800002,0.33800003,0.35900003,0.36800003,0.597,0,0.51000005,GP_observed,dynamic
38,1.9310001,1.9300001,2.6750002,-0.744,0.143,1.0250001,1.0370001,0.81600004,0.82500005,1.6500001,2.209,0,0.22000001,Linear_observed,stoch
38,1.996,1.9920001,2.6750002,-0.679,0.20600002,1.1520001,1.235,0.874,0.92100006,1.6010001,2.401,0,0.45600003,GP_observed,stoch
38,0.551,0.55,0.71300006,-0.162,0.038000003,0.32900003,0.36800003,0.23600002,0.273,0.48100004,0.629,0,0.8,Linear_3S,dynamic
38,2.135,2.1290002,2.6750002,-0.54,0.123,0.71500003,0.77300006,0.58400005,0.623,1.9030001,2.3830001,0,0.55200005,Linear_3S,stoch
38,0.545,0.544,0.71300006,-0.16800001,0.042000003,0.36600003,0.45200002,0.246,0.30900002,0.46500003,0.629,0,0.8880001,GP_3S,dynamic
38,2.051,2.0500002,2.6750002,-0.624,0.124000005,0.82800007,0.93600005,0.65000004,0.71300006,1.8100001,2.2940001,0,0.69600004,GP_3S,stoch
38,0.72900003,0.72900003,0.71300006,0.016,0.032,0.264,0.268,0.208,0.21100001,0.665,0.79200006,1,0.19600001,Linear_1S,dynamic
38,0.72,0.721,0.71300006,0.007,0.037,0.411,0.44500002,0.28300002,0.294,0.64400005,0.79,1,0.342,GP_1S,dynamic
