idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
44.0,0.683,0.683,0.694,-0.011000001,0.017,0.018000001,0.037,0.010000001,0.020000001,0.65000004,0.716,1.0,1.0,Linear_oracle,dynamic
44.0,0.679,0.679,0.694,-0.015000001,0.020000001,0.15,0.18900001,0.056,0.075,0.64000005,0.71900004,1.0,0.96400005,GP_oracle,dynamic
44.0,2.5800002,2.5790002,2.6190002,-0.039,0.062000003,0.041,0.080000006,0.039,0.061000004,2.456,2.7,1.0,1.0,Linear_oracle,stoch
44.0,2.493,2.493,2.6190002,-0.126,0.072000004,0.24300002,0.29200003,0.136,0.16600001,2.3500001,2.634,1.0,0.79200006,GP_oracle,stoch
44.0,0.46600002,0.46600002,0.694,-0.22800002,0.036000002,0.38500002,0.38900003,0.291,0.294,0.39600003,0.537,0.0,0.19600001,Linear_observed,dynamic
44.0,0.365,0.365,0.694,-0.32900003,0.053000003,0.45000002,0.47500002,0.358,0.37600002,0.261,0.47000003,0.0,0.44200003,GP_observed,dynamic
44.0,1.71,1.7090001,2.6190002,-0.90900004,0.116000004,1.1340001,1.141,0.92800003,0.93200004,1.483,1.9390001,0.0,0.128,Linear_observed,stoch
44.0,1.7650001,1.764,2.6190002,-0.85400003,0.12100001,1.149,1.1930001,0.929,0.952,1.5320001,2.009,0.0,0.266,GP_observed,stoch
44.0,0.48700002,0.48600003,0.694,-0.20700002,0.032,0.34500003,0.365,0.261,0.27600002,0.42700002,0.55300003,0.0,0.59400004,Linear_3S,dynamic
44.0,1.9460001,1.9440001,2.6190002,-0.67300004,0.115,0.846,0.883,0.69000006,0.717,1.723,2.173,0.0,0.374,Linear_3S,stoch
44.0,0.46,0.46,0.694,-0.23400001,0.039,0.402,0.48000002,0.28,0.326,0.384,0.53900003,0.0,0.79200006,GP_3S,dynamic
44.0,1.802,1.802,2.6190002,-0.81700003,0.127,0.98600006,1.0730001,0.822,0.85800004,1.552,2.0500002,0.0,0.5,GP_3S,stoch
44.0,0.66,0.66,0.694,-0.034,0.028,0.25100002,0.25500003,0.194,0.19700001,0.605,0.71500003,1.0,0.22800002,Linear_1S,dynamic
44.0,0.624,0.624,0.694,-0.07,0.038000003,0.418,0.45900002,0.24900001,0.266,0.546,0.698,1.0,0.49600002,GP_1S,dynamic
44.0,2.6680002,2.6680002,2.6190002,0.049000002,0.115,0.41500002,0.43300003,0.33200002,0.34600002,2.4410002,2.894,1.0,0.39800003,Linear_1S,stoch
44.0,2.4750001,2.476,2.6190002,-0.14400001,0.18900001,0.786,0.85200006,0.45900002,0.503,2.092,2.835,1.0,0.652,GP_1S,stoch
99.0,0.611,0.611,0.63500005,-0.024,0.018000001,0.031000001,0.048,0.023000002,0.029000001,0.57500005,0.647,1.0,1.0,Linear_oracle,dynamic
99.0,0.58500004,0.586,0.63500005,-0.05,0.023000002,0.17400001,0.215,0.057000004,0.078,0.54,0.63000005,0.0,0.99200004,GP_oracle,dynamic
99.0,2.578,2.578,2.6850002,-0.10700001,0.081,0.11800001,0.147,0.10700001,0.115,2.4150002,2.7350001,1.0,1.0,Linear_oracle,stoch
99.0,2.479,2.4810002,2.6850002,-0.20600002,0.086,0.349,0.404,0.20600002,0.224,2.309,2.647,0.0,0.90400004,GP_oracle,stoch
99.0,0.453,0.453,0.63500005,-0.18200001,0.035,0.33200002,0.33600003,0.231,0.23500001,0.38500002,0.523,0.0,0.256,Linear_observed,dynamic
99.0,0.36800003,0.367,0.63500005,-0.26700002,0.055000003,0.40800002,0.43400002,0.30400002,0.324,0.263,0.476,0.0,0.49800003,GP_observed,dynamic
99.0,1.644,1.6420001,2.6850002,-1.041,0.117000006,1.2470001,1.253,1.052,1.054,1.416,1.8780001,0.0,0.082,Linear_observed,stoch
99.0,1.664,1.664,2.6850002,-1.021,0.128,1.3100001,1.3470001,1.059,1.074,1.409,1.9100001,0.0,0.23200001,GP_observed,stoch
99.0,0.48600003,0.485,0.63500005,-0.149,0.032,0.277,0.29900002,0.19900002,0.21800001,0.42600003,0.551,0.0,0.712,Linear_3S,dynamic
99.0,1.9200001,1.917,2.6850002,-0.76500005,0.123,0.919,0.95100003,0.776,0.79200006,1.6830001,2.163,0.0,0.3,Linear_3S,stoch
99.0,0.46300003,0.46300003,0.63500005,-0.172,0.037,0.326,0.41000003,0.21700001,0.26000002,0.38900003,0.535,0.0,0.90800005,GP_3S,dynamic
99.0,1.7990001,1.7990001,2.6850002,-0.88600004,0.132,1.0300001,1.113,0.89100003,0.91700006,1.5400001,2.056,0.0,0.43400002,GP_3S,stoch
99.0,0.623,0.62200004,0.63500005,-0.012,0.029000001,0.20300001,0.208,0.16000001,0.163,0.565,0.679,1.0,0.24400002,Linear_1S,dynamic
99.0,0.574,0.57500005,0.63500005,-0.061000004,0.037,0.36800003,0.409,0.20700002,0.224,0.49600002,0.64400005,1.0,0.508,GP_1S,dynamic
99.0,2.503,2.502,2.6850002,-0.18200001,0.120000005,0.44500002,0.46300003,0.35300002,0.365,2.2640002,2.7410002,1.0,0.372,Linear_1S,stoch
99.0,2.365,2.3630002,2.6850002,-0.32000002,0.163,0.73600006,0.79600006,0.45900002,0.49600002,2.052,2.6910002,1.0,0.632,GP_1S,stoch
154.0,0.657,0.657,0.66200006,-0.0050000004,0.020000001,0.041,0.056,0.022000002,0.028,0.61800003,0.697,1.0,1.0,Linear_oracle,dynamic
154.0,0.651,0.652,0.66200006,-0.011000001,0.021000002,0.125,0.15900001,0.072000004,0.085,0.611,0.69100004,1.0,0.88600004,GP_oracle,dynamic
154.0,2.528,2.5270002,2.5370002,-0.009000001,0.080000006,0.023000002,0.09,0.018000001,0.068,2.3720002,2.686,1.0,1.0,Linear_oracle,stoch
154.0,2.4160001,2.417,2.5370002,-0.12100001,0.08400001,0.298,0.34600002,0.202,0.223,2.25,2.5790002,1.0,0.642,GP_oracle,stoch
154.0,0.503,0.50200003,0.66200006,-0.15900001,0.038000003,0.31,0.31500003,0.21900001,0.224,0.42800003,0.57900006,0.0,0.296,Linear_observed,dynamic
154.0,0.402,0.402,0.66200006,-0.26000002,0.07300001,0.39800003,0.42900002,0.287,0.316,0.26000002,0.54700005,0.0,0.586,GP_observed,dynamic
154.0,1.69,1.6880001,2.5370002,-0.84700006,0.119,1.062,1.069,0.86800003,0.87200004,1.4560001,1.9280001,0.0,0.13800001,Linear_observed,stoch
154.0,1.8230001,1.825,2.5370002,-0.71400005,0.12900001,1.118,1.1620001,0.92200005,0.94900006,1.567,2.075,0.0,0.272,GP_observed,stoch
154.0,0.554,0.55200005,0.66200006,-0.108,0.036000002,0.24000001,0.286,0.17600001,0.215,0.48800004,0.62700003,0.0,0.88600004,Linear_3S,dynamic
154.0,2.059,2.056,2.5370002,-0.47800002,0.115,0.63600004,0.70400006,0.50600004,0.558,1.838,2.2900002,0.0,0.65000004,Linear_3S,stoch
154.0,0.54200006,0.54,0.66200006,-0.120000005,0.039,0.24400002,0.347,0.179,0.24800001,0.46800002,0.62200004,0.0,0.96000004,GP_3S,dynamic
154.0,1.8830001,1.8830001,2.5370002,-0.65400004,0.127,0.76500005,0.90500003,0.66300005,0.74600005,1.636,2.1320002,0.0,0.85,GP_3S,stoch
154.0,0.712,0.712,0.66200006,0.05,0.027,0.20600002,0.21100001,0.16800001,0.172,0.657,0.76600003,1.0,0.21000001,Linear_1S,dynamic
154.0,0.70900005,0.70900005,0.66200006,0.047000002,0.034,0.23,0.26200002,0.18300001,0.19800001,0.64400005,0.777,1.0,0.43800002,GP_1S,dynamic
154.0,2.6880002,2.687,2.5370002,0.15100001,0.10700001,0.409,0.42400002,0.321,0.333,2.4740002,2.8990002,1.0,0.402,Linear_1S,stoch
154.0,2.559,2.5560002,2.5370002,0.022000002,0.147,0.43800002,0.50200003,0.323,0.36200002,2.272,2.8460002,1.0,0.666,GP_1S,stoch
209.0,0.642,0.642,0.66200006,-0.020000001,0.020000001,0.029000001,0.047000002,0.020000001,0.026,0.60300004,0.68,1.0,1.0,Linear_oracle,dynamic
209.0,0.611,0.61,0.66200006,-0.051000003,0.023000002,0.277,0.30200002,0.093,0.108,0.565,0.656,0.0,0.91600007,GP_oracle,dynamic
209.0,2.43,2.43,2.5080001,-0.078,0.07700001,0.08400001,0.119,0.079,0.09200001,2.2810001,2.581,1.0,1.0,Linear_oracle,stoch
209.0,2.325,2.325,2.5080001,-0.18300001,0.08400001,0.74200004,0.77400005,0.257,0.286,2.157,2.4880002,0.0,0.89000005,GP_oracle,stoch
209.0,0.49400002,0.49400002,0.66200006,-0.16800001,0.041,0.316,0.321,0.23200001,0.23700002,0.411,0.574,0.0,0.27,Linear_observed,dynamic
209.0,0.36200002,0.36200002,0.66200006,-0.3,0.059000004,0.40800002,0.43600002,0.32700002,0.34600002,0.24400002,0.47700003,0.0,0.45400003,GP_observed,dynamic
209.0,1.6630001,1.6620001,2.5080001,-0.845,0.127,1.0600001,1.069,0.869,0.874,1.4080001,1.909,0.0,0.14,Linear_observed,stoch
209.0,1.71,1.7070001,2.5080001,-0.79800004,0.19700001,1.251,1.3210001,0.9250001,0.97300005,1.3340001,2.1060002,0.0,0.416,GP_observed,stoch
209.0,0.51600003,0.51500005,0.66200006,-0.14600001,0.029000001,0.272,0.305,0.19900002,0.22800002,0.46100003,0.577,0.0,0.776,Linear_3S,dynamic
209.0,1.8960001,1.8930001,2.5080001,-0.61200005,0.09900001,0.75200003,0.79200006,0.629,0.652,1.7060001,2.0990002,0.0,0.39800003,Linear_3S,stoch
209.0,0.49300003,0.492,0.66200006,-0.16900001,0.037,0.347,0.41300002,0.22600001,0.27100003,0.42100003,0.56600004,0.0,0.892,GP_3S,dynamic
209.0,1.8240001,1.8230001,2.5080001,-0.684,0.115,0.90200007,0.98200005,0.69600004,0.73600006,1.6010001,2.052,0.0,0.596,GP_3S,stoch
209.0,0.619,0.619,0.66200006,-0.043,0.027,0.21900001,0.223,0.17,0.17300001,0.56600004,0.671,1.0,0.18,Linear_1S,dynamic
209.0,0.59900004,0.6,0.66200006,-0.063,0.035,0.35500002,0.386,0.21800001,0.22800002,0.527,0.665,1.0,0.41200003,GP_1S,dynamic
209.0,2.289,2.289,2.5080001,-0.21900001,0.102000006,0.43500003,0.44900003,0.337,0.34800002,2.089,2.4880002,0.0,0.37800002,Linear_1S,stoch
209.0,2.2840002,2.288,2.5080001,-0.224,0.12100001,0.808,0.85300004,0.446,0.47100002,2.046,2.5180001,1.0,0.546,GP_1S,stoch
264.0,0.75900006,0.75900006,0.73300004,0.026,0.020000001,0.038000003,0.053000003,0.026,0.031000001,0.71900004,0.79800004,1.0,1.0,Linear_oracle,dynamic
264.0,0.74600005,0.74600005,0.73300004,0.013,0.023000002,0.13100001,0.18100001,0.059000004,0.08400001,0.70100003,0.791,1.0,1.0,GP_oracle,dynamic
264.0,2.697,2.697,2.605,0.09200001,0.071,0.09900001,0.127,0.093,0.1,2.558,2.8370001,1.0,1.0,Linear_oracle,stoch
264.0,2.6230001,2.6230001,2.605,0.018000001,0.076000005,0.40300003,0.45400003,0.17600001,0.20300001,2.4740002,2.772,1.0,0.98,GP_oracle,stoch
264.0,0.559,0.559,0.73300004,-0.17400001,0.037,0.35500002,0.35900003,0.26500002,0.26900002,0.48600003,0.63100004,0.0,0.2,Linear_observed,dynamic
264.0,0.50200003,0.50100005,0.73300004,-0.231,0.072000004,0.467,0.49400002,0.35700002,0.37800002,0.365,0.64500004,0.0,0.45800003,GP_observed,dynamic
264.0,1.9250001,1.9250001,2.605,-0.68,0.11800001,0.98,0.989,0.77000004,0.776,1.6910001,2.1550002,0.0,0.20400001,Linear_observed,stoch
264.0,2.115,2.1160002,2.605,-0.49,0.141,1.092,1.159,0.88000005,0.91,1.8410001,2.391,0.0,0.30400002,GP_observed,stoch
264.0,0.61600006,0.614,0.73300004,-0.117000006,0.039,0.287,0.33400002,0.21300001,0.254,0.54200006,0.69600004,0.0,0.84000003,Linear_3S,dynamic
264.0,2.154,2.15,2.605,-0.45100003,0.12100001,0.65400004,0.71400005,0.51100004,0.558,1.9230001,2.3960001,0.0,0.606,Linear_3S,stoch
264.0,0.58500004,0.58500004,0.73300004,-0.148,0.043,0.32000002,0.41700003,0.22800002,0.293,0.499,0.67,0.0,0.90800005,GP_3S,dynamic
