idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
11,1.182,1.1810001,1.143,0.039,0.033,0.051000003,0.043,0.037,1.118,1.245,1,Linear_oracle,dynamic
11,1.1500001,1.1500001,1.143,0.007,0.042000003,0.043,0.034,0.030000001,1.069,1.233,1,GP_oracle,dynamic
11,3.8920002,3.8910003,3.7640002,0.128,0.108,0.16800001,0.141,0.037,3.6790001,4.103,1,Linear_oracle,stoch
11,3.7340002,3.7340002,3.7640002,-0.030000001,0.15100001,0.15400001,0.123,0.033,3.4370003,4.031,1,GP_oracle,stoch
11,0.84700006,0.84700006,1.143,-0.296,0.066,0.303,0.296,0.259,0.716,0.9760001,0,Linear_observed,dynamic
11,0.647,0.647,1.143,-0.49600002,0.093,0.505,0.49600002,0.43400002,0.46500003,0.832,0,GP_observed,dynamic
11,2.479,2.48,3.7640002,-1.2850001,0.18,1.297,1.2850001,0.34100002,2.1200001,2.834,0,Linear_observed,stoch
11,3.0560002,3.048,3.7640002,-0.708,0.321,0.77800006,0.712,0.18900001,2.4480002,3.7020001,0,GP_observed,stoch
11,1.09,1.09,1.143,-0.053000003,0.055000003,0.07700001,0.063,0.055000003,0.98300004,1.199,1,Linear_3S,dynamic
11,0.86100006,0.86700004,1.143,-0.282,0.097,0.298,0.282,0.246,0.656,1.036,0,GP_3S,dynamic
11,3.5200002,3.5210001,3.7640002,-0.24400002,0.172,0.29900002,0.256,0.068,3.1850002,3.857,1,Linear_3S,stoch
11,2.664,2.664,3.7640002,-1.1,0.27800003,1.1350001,1.1,0.29200003,2.114,3.206,0,GP_3S,stoch
11,1.2370001,1.238,1.143,0.094000004,0.044000003,0.104,0.095000006,0.083000004,1.1500001,1.3240001,0,Linear_1S,dynamic
11,1.261,1.25,1.143,0.11800001,0.10300001,0.156,0.127,0.11100001,1.0810001,1.4810001,1,GP_1S,dynamic
11,4,4.0020003,3.7640002,0.23600002,0.143,0.27600002,0.24200001,0.064,3.7170002,4.283,1,Linear_1S,stoch
11,3.9490001,3.9340003,3.7640002,0.185,0.319,0.36900002,0.29000002,0.07700001,3.348,4.6060004,1,GP_1S,stoch
44,0.96300006,0.96300006,0.94900006,0.014,0.025,0.029000001,0.023000002,0.024,0.91400003,1.011,1,Linear_oracle,dynamic
44,0.89000005,0.89000005,0.94900006,-0.059000004,0.038000003,0.07,0.061000004,0.064,0.814,0.96500003,1,GP_oracle,dynamic
44,3.8000002,3.8000002,3.742,0.058000002,0.098000005,0.11400001,0.091000006,0.024,3.6050003,3.989,1,Linear_oracle,stoch
