idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
20.0,4.709,4.709,4.7660003,-0.057000004,0.058000002,0.086,0.076000005,0.043,4.5950003,4.8230004,1.0,0.994,Linear_oracle,dynamic
20.0,4.6450005,4.644,4.7660003,-0.12100001,0.076000005,0.39200002,0.21300001,0.14500001,4.497,4.7920003,1.0,0.95800006,GP_oracle,dynamic
20.0,5.754,5.754,5.813,-0.059000004,0.079,0.083000004,0.068,0.016,5.6000004,5.9090004,1.0,1.0,Linear_oracle,stoch
20.0,5.557,5.5590005,5.813,-0.256,0.098000005,0.78900003,0.32200003,0.054,5.361,5.7460003,0.0,0.83800006,GP_oracle,stoch
20.0,3.8990002,3.8980002,4.7660003,-0.86700004,0.068,1.45,1.01,0.37,3.7660003,4.031,0.0,0.194,Linear_observed,dynamic
20.0,3.6950002,3.6950002,4.7660003,-1.0710001,0.11400001,1.8260001,1.4020001,0.559,3.473,3.92,0.0,0.29200003,GP_observed,dynamic
20.0,5.2120004,5.2120004,5.813,-0.601,0.119,1.48,1.0320001,0.186,4.9820004,5.4480004,0.0,0.21800001,Linear_observed,stoch
20.0,6.3300004,6.3320003,5.813,0.517,0.23900001,1.452,1.176,0.21900001,5.866,6.7920003,0.0,0.28800002,GP_observed,stoch
20.0,4.671,4.67,4.7660003,-0.095000006,0.085,0.536,0.41700003,0.22000001,4.506,4.84,1.0,0.89400005,Linear_3S,dynamic
20.0,4.452,4.453,4.7660003,-0.314,0.106000006,0.712,0.53400004,0.28100002,4.241,4.658,0.0,0.87600005,GP_3S,dynamic
20.0,5.5660005,5.565,5.813,-0.24700001,0.11100001,0.601,0.45800003,0.081,5.3430004,5.7830005,0.0,0.85400003,Linear_3S,stoch
20.0,5.223,5.229,5.813,-0.59000003,0.16100001,1.2370001,0.753,0.123,4.8890004,5.5220003,0.0,0.83000004,GP_3S,stoch
20.0,4.807,4.808,4.7660003,0.041,0.069000006,0.48100004,0.381,0.223,4.671,4.9430003,1.0,0.39000002,Linear_1S,dynamic
20.0,4.635,4.636,4.7660003,-0.13100001,0.097,0.62,0.467,0.30400002,4.439,4.821,1.0,0.60400003,GP_1S,dynamic
20.0,5.813,5.814,5.813,0.0,0.096,0.476,0.37300003,0.07300001,5.6260004,6.0000005,1.0,0.36,Linear_1S,stoch
20.0,5.5070004,5.5150003,5.813,-0.30600002,0.141,0.984,0.62100005,0.109000005,5.202,5.7640004,0.0,0.49600002,GP_1S,stoch
75.0,4.866,4.866,4.854,0.012,0.060000002,0.044000003,0.032,0.011000001,4.7460003,4.9830003,1.0,1.0,Linear_oracle,dynamic
75.0,4.8180003,4.8180003,4.854,-0.036000002,0.083000004,0.425,0.22900002,0.076000005,4.655,4.98,1.0,0.91600007,GP_oracle,dynamic
