idx,mean,median,TRUE,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
22,1.197,1.197,1.149,0.048,0.030000001,0.060000002,0.055000003,1.139,1.256,1,0.104,Linear_oracle,dynamic
22,1.2030001,1.202,1.149,0.054,0.045,0.125,0.086,1.115,1.294,1,0.874,GP_oracle,dynamic
22,3.9930003,3.992,3.8490002,0.14400001,0.097,0.156,0.14500001,3.8030002,4.183,1,1,Linear_oracle,stoch
22,3.9470003,3.9470003,3.8490002,0.098000005,0.15400001,0.28300002,0.201,3.6460001,4.2460003,1,1,GP_oracle,stoch
22,0.896,0.896,1.149,-0.25300002,0.062000003,0.416,0.33,0.77500004,1.018,0,0.28800002,Linear_observed,dynamic
22,0.646,0.64500004,1.149,-0.503,0.059000004,0.8880001,0.767,0.531,0.76100004,0,0.1,GP_observed,dynamic
22,3.015,3.016,3.8490002,-0.83400005,0.19600001,1.1190001,0.86200005,2.6350002,3.4,0,0.32200003,Linear_observed,stoch
22,3.2870002,3.2840002,3.8490002,-0.56200004,0.20700002,1.83,1.588,2.887,3.6970003,0,0.17600001,GP_observed,stoch
22,1.0400001,1.039,1.149,-0.109000005,0.044000003,0.27800003,0.21200001,0.95800006,1.13,0,0.91800004,Linear_3S,dynamic
22,0.92600006,0.929,1.149,-0.223,0.068,0.40600002,0.303,0.785,1.054,0,0.93000007,GP_3S,dynamic
22,3.522,3.519,3.8490002,-0.32700002,0.12900001,0.418,0.35200003,3.2800002,3.7870002,0,0.808,Linear_3S,stoch
22,2.651,2.6520002,3.8490002,-1.1980001,0.23,1.253,1.197,2.2,3.101,0,0.38200003,GP_3S,stoch
22,1.154,1.154,1.149,0.005,0.036000002,0.252,0.19700001,1.0830001,1.225,1,0.24200001,Linear_1S,dynamic
22,1.177,1.169,1.149,0.028,0.081,0.28500003,0.22000001,1.0400001,1.363,1,0.61,GP_1S,dynamic
22,3.8850002,3.8850002,3.8490002,0.036000002,0.117000006,0.259,0.20400001,3.653,4.117,1,0.632,Linear_1S,stoch
22,3.6690001,3.6720002,3.8490002,-0.18,0.263,0.44900003,0.293,3.1380002,4.178,1,0.96400005,GP_1S,stoch
77,0.82600003,0.82600003,0.82000005,0.006,0.020000001,0.008,0.006,0.786,0.86600006,1,1,Linear_oracle,dynamic
77,0.80700004,0.80600005,0.82000005,-0.013,0.031000001,0.127,0.065000005,0.749,0.87200004,1,0.998,GP_oracle,dynamic
77,3.8500001,3.8500001,3.8230002,0.027,0.096,0.028,0.027,3.6590002,4.039,1,1,Linear_oracle,stoch
