idx,mean,median,TRUE,bias,std,RMSE,q025,q975,covering,method,estimand
25,0.79200006,0.79200006,0.87700003,-0.085,0.047000002,0.098000005,0.69900006,0.883,1,Linear_oracle,dynamic
25,0.74600005,0.74500006,0.87700003,-0.13100001,0.049000002,0.14,0.651,0.84300005,0,GP_oracle,dynamic
25,2.255,2.256,2.4480002,-0.193,0.112,0.223,2.0370002,2.4740002,1,Linear_oracle,stoch
25,2.0340002,2.0370002,2.4480002,-0.41400003,0.143,0.43800002,1.7470001,2.308,0,GP_oracle,stoch
25,0.016,0.017,0.87700003,-0.86100006,0.07700001,0.86500007,-0.13900001,0.16800001,0,Linear_observed,dynamic
25,0.20400001,0.18,0.87700003,-0.67300004,0.33600003,0.753,-0.41400003,0.93100005,1,GP_observed,dynamic
25,-0.17600001,-0.17300001,2.4480002,-2.624,0.33800003,2.6450002,-0.85400003,0.49,0,Linear_observed,stoch
25,0.453,0.45000002,2.4480002,-1.9950001,0.528,2.0640001,-0.56700003,1.5130001,0,GP_observed,stoch
25,0.30900002,0.164,0.87700003,-0.568,0.28100002,0.634,-0.069000006,0.689,0,Linear_3S,dynamic
25,0.432,0.51500005,0.87700003,-0.44500002,0.245,0.508,-0.074,0.785,0,GP_3S,dynamic
25,0.90200007,0.411,2.4480002,-1.5460001,1.133,1.917,-0.69500005,2.348,0,Linear_3S,stoch
25,0.77300006,0.725,2.4480002,-1.6750001,0.606,1.7810001,-0.277,1.968,0,GP_3S,stoch
25,1.2870001,1.2850001,0.87700003,0.41000003,0.21200001,0.46100003,0.88000005,1.7090001,0,Linear_1S,dynamic
25,-0.33,-0.307,0.87700003,-1.207,0.81000006,1.4540001,-1.9950001,1.271,1,GP_1S,dynamic
25,4.8690004,4.8620005,2.4480002,2.421,0.81000006,2.5530002,3.3140001,6.4860005,0,Linear_1S,stoch
25,1.7240001,1.7210001,2.4480002,-0.72400004,1.082,1.302,-0.544,3.913,1,GP_1S,stoch
58,0.77300006,0.77300006,0.81000006,-0.037,0.032,0.049000002,0.71000004,0.837,1,Linear_oracle,dynamic
58,0.73600006,0.73700005,0.81000006,-0.074,0.037,0.082,0.66300005,0.808,0,GP_oracle,dynamic
58,2.352,2.352,2.4610002,-0.109000005,0.098000005,0.147,2.16,2.542,1,Linear_oracle,stoch
58,2.229,2.232,2.4610002,-0.23200001,0.123,0.263,1.9760001,2.4620001,1,GP_oracle,stoch
58,-0.157,-0.157,0.81000006,-0.96700007,0.086,0.9710001,-0.328,0.012,0,Linear_observed,dynamic
58,0.367,0.34800002,0.81000006,-0.44300002,0.40600002,0.601,-0.4,1.2090001,1,GP_observed,dynamic
58,-0.90000004,-0.89800006,2.4610002,-3.361,0.328,3.3780003,-1.5480001,-0.25800002,0,Linear_observed,stoch
58,-0.039,-0.051000003,2.4610002,-2.5,0.587,2.569,-1.1680001,1.1500001,0,GP_observed,stoch
58,0.591,0.78800005,0.81000006,-0.21900001,0.384,0.44200003,-0.16000001,0.92100006,1,Linear_3S,dynamic
58,0.69600004,0.80500007,0.81000006,-0.11400001,0.347,0.365,-0.37800002,1.028,1,GP_3S,dynamic
58,1.5380001,2.21,2.4610002,-0.92300004,1.279,1.577,-1.023,2.5470002,1,Linear_3S,stoch
58,1.4540001,1.8010001,2.4610002,-1.0070001,1.0220001,1.4350001,-0.82800007,2.8230002,1,GP_3S,stoch
58,1.047,1.047,0.81000006,0.23700002,0.095000006,0.25500003,0.86500007,1.2360001,0,Linear_1S,dynamic
58,0.93200004,0.91200006,0.81000006,0.12200001,0.298,0.32200003,0.397,1.5830001,1,GP_1S,dynamic
58,3.062,3.0600002,2.4610002,0.601,0.268,0.65800005,2.545,3.594,0,Linear_1S,stoch
58,1.8220001,1.7630001,2.4610002,-0.63900006,0.671,0.92700005,0.518,3.2910001,1,GP_1S,stoch
91,0.837,0.83800006,0.83400005,0.003,0.047000002,0.047000002,0.74500006,0.93000007,1,Linear_oracle,dynamic
91,0.808,0.808,0.83400005,-0.026,0.047000002,0.053000003,0.717,0.901,1,GP_oracle,dynamic
91,2.5310001,2.532,2.5080001,0.023000002,0.128,0.13100001,2.279,2.7830002,1,Linear_oracle,stoch
91,2.207,2.226,2.5080001,-0.30100003,0.20400001,0.363,1.7360001,2.558,1,GP_oracle,stoch
91,-0.11100001,-0.11100001,0.83400005,-0.94500005,0.078,0.9480001,-0.26500002,0.042000003,0,Linear_observed,dynamic
91,0.16900001,0.17400001,0.83400005,-0.665,0.35200003,0.753,-0.52000004,0.87500006,1,GP_observed,dynamic
91,-0.76000005,-0.76000005,2.5080001,-3.2680001,0.33600003,3.285,-1.4260001,-0.101,0,Linear_observed,stoch
