idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
29,5.261,5.262,5.2730002,-0.012,0.07300001,0.052,0.043,0.010000001,5.1190004,5.406,1,1,Linear_oracle,dynamic
29,5.0470004,5.0490003,5.2730002,-0.22600001,0.104,0.46800002,0.26700002,0.069000006,4.841,5.247,0,0.9620001,GP_oracle,dynamic
29,5.7630005,5.7630005,5.78,-0.017,0.083000004,0.018000001,0.017,0.004,5.603,5.925,1,1,Linear_oracle,stoch
29,5.4830003,5.486,5.78,-0.29700002,0.11400001,0.619,0.30400002,0.043,5.254,5.701,0,0.92,GP_oracle,stoch
29,3.8990002,3.9,5.2730002,-1.3740001,0.07300001,1.8080001,1.399,0.314,3.7560003,4.0410004,0,0.078,Linear_observed,dynamic
29,3.7270002,3.726,5.2730002,-1.5460001,0.115,2.127,1.664,0.45800003,3.502,3.9540002,0,0.27,GP_observed,dynamic
29,4.735,4.734,5.78,-1.0450001,0.11800001,1.7220001,1.166,0.194,4.5020003,4.9630003,0,0.224,Linear_observed,stoch
29,5.9010005,5.9,5.78,0.12100001,0.194,1.1450001,0.859,0.15100001,5.5150003,6.28,1,0.39600003,GP_observed,stoch
29,4.991,4.9890003,5.2730002,-0.282,0.1,0.61600006,0.47800002,0.11800001,4.796,5.1920004,0,0.8880001,Linear_3S,dynamic
29,4.6920004,4.6930003,5.2730002,-0.58100003,0.123,1.0090001,0.693,0.15300001,4.4480004,4.9300003,0,0.84800005,GP_3S,dynamic
29,5.499,5.497,5.78,-0.28100002,0.112,0.563,0.43400002,0.07700001,5.2780004,5.722,0,0.89000005,Linear_3S,stoch
29,5.083,5.0860004,5.78,-0.697,0.142,1.3720001,0.79,0.117000006,4.793,5.352,0,0.83800006,GP_3S,stoch
29,5.1540003,5.155,5.2730002,-0.119,0.078,0.53800005,0.42400002,0.112,4.999,5.306,1,0.354,Linear_1S,dynamic
29,4.9900002,4.992,5.2730002,-0.28300002,0.11800001,0.90500003,0.58500004,0.141,4.7530003,5.2180004,0,0.55200005,GP_1S,dynamic
29,5.7060003,5.7070003,5.78,-0.074,0.091000006,0.45600003,0.35900003,0.068,5.5260005,5.8840003,1,0.356,Linear_1S,stoch
29,5.4090004,5.414,5.78,-0.37100002,0.13000001,1.24,0.674,0.101,5.135,5.6530004,0,0.54,GP_1S,stoch
84,5.3960004,5.3960004,5.3250003,0.071,0.058000002,0.120000005,0.096,0.017,5.281,5.511,1,1,Linear_oracle,dynamic
84,5.3560004,5.3570004,5.3250003,0.031000001,0.075,0.46300003,0.257,0.049000002,5.208,5.5030003,1,0.804,GP_oracle,dynamic
84,6.1710005,6.1710005,6.0720005,0.09900001,0.07300001,0.120000005,0.102000006,0.015000001,6.0260005,6.3160005,1,1,Linear_oracle,stoch
84,6.063,6.065,6.0720005,-0.009000001,0.093,0.702,0.38900003,0.055000003,5.8750005,6.242,1,0.624,GP_oracle,stoch
84,4.421,4.421,5.3250003,-0.90400004,0.07,1.4640001,1.039,0.24900001,4.283,4.558,0,0.192,Linear_observed,dynamic
84,4.4290004,4.4290004,5.3250003,-0.896,0.105000004,1.9070001,1.506,0.41200003,4.222,4.6330004,0,0.194,GP_observed,dynamic
84,5.584,5.584,6.0720005,-0.48800004,0.127,1.4280001,1.006,0.16800001,5.3370004,5.833,0,0.23,Linear_observed,stoch
84,6.8020005,6.8040004,6.0720005,0.73,0.20400001,1.445,1.1860001,0.21000001,6.3980002,7.1990004,0,0.23,GP_observed,stoch
84,5.262,5.261,5.3250003,-0.063,0.086,0.49100003,0.38500002,0.101,5.0940003,5.4340005,1,0.93600005,Linear_3S,dynamic
84,5.064,5.064,5.3250003,-0.261,0.104,0.702,0.476,0.113000005,4.8580003,5.268,0,0.92600006,GP_3S,dynamic
84,5.9470005,5.945,6.0720005,-0.125,0.104,0.49100003,0.38300002,0.067,5.742,6.155,1,0.91800004,Linear_3S,stoch
