idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
37.0,1.024,1.024,1.023,0.001,0.030000001,0.015000001,0.011000001,0.966,1.0840001,1.0,1.0,Linear_oracle,dynamic
37.0,0.93900007,0.94100004,1.023,-0.08400001,0.048,0.20300001,0.091000006,0.837,1.028,1.0,0.98800004,GP_oracle,dynamic
37.0,3.8550003,3.8550003,3.8470001,0.008,0.11400001,0.012,0.008,3.6330001,4.0810003,1.0,1.0,Linear_oracle,stoch
37.0,3.5080001,3.512,3.8470001,-0.33900002,0.185,0.47700003,0.34,3.1330001,3.854,1.0,0.98800004,GP_oracle,stoch
37.0,0.694,0.694,1.023,-0.32900003,0.053000003,0.46600002,0.37,0.59000003,0.8,0.0,0.238,Linear_observed,dynamic
37.0,0.48700002,0.48600003,1.023,-0.536,0.07700001,0.642,0.55300003,0.337,0.638,0.0,0.208,GP_observed,dynamic
37.0,2.352,2.352,3.8470001,-1.4950001,0.17,1.6780001,1.4950001,2.0180001,2.6890001,0.0,0.008,Linear_observed,stoch
37.0,2.7610002,2.7610002,3.8470001,-1.0860001,0.21000001,1.6370001,1.414,2.3530002,3.18,0.0,0.24400002,GP_observed,stoch
37.0,0.88000005,0.878,1.023,-0.143,0.042000003,0.256,0.20400001,0.80300003,0.96900004,0.0,0.84400004,Linear_3S,dynamic
37.0,4.5730004,4.572,1.023,3.5500002,0.095000006,4.0220003,3.551,4.393,4.7580004,0.0,0.39600003,GP_3S,dynamic
37.0,3.3290002,3.3230002,3.8470001,-0.518,0.15100001,0.6,0.52400005,3.058,3.6480002,0.0,0.54,Linear_3S,stoch
37.0,2.391,2.391,3.8470001,-1.4560001,0.245,1.5380001,1.457,1.9110001,2.868,0.0,0.17,GP_3S,stoch
37.0,1.0090001,1.0090001,1.023,-0.014,0.035,0.21400002,0.172,0.94200003,1.077,1.0,0.266,Linear_1S,dynamic
37.0,0.85300004,0.859,1.023,-0.17,0.075,0.342,0.24800001,0.69100004,0.9850001,0.0,0.48400003,GP_1S,dynamic
37.0,3.8320003,3.831,3.8470001,-0.015000001,0.134,0.26700002,0.21400002,3.5720003,4.096,1.0,0.634,Linear_1S,stoch
37.0,3.1580002,3.1750002,3.8470001,-0.689,0.30400002,0.81600004,0.693,2.5270002,3.7140002,0.0,0.51600003,GP_1S,stoch
92.0,1.1190001,1.1190001,1.0940001,0.025,0.030000001,0.036000002,0.025,1.0610001,1.1780001,1.0,1.0,Linear_oracle,dynamic
92.0,1.065,1.0660001,1.0940001,-0.029000001,0.038000003,0.163,0.078,0.989,1.136,1.0,0.984,GP_oracle,dynamic
92.0,3.887,3.887,3.7990003,0.08800001,0.105000004,0.09,0.08800001,3.6810002,4.0930004,1.0,1.0,Linear_oracle,stoch
92.0,3.555,3.5600002,3.7990003,-0.24400002,0.17600001,0.38500002,0.25,3.1940002,3.8880002,1.0,0.97800004,GP_oracle,stoch
92.0,0.73300004,0.73300004,1.0940001,-0.36100003,0.059000004,0.51600003,0.395,0.61800003,0.85,0.0,0.264,Linear_observed,dynamic
92.0,0.381,0.381,1.0940001,-0.71300006,0.091000006,0.786,0.71500003,0.20400001,0.56100005,0.0,0.096,GP_observed,dynamic
92.0,2.278,2.2770002,3.7990003,-1.521,0.171,1.7210001,1.5220001,1.9420002,2.618,0.0,0.008,Linear_observed,stoch
92.0,2.542,2.5400002,3.7990003,-1.2570001,0.20700002,1.7310001,1.416,2.138,2.959,0.0,0.33800003,GP_observed,stoch
92.0,0.975,0.97300005,1.0940001,-0.119,0.044000003,0.264,0.201,0.89300007,1.0660001,0.0,0.89000005,Linear_3S,dynamic
92.0,4.5020003,4.5010004,1.0940001,3.4080002,0.085,3.9160001,3.4080002,4.3370004,4.6670003,0.0,0.41400003,GP_3S,dynamic
92.0,3.39,3.3860002,3.7990003,-0.409,0.14600001,0.499,0.423,3.124,3.693,0.0,0.73200005,Linear_3S,stoch
92.0,2.269,2.266,3.7990003,-1.5300001,0.259,1.6190001,1.5300001,1.7700001,2.7830002,0.0,0.134,GP_3S,stoch
92.0,1.113,1.113,1.0940001,0.019000001,0.035,0.22600001,0.178,1.044,1.1830001,1.0,0.286,Linear_1S,dynamic
92.0,1.0300001,1.0320001,1.0940001,-0.064,0.067,0.40300003,0.263,0.892,1.159,1.0,0.51000005,GP_1S,dynamic
92.0,3.89,3.89,3.7990003,0.091000006,0.126,0.26900002,0.21200001,3.6420002,4.137,1.0,0.646,Linear_1S,stoch
92.0,3.216,3.2280002,3.7990003,-0.583,0.363,0.88600004,0.60700005,2.49,3.8920002,1.0,0.81200004,GP_1S,stoch
147.0,1.3000001,1.299,1.3540001,-0.054,0.039,0.078,0.055000003,1.2240001,1.376,1.0,1.0,Linear_oracle,dynamic
147.0,1.286,1.2850001,1.3540001,-0.068,0.052,0.19500001,0.10300001,1.187,1.389,1.0,0.91,GP_oracle,dynamic
147.0,3.759,3.7570002,3.9210002,-0.162,0.109000005,0.165,0.162,3.5460002,3.9730003,1.0,1.0,Linear_oracle,stoch
147.0,3.5800002,3.5800002,3.9210002,-0.34100002,0.15,0.532,0.34100002,3.282,3.8730001,0.0,0.84400004,GP_oracle,stoch
147.0,0.95400006,0.95400006,1.3540001,-0.4,0.068,0.537,0.44400004,0.82100004,1.088,0.0,0.2,Linear_observed,dynamic
147.0,0.55300003,0.55300003,1.3540001,-0.80100006,0.089,0.906,0.82600003,0.379,0.72800004,0.0,0.096,GP_observed,dynamic
147.0,2.8390002,2.838,3.9210002,-1.082,0.18900001,1.34,1.092,2.466,3.213,0.0,0.18800001,Linear_observed,stoch
147.0,3.249,3.2480001,3.9210002,-0.67200005,0.20300001,1.6520001,1.437,2.854,3.6560001,0.0,0.178,GP_observed,stoch
147.0,1.153,1.1520001,1.3540001,-0.201,0.048,0.35500002,0.279,1.0610001,1.2470001,0.0,0.82800007,Linear_3S,dynamic
147.0,4.781,4.7840004,1.3540001,3.427,0.109000005,3.9060001,3.427,4.5620003,4.9870005,0.0,0.42000002,GP_3S,dynamic
147.0,3.3390002,3.3390002,3.9210002,-0.582,0.123,0.656,0.58500004,3.098,3.5820003,0.0,0.40800002,Linear_3S,stoch
147.0,2.6490002,2.651,3.9210002,-1.2720001,0.201,1.343,1.2720001,2.249,3.0370002,0.0,0.20400001,GP_3S,stoch
147.0,1.2570001,1.2570001,1.3540001,-0.097,0.044000003,0.307,0.23900001,1.171,1.343,0.0,0.23600002,Linear_1S,dynamic
147.0,1.1810001,1.182,1.3540001,-0.17300001,0.075,0.37,0.28500003,1.029,1.3240001,0.0,0.48800004,GP_1S,dynamic
