idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
17.0,2.319,2.319,2.331,-0.012,0.052,0.119,0.162,0.089,0.120000005,0.342,2.2150002,2.4220002,1.0,0.96000004,Linear_oracle,dynamic
17.0,2.2250001,2.2240002,2.331,-0.106000006,0.066,0.48700002,0.541,0.18900001,0.256,0.36400002,2.0960002,2.354,1.0,0.94600004,GP_oracle,dynamic
17.0,2.986,2.986,3.045,-0.059000004,0.064,0.136,0.17,0.097,0.11800001,0.05,2.8600001,3.1130002,1.0,1.0,Linear_oracle,stoch
17.0,2.9220002,2.923,3.045,-0.123,0.071,0.546,0.58900005,0.19000001,0.25,0.095000006,2.785,3.0600002,1.0,0.934,GP_oracle,stoch
17.0,2.01,2.01,2.331,-0.321,0.07,0.95000005,0.95800006,0.69000006,0.698,1.6570001,1.871,2.1490002,0.0,0.23400001,Linear_observed,dynamic
17.0,1.388,1.3900001,2.331,-0.943,0.179,1.473,1.5150001,1.1400001,1.1630001,4.717,1.034,1.738,0.0,0.32000002,GP_observed,dynamic
17.0,2.388,2.388,3.045,-0.657,0.085,1.205,1.212,0.87500006,0.882,0.42000002,2.2220001,2.5570002,0.0,0.18800001,Linear_observed,stoch
17.0,2.736,2.7370002,3.045,-0.30900002,0.29700002,1.1350001,1.253,0.8,0.86500007,0.42700002,2.134,3.3170002,1.0,0.62200004,GP_observed,stoch
17.0,2.183,2.183,2.331,-0.148,0.07,0.619,0.698,0.47000003,0.536,1.493,2.0470002,2.321,0.0,0.726,Linear_3S,dynamic
17.0,2.7770002,2.776,3.045,-0.268,0.086,0.684,0.771,0.531,0.595,0.31300002,2.611,2.95,0.0,0.708,Linear_3S,stoch
17.0,2.068,2.068,2.331,-0.263,0.08800001,0.76600003,0.86200005,0.53800005,0.62,0.92300004,1.9010001,2.242,0.0,0.768,GP_3S,dynamic
17.0,2.7080002,2.707,3.045,-0.337,0.095000006,0.845,0.95300007,0.59900004,0.68200004,0.31100002,2.525,2.897,0.0,0.762,GP_3S,stoch
17.0,2.2670002,2.2670002,2.331,-0.064,0.055000003,0.523,0.536,0.40500003,0.41500002,1.4610001,2.158,2.378,1.0,0.31,Linear_1S,dynamic
17.0,2.214,2.214,2.331,-0.117000006,0.076000005,0.67600006,0.71800005,0.453,0.48600003,1.075,2.065,2.3620002,1.0,0.54800004,GP_1S,dynamic
17.0,2.959,2.96,3.045,-0.086,0.07300001,0.537,0.549,0.42000002,0.42900002,0.282,2.815,3.1050003,1.0,0.27800003,Linear_1S,stoch
17.0,2.943,2.9420002,3.045,-0.102000006,0.091000006,0.772,0.81500006,0.514,0.53800005,0.30800003,2.765,3.1230001,1.0,0.47200003,GP_1S,stoch
72.0,2.259,2.259,2.3470001,-0.08800001,0.046000004,0.089,0.136,0.08800001,0.11100001,0.296,2.17,2.3500001,1.0,1.0,Linear_oracle,dynamic
72.0,2.173,2.173,2.3470001,-0.17400001,0.065000005,0.455,0.513,0.202,0.26000002,0.44900003,2.045,2.3000002,0.0,0.91400003,GP_oracle,dynamic
72.0,3.19,3.19,3.2730002,-0.083000004,0.059000004,0.08400001,0.127,0.083000004,0.10300001,0.05,3.075,3.308,1.0,1.0,Linear_oracle,stoch
