idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
47,2.7730002,2.772,2.782,-0.009000001,0.047000002,0.065000005,0.123,0.05,0.093,0.067,2.68,2.864,1,1,Linear_oracle,dynamic
47,2.7580001,2.7570002,2.782,-0.024,0.064,0.22800002,0.319,0.16700001,0.22600001,0.268,2.631,2.8830001,1,0.998,GP_oracle,dynamic
47,3.285,3.2840002,3.2930002,-0.008,0.053000003,0.038000003,0.09900001,0.030000001,0.074,0.019000001,3.18,3.39,1,1,Linear_oracle,stoch
47,3.2310002,3.232,3.2930002,-0.062000003,0.057000004,0.333,0.388,0.149,0.19900002,0.083000004,3.118,3.3420002,1,0.9760001,GP_oracle,stoch
47,2.469,2.469,2.782,-0.31300002,0.065000005,1.0120001,1.0200001,0.74100006,0.749,1.0250001,2.3400002,2.5970001,0,0.22800002,Linear_observed,dynamic
47,2.1290002,2.1320002,2.782,-0.65300006,0.178,1.5710001,1.616,1.2440001,1.266,2.555,1.7820001,2.4770002,0,0.30400002,GP_observed,dynamic
47,2.9670002,2.9670002,3.2930002,-0.326,0.081,1.095,1.102,0.791,0.79800004,0.42400002,2.805,3.1260002,0,0.21800001,Linear_observed,stoch
47,3.5560002,3.555,3.2930002,0.263,0.19100001,1.019,1.0890001,0.79700005,0.846,0.577,3.1910002,3.9340003,1,0.44200003,GP_observed,stoch
47,2.732,2.732,2.782,-0.05,0.075,0.57000005,0.70000005,0.448,0.55200005,0.809,2.5890002,2.881,1,0.822,Linear_3S,dynamic
47,3.1420002,3.14,3.2930002,-0.15100001,0.081,0.625,0.758,0.48800004,0.592,0.312,2.9870002,3.305,1,0.808,Linear_3S,stoch
47,2.686,2.6850002,2.782,-0.096,0.09,0.648,0.8,0.51000005,0.619,0.86100006,2.513,2.8650002,1,0.808,GP_3S,dynamic
47,3.0670002,3.0660002,3.2930002,-0.22600001,0.085,0.753,0.896,0.55200005,0.661,0.34300002,2.9020002,3.2370002,0,0.822,GP_3S,stoch
47,2.8360002,2.8360002,2.782,0.054,0.055000003,0.50200003,0.51600003,0.39800003,0.409,0.646,2.7310002,2.9440002,1,0.324,Linear_1S,dynamic
47,2.7910001,2.7910001,2.782,0.009000001,0.07300001,0.554,0.61300004,0.43800002,0.47300002,0.688,2.6460001,2.9310002,1,0.544,GP_1S,dynamic
47,3.348,3.348,3.2930002,0.055000003,0.065000005,0.526,0.537,0.416,0.42400002,0.272,3.2210002,3.476,1,0.27600002,Linear_1S,stoch
47,3.2700002,3.2700002,3.2930002,-0.023000002,0.074,0.66800004,0.711,0.47500002,0.499,0.294,3.1220002,3.41,1,0.446,GP_1S,stoch
102,2.5960002,2.5960002,2.601,-0.005,0.049000002,0.10700001,0.15,0.085,0.113000005,0.208,2.5,2.6940002,1,1,Linear_oracle,dynamic
102,2.4580002,2.459,2.601,-0.143,0.063,0.42700002,0.483,0.256,0.29900002,0.544,2.332,2.581,0,0.836,GP_oracle,dynamic
102,3.1550002,3.154,3.176,-0.021000002,0.056,0.08400001,0.126,0.064,0.091000006,0.060000002,3.0460002,3.2670002,1,1,Linear_oracle,stoch
102,3.0670002,3.0670002,3.176,-0.109000005,0.058000002,0.44900003,0.49,0.24400002,0.273,0.15100001,2.953,3.1810002,1,0.83000004,GP_oracle,stoch
102,2.229,2.229,2.601,-0.372,0.064,1.0610001,1.0680001,0.76500005,0.772,1.241,2.105,2.354,0,0.21400002,Linear_observed,dynamic
102,1.5940001,1.593,2.601,-1.0070001,0.148,1.7980001,1.8290001,1.373,1.393,4.0800004,1.304,1.8830001,0,0.29200003,GP_observed,dynamic
102,2.8760002,2.8760002,3.176,-0.3,0.078,1.136,1.143,0.841,0.84700006,0.49800003,2.7240002,3.0300002,0,0.20400001,Linear_observed,stoch
102,3.4380002,3.4380002,3.176,0.26200002,0.192,1.085,1.151,0.85600007,0.89500004,0.67600006,3.0640001,3.8090003,1,0.386,GP_observed,stoch
102,2.5500002,2.549,2.601,-0.051000003,0.075,0.624,0.73200005,0.49100003,0.577,1.179,2.4050002,2.6980002,1,0.762,Linear_3S,dynamic
102,3.022,3.0210001,3.176,-0.15400001,0.083000004,0.675,0.78800005,0.528,0.62,0.37500003,2.8620002,3.1890001,1,0.72800004,Linear_3S,stoch
102,2.381,2.381,2.601,-0.22000001,0.09,0.81100005,0.92300004,0.60700005,0.693,1.0450001,2.2080002,2.5600002,0,0.73600006,GP_3S,dynamic
102,2.8980002,2.897,3.176,-0.27800003,0.08800001,0.90000004,1.005,0.64900005,0.731,0.42600003,2.726,3.0730002,0,0.70600003,GP_3S,stoch
102,2.647,2.647,2.601,0.046000004,0.056,0.544,0.55700004,0.43500003,0.44500002,1.1400001,2.535,2.759,1,0.29000002,Linear_1S,dynamic
102,2.558,2.559,2.601,-0.043,0.079,0.693,0.74700004,0.52000004,0.551,1.2290001,2.404,2.7120001,1,0.47200003,GP_1S,dynamic
102,3.21,3.21,3.176,0.034,0.068,0.56600004,0.577,0.45200002,0.46,0.35900003,3.0760002,3.344,1,0.238,Linear_1S,stoch
102,3.134,3.1330001,3.176,-0.042000003,0.087000005,0.79800004,0.84300005,0.57600003,0.596,0.41000003,2.963,3.3030002,1,0.37600002,GP_1S,stoch
157,2.8160002,2.8160002,2.834,-0.018000001,0.049000002,0.12100001,0.163,0.098000005,0.123,0.22200002,2.72,2.914,1,1,Linear_oracle,dynamic
157,2.8030002,2.8040001,2.834,-0.031000001,0.068,0.25300002,0.36100003,0.16700001,0.23300001,0.26700002,2.6680002,2.9350002,1,0.98200005,GP_oracle,dynamic
157,3.43,3.43,3.4420002,-0.012,0.061000004,0.08800001,0.134,0.071,0.1,0.163,3.3100002,3.551,1,1,Linear_oracle,stoch
157,3.3860002,3.3860002,3.4420002,-0.056,0.07700001,0.38000003,0.46,0.178,0.22800002,0.20400001,3.236,3.535,1,0.94600004,GP_oracle,stoch
157,2.423,2.424,2.834,-0.411,0.063,1.0910001,1.098,0.78000003,0.78800005,1.7350001,2.302,2.546,0,0.192,Linear_observed,dynamic
157,2.0310001,2.033,2.834,-0.80300003,0.16100001,1.588,1.6290001,1.2270001,1.253,4.1400003,1.7140001,2.345,0,0.31,GP_observed,dynamic
157,2.8820002,2.8820002,3.4420002,-0.56,0.085,1.2290001,1.2360001,0.89800006,0.90400004,0.66400003,2.716,3.048,0,0.20400001,Linear_observed,stoch
157,3.1910002,3.1970003,3.4420002,-0.25100002,0.23200001,1.2010001,1.2800001,0.82900006,0.88400006,0.54,2.729,3.6320002,1,0.51000005,GP_observed,stoch
157,2.769,2.7670002,2.834,-0.065000005,0.081,0.611,0.73700005,0.47000003,0.572,1.422,2.618,2.933,1,0.82800007,Linear_3S,dynamic
157,3.259,3.256,3.4420002,-0.18300001,0.097,0.68500006,0.813,0.537,0.63500005,0.43500003,3.0760002,3.4570003,1,0.78800005,Linear_3S,stoch
157,2.739,2.7380002,2.834,-0.095000006,0.097,0.68,0.859,0.51100004,0.64100003,1.4970001,2.551,2.9310002,1,0.85200006,GP_3S,dynamic
157,3.177,3.176,3.4420002,-0.26500002,0.11000001,0.88900006,1.047,0.62100005,0.739,0.333,2.963,3.3950002,0,0.82000005,GP_3S,stoch
157,2.9670002,2.9670002,2.834,0.133,0.061000004,0.54300004,0.55700004,0.43800002,0.448,1.2090001,2.845,3.0820003,0,0.29200003,Linear_1S,dynamic
157,2.8750002,2.8750002,2.834,0.041,0.079,0.67200005,0.74,0.505,0.535,1.291,2.719,3.029,1,0.48600003,GP_1S,dynamic
157,3.604,3.604,3.4420002,0.162,0.081,0.60800004,0.62100005,0.48100004,0.49,0.42900002,3.443,3.7570002,0,0.24800001,Linear_1S,stoch
157,3.423,3.423,3.4420002,-0.019000001,0.094000004,0.92200005,0.97700006,0.61200005,0.63500005,0.37800002,3.239,3.607,1,0.41400003,GP_1S,stoch
212,2.6680002,2.667,2.732,-0.064,0.05,0.076000005,0.133,0.066,0.101,0.057000004,2.568,2.766,1,1,Linear_oracle,dynamic
212,2.657,2.6580002,2.732,-0.075,0.069000006,0.624,0.683,0.22200002,0.29000002,0.24900001,2.522,2.7910001,1,0.91,GP_oracle,dynamic
212,3.18,3.1790001,3.255,-0.075,0.060000002,0.080000006,0.12900001,0.076000005,0.098000005,0.038000003,3.061,3.298,1,1,Linear_oracle,stoch
212,3.1480002,3.1490002,3.255,-0.10700001,0.069000006,0.62100005,0.67200005,0.21700001,0.268,0.141,3.012,3.2830002,1,0.924,GP_oracle,stoch
212,2.2410002,2.2410002,2.732,-0.49100003,0.061000004,1.1120001,1.1190001,0.794,0.8,1.0300001,2.121,2.361,0,0.19000001,Linear_observed,dynamic
212,2.01,2.012,2.732,-0.72200006,0.15400001,1.5250001,1.57,1.131,1.1630001,3.4680002,1.7060001,2.311,0,0.37,GP_observed,dynamic
212,2.6680002,2.6680002,3.255,-0.587,0.080000006,1.2540001,1.261,0.896,0.90200007,0.41900003,2.5100002,2.828,0,0.186,Linear_observed,stoch
212,3.3130002,3.3100002,3.255,0.058000002,0.192,1.0680001,1.144,0.768,0.822,0.48900002,2.9390001,3.6890001,1,0.49,GP_observed,stoch
212,2.5700002,2.569,2.732,-0.162,0.076000005,0.601,0.70400006,0.45400003,0.541,1.021,2.4250002,2.7220001,0,0.804,Linear_3S,dynamic
212,2.9650002,2.9640002,3.255,-0.29000002,0.085,0.70900005,0.80700004,0.541,0.62,0.27600002,2.8030002,3.1380002,0,0.75000006,Linear_3S,stoch
212,2.5540001,2.5540001,2.732,-0.178,0.093,0.85300004,0.97700006,0.55,0.656,0.96000004,2.375,2.7380002,1,0.84200007,GP_3S,dynamic
212,2.95,2.9490001,3.255,-0.305,0.093,0.89000005,1.016,0.61,0.708,0.33200002,2.7710001,3.1350002,0,0.80600005,GP_3S,stoch
212,2.6850002,2.686,2.732,-0.047000002,0.058000002,0.49500003,0.51000005,0.38200003,0.393,0.97200006,2.571,2.799,1,0.36,Linear_1S,dynamic
212,2.6680002,2.6680002,2.732,-0.064,0.079,0.809,0.864,0.49100003,0.526,0.97300005,2.5110002,2.822,1,0.588,GP_1S,dynamic
212,3.1580002,3.1580002,3.255,-0.097,0.071,0.55,0.56200004,0.42600003,0.43500003,0.23900001,3.0170002,3.298,1,0.312,Linear_1S,stoch
212,3.124,3.124,3.255,-0.13100001,0.082,0.81600004,0.86100006,0.53000003,0.55200005,0.31300002,2.9610002,3.2830002,1,0.45400003,GP_1S,stoch
267,2.788,2.788,2.772,0.016,0.055000003,0.115,0.16100001,0.09,0.12100001,0.10300001,2.6790001,2.897,1,1,Linear_oracle,dynamic
267,2.8230002,2.8230002,2.772,0.051000003,0.071,0.367,0.448,0.20500001,0.273,0.254,2.6850002,2.9650002,1,0.8880001,GP_oracle,dynamic
267,3.2380002,3.2380002,3.2240002,0.014,0.063,0.061000004,0.119,0.049000002,0.08800001,0.066,3.1150002,3.3600001,1,1,Linear_oracle,stoch
267,3.1810002,3.1810002,3.2240002,-0.043,0.069000006,0.4,0.45900002,0.17500001,0.23500001,0.106000006,3.045,3.3160002,1,0.95000005,GP_oracle,stoch
