idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
1.0,0.84700006,0.84700006,0.83900005,0.008,0.026,0.057000004,0.071,0.040000003,0.043,0.79600006,0.89800006,1.0,1.0,Linear_oracle,dynamic
1.0,0.822,0.82100004,0.83900005,-0.017,0.031000001,0.123,0.186,0.060000002,0.091000006,0.76100004,0.88100004,1.0,1.0,GP_oracle,dynamic
1.0,2.7120001,2.7120001,2.69,0.022000002,0.082,0.052,0.105000004,0.037,0.076000005,2.551,2.8720002,1.0,1.0,Linear_oracle,stoch
1.0,2.5890002,2.588,2.69,-0.101,0.095000006,0.305,0.397,0.106000006,0.17300001,2.4050002,2.7730002,1.0,0.998,GP_oracle,stoch
1.0,0.614,0.61300004,0.83900005,-0.22500001,0.048,0.416,0.42200002,0.31,0.31500003,0.518,0.71000004,0.0,0.224,Linear_observed,dynamic
1.0,0.469,0.46800002,0.83900005,-0.37,0.080000006,0.51500005,0.54300004,0.393,0.418,0.316,0.62600005,0.0,0.48000002,GP_observed,dynamic
1.0,1.927,1.9250001,2.69,-0.763,0.14600001,1.0780001,1.09,0.841,0.85200006,1.6400001,2.217,0.0,0.23200001,Linear_observed,stoch
1.0,2.039,2.038,2.69,-0.651,0.20600002,1.2290001,1.3060001,0.934,0.97700006,1.639,2.444,0.0,0.41400003,GP_observed,stoch
1.0,-1.7370001,-1.7550001,0.83900005,-2.5760002,0.31,2.5970001,2.617,2.5760002,2.5760002,-2.332,-1.088,0.0,0.0,Linear_3S,dynamic
1.0,-5.8120003,-5.8700004,2.69,-8.502001,1.0120001,8.529,8.59,8.501,8.501,-7.767,-3.716,0.0,0.0,Linear_3S,stoch
1.0,1.1270001,1.125,0.83900005,0.28800002,0.869,1.2800001,1.664,1.024,1.35,-0.49400002,2.8960001,1.0,0.89800006,GP_3S,dynamic
1.0,-0.689,-0.679,2.69,-3.3790002,1.187,3.482,3.7110002,3.3790002,3.3910003,-3.111,1.6890001,0.0,0.15200001,GP_3S,stoch
1.0,-1.9000001,-1.9020001,0.83900005,-2.739,0.23500001,2.7600002,2.7700002,2.739,2.739,-2.3600001,-1.4330001,0.0,0.0,Linear_1S,dynamic
1.0,1.1370001,1.144,0.83900005,0.298,0.94600004,1.3160001,1.7260001,1.0500001,1.406,-0.71900004,3.0070002,1.0,0.90400004,GP_1S,dynamic
1.0,-6.3620005,-6.367,2.69,-9.052,0.78300005,9.078,9.111,9.051001,9.051001,-7.8970003,-4.8030005,0.0,0.0,Linear_1S,stoch
1.0,-0.717,-0.707,2.69,-3.407,1.4230001,3.5080001,3.821,3.4060001,3.44,-3.542,2.112,0.0,0.36400002,GP_1S,stoch
56.0,0.781,0.781,0.78300005,-0.002,0.021000002,0.030000001,0.048,0.017,0.026,0.74,0.823,1.0,1.0,Linear_oracle,dynamic
56.0,0.75000006,0.75000006,0.78300005,-0.033,0.027,0.18,0.23200001,0.069000006,0.094000004,0.698,0.804,1.0,0.984,GP_oracle,dynamic
56.0,2.6560001,2.6560001,2.66,-0.004,0.07300001,0.016,0.081,0.012,0.060000002,2.5140002,2.798,1.0,1.0,Linear_oracle,stoch
56.0,2.515,2.5140002,2.66,-0.14500001,0.081,0.252,0.33100003,0.14600001,0.17400001,2.3560002,2.676,1.0,1.0,GP_oracle,stoch
56.0,0.52000004,0.52000004,0.78300005,-0.263,0.045,0.432,0.437,0.31,0.31500003,0.43100002,0.61,0.0,0.23200001,Linear_observed,dynamic
56.0,0.42400002,0.425,0.78300005,-0.35900003,0.067,0.53400004,0.56100005,0.40600002,0.43,0.294,0.55600005,0.0,0.47200003,GP_observed,dynamic
56.0,1.646,1.644,2.66,-1.014,0.127,1.2260001,1.2340001,1.023,1.028,1.3950001,1.9000001,0.0,0.12200001,Linear_observed,stoch
56.0,1.6560001,1.6550001,2.66,-1.0040001,0.133,1.304,1.342,1.0610001,1.079,1.4000001,1.9190001,0.0,0.24400002,GP_observed,stoch
56.0,0.648,0.647,0.78300005,-0.135,0.040000003,0.29700002,0.347,0.223,0.264,0.574,0.72900003,0.0,0.84200007,Linear_3S,dynamic
56.0,2.121,2.117,2.66,-0.53900003,0.11000001,0.707,0.77500004,0.574,0.624,1.9130001,2.342,0.0,0.574,Linear_3S,stoch
56.0,0.59400004,0.59400004,0.78300005,-0.18900001,0.05,0.416,0.527,0.259,0.34,0.497,0.69500005,0.0,0.93000007,GP_3S,dynamic
56.0,1.8880001,1.8880001,2.66,-0.772,0.12200001,0.90500003,1.0300001,0.777,0.84300005,1.649,2.1290002,0.0,0.72200006,GP_3S,stoch
56.0,0.814,0.814,0.78300005,0.031000001,0.031000001,0.23600002,0.24000001,0.193,0.19700001,0.75200003,0.87500006,1.0,0.22800002,Linear_1S,dynamic
56.0,0.76600003,0.76500005,0.78300005,-0.017,0.05,0.374,0.42900002,0.24800001,0.268,0.67,0.86600006,1.0,0.544,GP_1S,dynamic
56.0,2.64,2.64,2.66,-0.020000001,0.1,0.40300003,0.41700003,0.324,0.333,2.4420002,2.8330002,1.0,0.356,Linear_1S,stoch
56.0,2.4,2.401,2.66,-0.26000002,0.15200001,0.51600003,0.59800005,0.38500002,0.432,2.101,2.6920002,1.0,0.646,GP_1S,stoch
111.0,0.80100006,0.80100006,0.81100005,-0.010000001,0.021000002,0.057000004,0.069000006,0.029000001,0.035,0.76000005,0.84300005,1.0,1.0,Linear_oracle,dynamic
111.0,0.804,0.804,0.81100005,-0.007,0.024,0.093,0.13000001,0.052,0.074,0.75600004,0.851,1.0,0.98600006,GP_oracle,dynamic
111.0,2.6920002,2.6920002,2.7240002,-0.032,0.071,0.037,0.086,0.034,0.068,2.5540001,2.834,1.0,1.0,Linear_oracle,stoch
111.0,2.6550002,2.6550002,2.7240002,-0.069000006,0.075,0.24000001,0.28300002,0.11000001,0.15,2.506,2.8000002,1.0,0.93600005,GP_oracle,stoch
111.0,0.588,0.587,0.81100005,-0.223,0.059000004,0.37300003,0.381,0.29000002,0.296,0.47100002,0.70600003,0.0,0.27400002,Linear_observed,dynamic
111.0,0.47400004,0.47500002,0.81100005,-0.337,0.076000005,0.60300004,0.64400005,0.50200003,0.52400005,0.326,0.62200004,0.0,0.39000002,GP_observed,dynamic
111.0,1.8130001,1.8110001,2.7240002,-0.9110001,0.165,1.159,1.172,0.947,0.95600003,1.4870001,2.14,0.0,0.18800001,Linear_observed,stoch
111.0,1.9810001,1.9760001,2.7240002,-0.74300003,0.22100002,1.307,1.3840001,1.041,1.087,1.5560001,2.4160001,0.0,0.404,GP_observed,stoch
111.0,0.69500005,0.693,0.81100005,-0.116000004,0.041,0.286,0.35200003,0.22100002,0.272,0.61800003,0.77800006,0.0,0.90400004,Linear_3S,dynamic
111.0,2.295,2.2910001,2.7240002,-0.42900002,0.112,0.611,0.69000006,0.49600002,0.55600005,2.0830002,2.5210001,0.0,0.688,Linear_3S,stoch
111.0,0.70400006,0.702,0.81100005,-0.10700001,0.048,0.29700002,0.42700002,0.22700001,0.317,0.61300004,0.80200005,0.0,0.96000004,GP_3S,dynamic
111.0,2.176,2.1750002,2.7240002,-0.54800004,0.12200001,0.698,0.85300004,0.58900005,0.693,1.9390001,2.4150002,0.0,0.87200004,GP_3S,stoch
111.0,0.84900004,0.84900004,0.81100005,0.038000003,0.032,0.264,0.268,0.21400002,0.21700001,0.78800005,0.9110001,1.0,0.20400001,Linear_1S,dynamic
111.0,0.83000004,0.83000004,0.81100005,0.019000001,0.035,0.291,0.316,0.22500001,0.24000001,0.762,0.89800006,1.0,0.41200003,GP_1S,dynamic
111.0,2.802,2.801,2.7240002,0.078,0.104,0.41400003,0.42900002,0.324,0.335,2.6000001,3.0040002,1.0,0.38200003,Linear_1S,stoch
111.0,2.627,2.627,2.7240002,-0.097,0.12100001,0.49300003,0.536,0.372,0.397,2.387,2.861,1.0,0.51600003,GP_1S,stoch
166.0,0.67200005,0.671,0.68200004,-0.010000001,0.019000001,0.015000001,0.039,0.011000001,0.022000002,0.634,0.70900005,1.0,1.0,Linear_oracle,dynamic
166.0,0.624,0.624,0.68200004,-0.058000002,0.024,0.31100002,0.33600003,0.087000005,0.1,0.577,0.671,0.0,0.95600003,GP_oracle,dynamic
166.0,2.463,2.463,2.503,-0.040000003,0.07,0.045,0.089,0.040000003,0.066,2.3240001,2.598,1.0,1.0,Linear_oracle,stoch
166.0,2.3490002,2.3490002,2.503,-0.15400001,0.072000004,0.446,0.48200002,0.15400001,0.179,2.209,2.489,0.0,0.95800006,GP_oracle,stoch
166.0,0.52500004,0.52500004,0.68200004,-0.157,0.040000003,0.35300002,0.358,0.25800002,0.263,0.44500002,0.60400003,0.0,0.25,Linear_observed,dynamic
166.0,0.453,0.453,0.68200004,-0.22900002,0.053000003,0.42100003,0.45200002,0.314,0.34100002,0.35000002,0.558,0.0,0.546,GP_observed,dynamic
166.0,1.807,1.807,2.503,-0.69600004,0.126,0.95800006,0.96800005,0.757,0.76400006,1.5580001,2.055,0.0,0.2,Linear_observed,stoch
166.0,1.9010001,1.9000001,2.503,-0.60200006,0.13800001,1.028,1.0860001,0.808,0.83500004,1.631,2.173,0.0,0.33800003,GP_observed,stoch
166.0,0.51600003,0.51500005,0.68200004,-0.16600001,0.029000001,0.32000002,0.349,0.22900002,0.25500003,0.462,0.57500005,0.0,0.73600006,Linear_3S,dynamic
166.0,2.0080001,2.006,2.503,-0.49500003,0.102000006,0.651,0.70000005,0.526,0.563,1.812,2.2110002,0.0,0.55200005,Linear_3S,stoch
166.0,0.49500003,0.49500003,0.68200004,-0.187,0.034,0.38700002,0.45000002,0.252,0.29500002,0.43,0.563,0.0,0.84800005,GP_3S,dynamic
166.0,1.9110001,1.9110001,2.503,-0.592,0.10700001,0.739,0.836,0.606,0.66300005,1.702,2.1200001,0.0,0.708,GP_3S,stoch
166.0,0.62600005,0.62600005,0.68200004,-0.056,0.023000002,0.26200002,0.26500002,0.19700001,0.19900002,0.57900006,0.67200005,0.0,0.18400002,Linear_1S,dynamic
166.0,0.57500005,0.57500005,0.68200004,-0.10700001,0.028,0.379,0.402,0.24000001,0.24700001,0.51900005,0.629,0.0,0.344,GP_1S,dynamic
166.0,2.47,2.469,2.503,-0.033,0.096,0.35900003,0.374,0.28300002,0.294,2.2770002,2.6590002,1.0,0.40600002,Linear_1S,stoch
166.0,2.3100002,2.311,2.503,-0.193,0.108,0.531,0.57500005,0.35000002,0.37100002,2.095,2.522,1.0,0.586,GP_1S,stoch
221.0,0.77900004,0.77900004,0.75200003,0.027,0.020000001,0.037,0.052,0.027,0.031000001,0.74100006,0.81700003,1.0,1.0,Linear_oracle,dynamic
221.0,0.75500005,0.75500005,0.75200003,0.003,0.025,0.13700001,0.202,0.051000003,0.082,0.70500004,0.804,1.0,0.998,GP_oracle,dynamic
221.0,2.9110003,2.9110003,2.811,0.1,0.072000004,0.10700001,0.134,0.1,0.106000006,2.7700002,3.052,1.0,1.0,Linear_oracle,stoch
221.0,2.8590002,2.8590002,2.811,0.048,0.080000006,0.27800003,0.344,0.128,0.162,2.6990001,3.0180001,1.0,0.99600005,GP_oracle,stoch
221.0,0.517,0.517,0.75200003,-0.23500001,0.041,0.40800002,0.41300002,0.305,0.31100002,0.437,0.59900004,0.0,0.216,Linear_observed,dynamic
221.0,0.476,0.476,0.75200003,-0.27600002,0.055000003,0.61,0.63500005,0.46500003,0.483,0.37,0.58400005,0.0,0.388,GP_observed,dynamic
221.0,1.8820001,1.881,2.811,-0.929,0.132,1.1930001,1.202,0.9710001,0.97800004,1.626,2.1460001,0.0,0.15200001,Linear_observed,stoch
221.0,1.9290001,1.927,2.811,-0.882,0.158,1.3100001,1.3700001,1.0150001,1.049,1.623,2.2450001,0.0,0.35000002,GP_observed,stoch
221.0,0.59000003,0.588,0.75200003,-0.162,0.040000003,0.32200003,0.356,0.24000001,0.26900002,0.51500005,0.671,0.0,0.758,Linear_3S,dynamic
221.0,2.3270001,2.325,2.811,-0.48400003,0.13700001,0.70500004,0.77500004,0.558,0.61200005,2.0630002,2.598,0.0,0.62200004,Linear_3S,stoch
221.0,0.56200004,0.56200004,0.75200003,-0.19000001,0.045,0.33800003,0.432,0.25100002,0.31,0.476,0.651,0.0,0.86800003,GP_3S,dynamic
221.0,2.203,2.203,2.811,-0.60800004,0.14600001,0.80500007,0.93700004,0.647,0.72700006,1.9190001,2.49,0.0,0.75000006,GP_3S,stoch
221.0,0.80200005,0.80200005,0.75200003,0.05,0.032,0.259,0.263,0.208,0.21100001,0.739,0.86500007,1.0,0.22800002,Linear_1S,dynamic
221.0,0.777,0.777,0.75200003,0.025,0.042000003,0.312,0.36200002,0.23700002,0.259,0.694,0.859,1.0,0.512,GP_1S,dynamic
221.0,3.1720002,3.1720002,2.811,0.36100003,0.127,0.568,0.58400005,0.46500003,0.47500002,2.9220002,3.4210002,0.0,0.29000002,Linear_1S,stoch
221.0,3.16,3.16,2.811,0.349,0.177,0.73,0.80600005,0.57600003,0.60800004,2.808,3.5080001,1.0,0.45800003,GP_1S,stoch
276.0,0.675,0.675,0.679,-0.004,0.018000001,0.006,0.037,0.004,0.020000001,0.63900006,0.711,1.0,1.0,Linear_oracle,dynamic
