idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
16.0,0.82000005,0.82000005,0.79600006,0.024,0.023000002,0.035,0.053000003,0.024,0.030000001,0.032,0.041,0.001,0.003,0.77500004,0.864,1.0,1.0,Linear_oracle,dynamic
16.0,0.80200005,0.80200005,0.79600006,0.006,0.025,0.125,0.186,0.065000005,0.094000004,0.113000005,0.155,0.028,0.053000003,0.753,0.851,1.0,0.906,GP_oracle,dynamic
16.0,2.7340002,2.7350001,2.654,0.080000006,0.075,0.08400001,0.11800001,0.080000006,0.09200001,0.030000001,0.034,0.001,0.002,2.5890002,2.8790002,1.0,1.0,Linear_oracle,stoch
16.0,2.6660001,2.667,2.654,0.012,0.081,0.257,0.335,0.105000004,0.158,0.037,0.056,0.003,0.007,2.505,2.8230002,1.0,0.998,GP_oracle,stoch
16.0,0.611,0.611,0.79600006,-0.185,0.042000003,0.37300003,0.37800002,0.279,0.28300002,1794.8641,1794.8691,48478944.0,49544028.0,0.528,0.69500005,0.0,0.21800001,Linear_observed,dynamic
16.0,0.39800003,0.39800003,0.79600006,-0.39800003,0.081,0.53400004,0.56200004,0.42600003,0.44700003,1161.375,1409.4851,20140900.0,41002936.0,0.24100001,0.55600005,0.0,0.42200002,GP_observed,dynamic
16.0,1.9530001,1.9510001,2.654,-0.70100003,0.124000005,1.001,1.01,0.78700006,0.794,0.27,0.273,0.096,0.09900001,1.7070001,2.1980002,0.0,0.21200001,Linear_observed,stoch
16.0,1.9890001,1.9870001,2.654,-0.665,0.14400001,1.1860001,1.2370001,0.94600004,0.97,0.34500003,0.354,0.16000001,0.17300001,1.7160001,2.2740002,0.0,0.316,GP_observed,stoch
16.0,0.62600005,0.625,0.79600006,-0.17,0.040000003,0.316,0.36,0.23900001,0.27600002,1573.336,1573.4641,31339414.0,49956010.0,0.551,0.708,0.0,0.79200006,Linear_3S,dynamic
16.0,2.125,2.1230001,2.654,-0.52900004,0.117000006,0.712,0.77000004,0.57000005,0.615,0.194,0.216,0.049000002,0.063,1.9010001,2.357,0.0,0.55600005,Linear_3S,stoch
16.0,0.61200005,0.611,0.79600006,-0.18400002,0.044000003,0.34,0.43400002,0.24700001,0.31,1325.634,1347.807,24229524.0,47201910.0,0.528,0.703,0.0,0.90400004,GP_3S,dynamic
16.0,1.996,1.9950001,2.654,-0.65800005,0.127,0.82800007,0.94500005,0.671,0.74300003,0.231,0.26500002,0.067,0.095000006,1.7500001,2.2470002,0.0,0.72400004,GP_3S,stoch
16.0,0.813,0.813,0.79600006,0.017,0.033,0.24400002,0.24900001,0.19900002,0.202,2599.392,2599.395,85354590.0,85714320.0,0.749,0.87700003,1.0,0.208,Linear_1S,dynamic
16.0,0.80600005,0.80600005,0.79600006,0.010000001,0.036000002,0.34300002,0.367,0.24700001,0.257,2725.8042,2726.486,96094820.0,98721704.0,0.73600006,0.878,1.0,0.36400002,GP_1S,dynamic
16.0,2.7470002,2.746,2.654,0.093,0.11000001,0.41500002,0.43100002,0.33400002,0.34500003,0.13900001,0.143,0.034,0.036000002,2.5330002,2.9640002,1.0,0.386,Linear_1S,stoch
16.0,2.6750002,2.674,2.654,0.021000002,0.135,0.638,0.683,0.41400003,0.439,0.155,0.16600001,0.043,0.049000002,2.4080002,2.9420002,1.0,0.55600005,GP_1S,stoch
71.0,0.91,0.91,0.91700006,-0.007,0.026,0.055000003,0.071,0.033,0.039,0.031000001,0.041,0.001,0.003,0.859,0.961,1.0,1.0,Linear_oracle,dynamic
71.0,0.88400006,0.88400006,0.91700006,-0.033,0.028,0.245,0.28,0.101,0.12100001,0.11000001,0.143,0.029000001,0.047000002,0.827,0.93900007,1.0,0.874,GP_oracle,dynamic
71.0,2.647,2.647,2.661,-0.014,0.07700001,0.029000001,0.089,0.023000002,0.067,0.010000001,0.025,0.0,0.001,2.4970002,2.7970002,1.0,1.0,Linear_oracle,stoch
71.0,2.5670002,2.565,2.661,-0.094000004,0.081,0.55200005,0.58900005,0.17300001,0.21300001,0.047000002,0.063,0.012,0.015000001,2.4060001,2.726,1.0,0.95000005,GP_oracle,stoch
71.0,0.62700003,0.62700003,0.91700006,-0.29000002,0.05,0.46100003,0.46600002,0.337,0.34100002,1084.411,1084.42,23000192.0,23906826.0,0.52900004,0.72800004,0.0,0.256,Linear_observed,dynamic
71.0,0.48200002,0.483,0.91700006,-0.43500003,0.09200001,0.59400004,0.623,0.455,0.48000002,658.004,943.02405,10440335.0,27068444.0,0.3,0.66300005,0.0,0.45400003,GP_observed,dynamic
71.0,1.6860001,1.6840001,2.661,-0.975,0.128,1.2090001,1.217,0.99200004,0.998,0.33800003,0.34100002,0.13900001,0.142,1.4360001,1.9430001,0.0,0.142,Linear_observed,stoch
71.0,1.84,1.8390001,2.661,-0.82100004,0.141,1.233,1.2830001,1.0,1.0270001,0.36,0.37,0.16800001,0.18100001,1.5690001,2.121,0.0,0.30800003,GP_observed,stoch
71.0,0.702,0.70000005,0.91700006,-0.215,0.044000003,0.37600002,0.41500002,0.277,0.31300002,1453.3871,1453.508,32512550.0,48069424.0,0.619,0.794,0.0,0.726,Linear_3S,dynamic
71.0,2.0410001,2.0400002,2.661,-0.62,0.11800001,0.78900003,0.84800005,0.647,0.689,0.22100002,0.24300002,0.061000004,0.07700001,1.812,2.2770002,0.0,0.492,Linear_3S,stoch
71.0,0.66300005,0.66200006,0.91700006,-0.254,0.05,0.43100002,0.527,0.307,0.374,1153.9081,1194.134,22611038.0,46703092.0,0.56700003,0.76500005,0.0,0.88000005,GP_3S,dynamic
71.0,1.899,1.899,2.661,-0.762,0.13100001,0.94000006,1.075,0.77000004,0.84800005,0.266,0.303,0.085,0.12200001,1.644,2.158,0.0,0.75000006,GP_3S,stoch
71.0,0.91300005,0.91200006,0.91700006,-0.004,0.037,0.28100002,0.286,0.223,0.22800002,2427.468,2427.4712,90685060.0,91068200.0,0.84000003,0.98600006,1.0,0.224,Linear_1S,dynamic
71.0,0.88600004,0.88500005,0.91700006,-0.031000001,0.049000002,0.4,0.43400002,0.26900002,0.286,2443.4822,2444.9941,95495304.0,99350510.0,0.79,0.98300004,1.0,0.48400003,GP_1S,dynamic
71.0,2.683,2.6810002,2.661,0.022000002,0.11100001,0.41700003,0.43400002,0.33200002,0.34300002,0.134,0.13800001,0.031000001,0.033,2.4650002,2.907,1.0,0.37600002,Linear_1S,stoch
71.0,2.5630002,2.5630002,2.661,-0.098000005,0.147,0.71300006,0.767,0.42900002,0.46100003,0.15300001,0.16600001,0.043,0.051000003,2.275,2.851,1.0,0.632,GP_1S,stoch
