idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
41,0.804,0.804,0.78200006,0.022000002,0.024,0.033,0.049000002,0.027,0.032,0.034,0.048,0.002,0.004,0.757,0.851,1,1,Linear_oracle,dynamic
41,0.814,0.814,0.78200006,0.032,0.030000001,0.044000003,0.186,0.037,0.105000004,0.047000002,0.165,0.003,0.058000002,0.75600004,0.87200004,1,0.98,GP_oracle,dynamic
41,2.598,2.5970001,2.542,0.056,0.071,0.09,0.10300001,0.07300001,0.075,0.029000001,0.028,0.001,0.001,2.4580002,2.7370002,1,1,Linear_oracle,stoch
41,2.5180001,2.519,2.542,-0.024,0.078,0.081,0.26900002,0.065000005,0.17500001,0.026,0.071,0.001,0.009000001,2.364,2.6690001,1,0.818,GP_oracle,stoch
41,0.55700004,0.55600005,0.78200006,-0.22500001,0.043,0.22900002,0.432,0.22500001,0.33600003,0.28800002,1994.0011,0.086,58815812,0.47300002,0.643,0,0.17400001,Linear_observed,dynamic
41,0.377,0.377,0.78200006,-0.40500003,0.067,0.411,0.625,0.40500003,0.49800003,0.518,1241.207,0.27600002,29665542,0.246,0.51000005,0,0.35000002,GP_observed,dynamic
41,2.003,1.9990001,2.542,-0.53900003,0.136,0.55600005,0.87700003,0.54,0.666,0.21200001,0.24100001,0.048,0.081,1.738,2.2710001,0,0.29200003,Linear_observed,stoch
41,2.091,2.091,2.542,-0.45100003,0.141,0.47200003,1.2080001,0.45100003,0.9250001,0.177,0.35200003,0.035,0.18,1.8160001,2.367,0,0.28800002,GP_observed,stoch
41,0.58900005,0.588,0.78200006,-0.193,0.038000003,0.19600001,0.43300003,0.192,0.33100003,0.246,1579.4401,0.063,65357650,0.517,0.66700006,0,0.81200004,Linear_3S,dynamic
41,2.049,2.048,2.542,-0.49300003,0.094000004,0.50200003,0.69900006,0.49300003,0.564,0.194,0.21000001,0.039,0.059000004,1.868,2.237,0,0.57000005,Linear_3S,stoch
