idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
52,0.68,0.68,0.65900004,0.021000002,0.017,0.038000003,0.052,0.021000002,0.026,0.64500004,0.71400005,1,1,Linear_oracle,dynamic
52,0.67600006,0.67600006,0.65900004,0.017,0.018000001,0.117000006,0.14500001,0.060000002,0.071,0.64100003,0.71000004,1,0.96000004,GP_oracle,dynamic
52,2.559,2.559,2.479,0.080000006,0.07,0.083000004,0.113000005,0.080000006,0.09,2.421,2.6950002,1,1,Linear_oracle,stoch
52,2.5070002,2.5070002,2.479,0.028,0.075,0.298,0.335,0.135,0.15900001,2.361,2.651,1,0.98600006,GP_oracle,stoch
52,0.54700005,0.54700005,0.65900004,-0.112,0.043,0.284,0.29000002,0.20600002,0.21100001,0.462,0.632,0,0.30400002,Linear_observed,dynamic
52,0.39400002,0.39400002,0.65900004,-0.26500002,0.079,0.37800002,0.41500002,0.279,0.312,0.23600002,0.546,0,0.61,GP_observed,dynamic
52,1.7070001,1.7060001,2.479,-0.772,0.12200001,0.998,1.006,0.8,0.80600005,1.463,1.9480001,0,0.18200001,Linear_observed,stoch
52,1.7800001,1.7780001,2.479,-0.69900006,0.14,1.1010001,1.1550001,0.86600006,0.896,1.511,2.0570002,0,0.37,GP_observed,stoch
52,0.583,0.58100003,0.65900004,-0.076000005,0.034,0.21800001,0.264,0.15900001,0.19700001,0.521,0.65300006,0,0.89000005,Linear_3S,dynamic
52,1.9950001,1.9920001,2.479,-0.48400003,0.105000004,0.64900005,0.698,0.51900005,0.554,1.7960001,2.207,0,0.56200004,Linear_3S,stoch
52,0.577,0.57500005,0.65900004,-0.082,0.035,0.22600001,0.29900002,0.163,0.216,0.512,0.648,0,0.93600005,GP_3S,dynamic
52,1.9260001,1.9260001,2.479,-0.55300003,0.108,0.71300006,0.795,0.572,0.62600005,1.7170001,2.137,0,0.688,GP_3S,stoch
