idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
48,2.47,2.47,2.502,-0.032,0.046000004,0.126,0.163,0.098000005,0.123,0.18800001,2.38,2.561,1,0.9760001,Linear_oracle,dynamic
48,2.4910002,2.492,2.502,-0.011000001,0.063,0.323,0.39400002,0.177,0.23400001,0.37600002,2.367,2.615,1,0.95600003,GP_oracle,dynamic
48,3.0490003,3.0490003,3.1000001,-0.051000003,0.053000003,0.124000005,0.15400001,0.096,0.112,0.29700002,2.946,3.1550002,1,0.95400006,Linear_oracle,stoch
48,3.016,3.0170002,3.1000001,-0.08400001,0.056,0.40100002,0.44300002,0.165,0.20700002,0.35700002,2.9060001,3.1230001,1,0.96000004,GP_oracle,stoch
48,2.2680001,2.269,2.502,-0.23400001,0.066,0.957,0.96500003,0.65900004,0.666,1.062,2.138,2.398,0,0.22600001,Linear_observed,dynamic
48,1.792,1.794,2.502,-0.71000004,0.17400001,1.4250001,1.47,1.103,1.1270001,2.8200002,1.45,2.121,0,0.33,GP_observed,dynamic
48,2.7630002,2.7630002,3.1000001,-0.337,0.07300001,1.0500001,1.057,0.739,0.74500006,1.024,2.6200001,2.9060001,0,0.22200002,Linear_observed,stoch
48,2.877,2.88,3.1000001,-0.223,0.20500001,1.177,1.2520001,0.78200006,0.83000004,1.5630001,2.4650002,3.272,1,0.51000005,GP_observed,stoch
48,2.436,2.436,2.502,-0.066,0.068,0.58500004,0.671,0.45800003,0.52400005,0.832,2.3040001,2.568,1,0.71800005,Linear_3S,dynamic
48,2.9250002,2.924,3.1000001,-0.17500001,0.074,0.63900006,0.72900003,0.49400002,0.568,0.814,2.782,3.0700002,0,0.712,Linear_3S,stoch
48,2.469,2.469,2.502,-0.033,0.080000006,0.651,0.75900006,0.503,0.578,1.0710001,2.315,2.6260002,1,0.74600005,GP_3S,dynamic
48,2.8720002,2.871,3.1000001,-0.22800002,0.078,0.75500005,0.864,0.541,0.624,0.87100005,2.72,3.0260003,0,0.762,GP_3S,stoch
48,2.476,2.4770002,2.502,-0.026,0.05,0.48700002,0.5,0.39400002,0.404,0.76900005,2.3760002,2.5770001,1,0.30600002,Linear_1S,dynamic
48,2.519,2.5200002,2.502,0.017,0.07,0.59900004,0.648,0.446,0.476,0.93100005,2.381,2.6560001,1,0.522,GP_1S,dynamic
48,3.0690002,3.068,3.1000001,-0.031000001,0.061000004,0.52000004,0.53000003,0.41300002,0.42100003,0.59900004,2.9490001,3.1890001,1,0.26200002,Linear_1S,stoch
48,3.035,3.035,3.1000001,-0.065000005,0.072000004,0.711,0.749,0.47900003,0.50100005,0.64000005,2.891,3.1750002,1,0.43600002,GP_1S,stoch
103,2.8950002,2.8950002,2.9090002,-0.014,0.051000003,0.031000001,0.11000001,0.026,0.08400001,0.056,2.795,2.996,1,1,Linear_oracle,dynamic
103,2.868,2.868,2.9090002,-0.041,0.069000006,0.44700003,0.514,0.148,0.23700002,0.22100002,2.733,3.0030003,1,0.966,GP_oracle,dynamic
103,3.3600001,3.3600001,3.3680003,-0.008,0.059000004,0.018000001,0.096,0.015000001,0.07,0.007,3.2450001,3.476,1,1,Linear_oracle,stoch
103,3.318,3.318,3.3680003,-0.05,0.067,0.45800003,0.51000005,0.155,0.21900001,0.063,3.186,3.45,1,0.9480001,GP_oracle,stoch
103,2.355,2.355,2.9090002,-0.554,0.062000003,1.1350001,1.1420001,0.79600006,0.804,0.92300004,2.233,2.479,0,0.224,Linear_observed,dynamic
103,1.9310001,1.9300001,2.9090002,-0.97800004,0.14400001,1.7680001,1.8000001,1.3670001,1.3900001,2.4350002,1.651,2.2110002,0,0.30400002,GP_observed,dynamic
103,2.8720002,2.8720002,3.3680003,-0.49600002,0.086,1.1620001,1.1700001,0.83800006,0.84400004,0.31100002,2.703,3.0430002,0,0.2,Linear_observed,stoch
103,3.404,3.4050002,3.3680003,0.036000002,0.21300001,1.299,1.373,0.88100004,0.9250001,0.37,2.9840002,3.8140001,1,0.44200003,GP_observed,stoch
103,2.732,2.732,2.9090002,-0.177,0.07300001,0.564,0.684,0.43100002,0.531,0.68600005,2.5900002,2.877,0,0.85,Linear_3S,dynamic
103,3.173,3.1720002,3.3680003,-0.19500001,0.08400001,0.573,0.702,0.446,0.549,0.17400001,3.012,3.3400002,0,0.84800005,Linear_3S,stoch
103,2.65,2.6490002,2.9090002,-0.259,0.086,0.73300004,0.86800003,0.50200003,0.62,0.65400004,2.483,2.8190002,0,0.86800003,GP_3S,dynamic
103,3.114,3.1130002,3.3680003,-0.254,0.08800001,0.77500004,0.91300005,0.523,0.637,0.20500001,2.9420002,3.2890003,0,0.86,GP_3S,stoch
103,2.8420002,2.8420002,2.9090002,-0.067,0.056,0.47200003,0.48600003,0.37300003,0.38500002,0.72400004,2.732,2.953,1,0.36600003,Linear_1S,dynamic
103,2.755,2.756,2.9090002,-0.15400001,0.074,0.689,0.73800004,0.45600003,0.48900002,0.75900006,2.6100001,2.9,0,0.56,GP_1S,dynamic
103,3.357,3.3580003,3.3680003,-0.011000001,0.069000006,0.49100003,0.503,0.38900003,0.39800003,0.16700001,3.2220001,3.4930003,1,0.3,Linear_1S,stoch
103,3.282,3.282,3.3680003,-0.086,0.07700001,0.76400006,0.808,0.49400002,0.518,0.20600002,3.1290002,3.4340003,1,0.48000002,GP_1S,stoch
158,2.6890001,2.6890001,2.663,0.026,0.051000003,0.071,0.12900001,0.060000002,0.09900001,0.18100001,2.5890002,2.792,1,1,Linear_oracle,dynamic
158,2.6090002,2.6090002,2.663,-0.054,0.067,0.467,0.526,0.19000001,0.256,0.17300001,2.4770002,2.7410002,1,0.966,GP_oracle,dynamic
158,3.1390002,3.1390002,3.1200001,0.019000001,0.059000004,0.030000001,0.101,0.025,0.074,0.024,3.0240002,3.2570002,1,1,Linear_oracle,stoch
158,3.1520002,3.1520002,3.1200001,0.032,0.064,0.448,0.492,0.20500001,0.245,0.074,3.028,3.275,1,0.86800003,GP_oracle,stoch
158,2.19,2.19,2.663,-0.47300002,0.065000005,1.141,1.148,0.81600004,0.822,1.6100001,2.062,2.3200002,0,0.19000001,Linear_observed,dynamic
158,1.8420001,1.843,2.663,-0.82100004,0.16800001,1.5500001,1.5910001,1.19,1.213,4.406,1.5150001,2.1690001,0,0.314,GP_observed,dynamic
158,2.67,2.67,3.1200001,-0.45000002,0.083000004,1.179,1.1860001,0.85,0.85600007,0.41400003,2.5100002,2.8360002,0,0.194,Linear_observed,stoch
158,3.0240002,3.029,3.1200001,-0.096,0.252,1.22,1.317,0.84900004,0.91400003,0.45700002,2.5200002,3.5110002,1,0.53800005,GP_observed,stoch
158,2.6350002,2.6350002,2.663,-0.028,0.081,0.60400003,0.735,0.48400003,0.57900006,1.376,2.479,2.7960002,1,0.83000004,Linear_3S,dynamic
158,3.0770001,3.0760002,3.1200001,-0.043,0.09200001,0.6,0.74700004,0.47900003,0.58900005,0.273,2.901,3.262,1,0.84400004,Linear_3S,stoch
158,2.5400002,2.5400002,2.663,-0.123,0.10300001,0.763,0.92600006,0.52900004,0.661,1.1750001,2.342,2.7440002,1,0.89000005,GP_3S,dynamic
158,3.068,3.0660002,3.1200001,-0.052,0.11400001,0.76000005,0.94500005,0.52500004,0.679,0.27600002,2.8490002,3.298,1,0.90000004,GP_3S,stoch
158,2.7830002,2.782,2.663,0.120000005,0.060000002,0.54700005,0.559,0.44300002,0.45100003,1.5040001,2.667,2.903,0,0.27,Linear_1S,dynamic
158,2.798,2.799,2.663,0.135,0.086,0.74500006,0.79700005,0.513,0.54700005,1.493,2.627,2.9640002,1,0.49600002,GP_1S,dynamic
158,3.308,3.308,3.1200001,0.18800001,0.075,0.565,0.57600003,0.45600003,0.46300003,0.28800002,3.164,3.4550002,0,0.26200002,Linear_1S,stoch
158,3.4120002,3.4140003,3.1200001,0.29200003,0.10300001,0.82000005,0.864,0.597,0.62,0.35200003,3.2080002,3.607,0,0.38000003,GP_1S,stoch
213,2.801,2.801,2.8920002,-0.091000006,0.060000002,0.109000005,0.15900001,0.093,0.12200001,0.19100001,2.686,2.92,1,1,Linear_oracle,dynamic
213,2.8400002,2.841,2.8920002,-0.052,0.076000005,0.35200003,0.439,0.155,0.24100001,0.20500001,2.69,2.986,1,0.97800004,GP_oracle,dynamic
213,3.2730002,3.2730002,3.374,-0.101,0.072000004,0.11800001,0.16100001,0.102000006,0.12200001,0.071,3.1330001,3.417,1,1,Linear_oracle,stoch
213,3.176,3.176,3.374,-0.19800001,0.085,0.549,0.59900004,0.21700001,0.27400002,0.105000004,3.0080001,3.3430002,0,0.94600004,GP_oracle,stoch
213,2.1650002,2.1660001,2.8920002,-0.72700006,0.058000002,1.2420001,1.2470001,0.90700006,0.91200006,0.91800004,2.0500002,2.279,0,0.19000001,Linear_observed,dynamic
213,2.3270001,2.328,2.8920002,-0.565,0.142,1.3010001,1.342,0.99500006,1.031,2.174,2.052,2.608,0,0.39800003,GP_observed,dynamic
213,2.634,2.6350002,3.374,-0.74,0.1,1.3100001,1.3180001,0.98100007,0.98800004,0.517,2.4380002,2.832,0,0.18400002,Linear_observed,stoch
213,3.2300003,3.2340002,3.374,-0.14400001,0.351,1.2110001,1.358,0.809,0.91800004,0.50100005,2.535,3.897,1,0.634,GP_observed,stoch
213,2.5830002,2.581,2.8920002,-0.30900002,0.083000004,0.70000005,0.786,0.535,0.606,0.87100005,2.4250002,2.7500002,0,0.71800005,Linear_3S,dynamic
213,2.989,2.986,3.374,-0.38500002,0.1,0.754,0.845,0.591,0.66300005,0.28,2.799,3.1920002,0,0.67600006,Linear_3S,stoch
213,2.6330001,2.6330001,2.8920002,-0.259,0.095000006,0.74500006,0.869,0.55,0.64900005,1.123,2.4490001,2.821,0,0.804,GP_3S,dynamic
213,2.913,2.9110003,3.374,-0.46100003,0.10700001,0.93900007,1.0450001,0.66400003,0.75000006,0.34,2.71,3.127,0,0.72400004,GP_3S,stoch
213,2.755,2.755,2.8920002,-0.13700001,0.068,0.54300004,0.55700004,0.42000002,0.43100002,0.84200007,2.6230001,2.8890002,0,0.36,Linear_1S,dynamic
213,2.844,2.8430002,2.8920002,-0.048,0.089,0.65300006,0.716,0.48400003,0.52400005,1.187,2.6710002,3.0180001,1,0.55,GP_1S,dynamic
213,3.2430003,3.242,3.374,-0.13100001,0.086,0.563,0.57600003,0.44500002,0.45400003,0.22700001,3.0770001,3.4080002,1,0.30200002,Linear_1S,stoch
213,3.173,3.173,3.374,-0.201,0.10300001,0.822,0.87200004,0.55200005,0.57900006,0.28100002,2.9710002,3.3750002,1,0.47000003,GP_1S,stoch
268,3.2890003,3.288,3.2530003,0.036000002,0.058000002,0.08800001,0.143,0.080000006,0.112,0.193,3.176,3.404,1,1,Linear_oracle,dynamic
268,3.233,3.232,3.2530003,-0.020000001,0.07300001,0.41400003,0.48100004,0.246,0.29200003,0.35900003,3.094,3.3780003,1,0.89400005,GP_oracle,dynamic
268,3.6130002,3.6120002,3.5850003,0.028,0.065000005,0.063,0.120000005,0.05,0.089,0.078,3.486,3.7410002,1,1,Linear_oracle,stoch
268,3.528,3.528,3.5850003,-0.057000004,0.07,0.416,0.469,0.22900002,0.263,0.21900001,3.3880002,3.6660001,1,0.86,GP_oracle,stoch
268,2.68,2.68,3.2530003,-0.573,0.061000004,1.1500001,1.1570001,0.85700005,0.86300004,1.0320001,2.561,2.8000002,0,0.2,Linear_observed,dynamic
268,2.618,2.617,3.2530003,-0.63500005,0.133,1.314,1.355,1.034,1.064,1.005,2.361,2.881,0,0.33,GP_observed,dynamic
268,2.976,2.976,3.5850003,-0.609,0.093,1.222,1.23,0.88100004,0.89000005,0.381,2.7970002,3.1590002,0,0.224,Linear_observed,stoch
268,3.193,3.1950002,3.5850003,-0.39200002,0.28,1.312,1.4050001,0.919,0.96900004,0.57100004,2.641,3.736,1,0.504,GP_observed,stoch
268,3.0700002,3.068,3.2530003,-0.18300001,0.08800001,0.66800004,0.77000004,0.526,0.605,0.81900007,2.903,3.249,0,0.76400006,Linear_3S,dynamic
268,3.3600001,3.3580003,3.5850003,-0.22500001,0.096,0.66800004,0.77000004,0.51900005,0.59900004,0.316,3.1780002,3.5540001,0,0.76600003,Linear_3S,stoch
268,3.019,3.0180001,3.2530003,-0.23400001,0.1,0.791,0.91800004,0.595,0.69500005,0.84200007,2.8260002,3.2170002,0,0.79200006,GP_3S,dynamic
