idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
9.0,2.845,2.8460002,2.8860002,-0.041,0.049000002,0.075,0.128,0.066,0.1,0.15300001,2.7470002,2.9420002,1.0,1.0,Linear_oracle,dynamic
9.0,2.8890002,2.8890002,2.8860002,0.003,0.063,0.279,0.367,0.134,0.21100001,0.17,2.7630002,3.0100002,1.0,0.99200004,GP_oracle,dynamic
9.0,3.1430001,3.1430001,3.1790001,-0.036000002,0.054,0.063,0.11000001,0.051000003,0.083000004,0.059000004,3.035,3.2500002,1.0,1.0,Linear_oracle,stoch
9.0,3.1050003,3.1050003,3.1790001,-0.074,0.056,0.3,0.35900003,0.15100001,0.2,0.056,2.993,3.216,1.0,0.91200006,GP_oracle,stoch
9.0,2.397,2.397,2.8860002,-0.48900002,0.062000003,1.159,1.166,0.82900006,0.83500004,0.757,2.273,2.5170002,0.0,0.19000001,Linear_observed,dynamic
9.0,2.2900002,2.292,2.8860002,-0.596,0.13000001,1.531,1.5660001,1.197,1.2190001,2.1880002,2.0300002,2.5430002,0.0,0.31800002,GP_observed,dynamic
9.0,2.6250002,2.6250002,3.1790001,-0.554,0.086,1.1960001,1.2040001,0.86700004,0.873,0.367,2.459,2.7940001,0.0,0.178,Linear_observed,stoch
9.0,3.233,3.2310002,3.1790001,0.054,0.24000001,1.018,1.1060001,0.74600005,0.81000006,0.43500003,2.7700002,3.713,1.0,0.53400004,GP_observed,stoch
9.0,2.7040002,2.703,2.8860002,-0.18200001,0.078,0.65000004,0.758,0.49100003,0.58500004,0.527,2.5530002,2.8600001,0.0,0.79200006,Linear_3S,dynamic
9.0,2.97,2.969,3.1790001,-0.209,0.08400001,0.65000004,0.758,0.50200003,0.588,0.23600002,2.809,3.1380002,0.0,0.786,Linear_3S,stoch
9.0,2.713,2.7120001,2.8860002,-0.17300001,0.09,0.69500005,0.845,0.527,0.637,0.52000004,2.538,2.8920002,1.0,0.83000004,GP_3S,dynamic
9.0,2.923,2.9220002,3.1790001,-0.256,0.087000005,0.739,0.87500006,0.545,0.64900005,0.257,2.755,3.095,0.0,0.82000005,GP_3S,stoch
9.0,2.8420002,2.8420002,2.8860002,-0.044000003,0.059000004,0.55,0.563,0.42400002,0.43400002,0.508,2.7270002,2.9580002,1.0,0.356,Linear_1S,dynamic
9.0,2.857,2.858,2.8860002,-0.029000001,0.07700001,0.629,0.68700004,0.462,0.50200003,0.51000005,2.7020001,3.0070002,1.0,0.546,GP_1S,dynamic
9.0,3.163,3.163,3.1790001,-0.016,0.067,0.544,0.555,0.42000002,0.43,0.21800001,3.0310001,3.2960002,1.0,0.30600002,Linear_1S,stoch
9.0,3.0820003,3.0830002,3.1790001,-0.097,0.075,0.674,0.71800005,0.48800004,0.512,0.24200001,2.936,3.2280002,1.0,0.44000003,GP_1S,stoch
64.0,2.7220001,2.7220001,2.73,-0.008,0.051000003,0.061000004,0.12200001,0.051000003,0.093,0.12900001,2.6220002,2.8230002,1.0,1.0,Linear_oracle,dynamic
64.0,2.641,2.64,2.73,-0.089,0.065000005,0.179,0.291,0.135,0.208,0.24200001,2.513,2.7680001,1.0,0.98800004,GP_oracle,dynamic
64.0,3.2110002,3.2110002,3.2070003,0.004,0.061000004,0.047000002,0.11000001,0.035,0.078,0.020000001,3.0920002,3.3330002,1.0,1.0,Linear_oracle,stoch
64.0,3.1360002,3.137,3.2070003,-0.071,0.066,0.22700001,0.31100002,0.085,0.163,0.036000002,3.0040002,3.265,1.0,0.99600005,GP_oracle,stoch
64.0,2.3000002,2.298,2.73,-0.43,0.065000005,0.98600006,0.994,0.716,0.72400004,0.72200006,2.173,2.4290001,0.0,0.23600002,Linear_observed,dynamic
64.0,1.8780001,1.8780001,2.73,-0.85200006,0.15900001,1.404,1.445,1.115,1.141,2.033,1.5630001,2.1880002,0.0,0.31,GP_observed,dynamic
64.0,2.647,2.6480002,3.2070003,-0.56,0.089,1.1570001,1.1650001,0.82500005,0.83300006,0.32500002,2.473,2.8240001,0.0,0.23600002,Linear_observed,stoch
64.0,2.9060001,2.9060001,3.2070003,-0.30100003,0.268,1.2080001,1.3050001,0.86100006,0.9250001,0.356,2.3730001,3.4320002,1.0,0.532,GP_observed,stoch
64.0,2.5630002,2.562,2.73,-0.16700001,0.075,0.60800004,0.70100003,0.47900003,0.549,0.694,2.4190001,2.7120001,0.0,0.768,Linear_3S,dynamic
64.0,2.9520001,2.95,3.2070003,-0.25500003,0.086,0.683,0.77500004,0.527,0.601,0.22100002,2.7870002,3.1250002,0.0,0.72400004,Linear_3S,stoch
64.0,2.49,2.489,2.73,-0.24000001,0.089,0.652,0.78000003,0.514,0.605,0.572,2.318,2.6660001,0.0,0.814,GP_3S,dynamic
64.0,2.8950002,2.8950002,3.2070003,-0.312,0.094000004,0.73600006,0.864,0.56100005,0.651,0.22100002,2.7110002,3.0820003,0.0,0.804,GP_3S,stoch
64.0,2.69,2.69,2.73,-0.040000003,0.058000002,0.521,0.53400004,0.418,0.42700002,0.76600003,2.5770001,2.805,1.0,0.316,Linear_1S,dynamic
64.0,2.6120002,2.611,2.73,-0.11800001,0.078,0.564,0.62200004,0.44500002,0.485,0.669,2.456,2.762,1.0,0.54,GP_1S,dynamic
64.0,3.1780002,3.1780002,3.2070003,-0.029000001,0.07300001,0.54200006,0.55300003,0.43400002,0.44300002,0.19700001,3.0340002,3.3230002,1.0,0.27600002,Linear_1S,stoch
64.0,3.0630002,3.0660002,3.2070003,-0.14400001,0.089,0.62700003,0.684,0.483,0.513,0.19900002,2.8790002,3.2310002,1.0,0.43600002,GP_1S,stoch
119.0,2.585,2.5860002,2.551,0.034,0.049000002,0.156,0.18900001,0.14600001,0.156,0.39100003,2.489,2.6790001,1.0,0.836,Linear_oracle,dynamic
119.0,2.545,2.5440001,2.551,-0.006,0.064,0.55200005,0.605,0.24900001,0.3,0.35000002,2.4220002,2.6690001,1.0,0.90000004,GP_oracle,dynamic
119.0,3.029,3.029,3.0080001,0.021000002,0.055000003,0.087000005,0.127,0.07,0.095000006,0.085,2.9210002,3.1350002,1.0,1.0,Linear_oracle,stoch
119.0,3.0360003,3.0360003,3.0080001,0.028,0.057000004,0.455,0.499,0.193,0.23500001,0.143,2.924,3.1490002,1.0,0.85800004,GP_oracle,stoch
119.0,2.2580001,2.2580001,2.551,-0.293,0.062000003,0.97200006,0.98,0.69900006,0.707,1.151,2.137,2.377,0.0,0.22800002,Linear_observed,dynamic
119.0,2.022,2.022,2.551,-0.52900004,0.135,1.3310001,1.373,1.0320001,1.0550001,2.832,1.7580001,2.2870002,0.0,0.33,GP_observed,dynamic
119.0,2.798,2.798,3.0080001,-0.21000001,0.083000004,1.0020001,1.01,0.73300004,0.74100006,0.43100002,2.6360002,2.9610002,0.0,0.23,Linear_observed,stoch
119.0,3.713,3.7080002,3.0080001,0.70500004,0.202,1.2930001,1.36,1.0450001,1.072,0.684,3.321,4.116,0.0,0.33,GP_observed,stoch
119.0,2.5440001,2.5440001,2.551,-0.007,0.072000004,0.555,0.67800003,0.43500003,0.532,1.337,2.403,2.687,1.0,0.82000005,Linear_3S,dynamic
119.0,2.9160001,2.9150002,3.0080001,-0.09200001,0.078,0.55700004,0.683,0.42800003,0.53400004,0.34800002,2.765,3.071,1.0,0.82000005,Linear_3S,stoch
119.0,2.5070002,2.506,2.551,-0.044000003,0.086,0.76500005,0.89800006,0.532,0.63500005,1.1650001,2.3400002,2.676,1.0,0.822,GP_3S,dynamic
119.0,2.8850002,2.884,3.0080001,-0.123,0.085,0.735,0.87500006,0.507,0.62,0.354,2.72,3.0530002,1.0,0.84200007,GP_3S,stoch
119.0,2.644,2.644,2.551,0.093,0.055000003,0.50100005,0.514,0.393,0.40300003,1.4360001,2.536,2.753,1.0,0.34,Linear_1S,dynamic
119.0,2.6130002,2.6130002,2.551,0.062000003,0.075,0.72900003,0.78300005,0.48900002,0.521,1.3740001,2.4640002,2.7600002,1.0,0.526,GP_1S,dynamic
119.0,3.0870001,3.0870001,3.0080001,0.079,0.063,0.48700002,0.49800003,0.381,0.388,0.342,2.963,3.2120001,1.0,0.30200002,Linear_1S,stoch
119.0,3.061,3.062,3.0080001,0.053000003,0.078,0.708,0.75600004,0.47300002,0.49800003,0.36200002,2.904,3.209,1.0,0.46600002,GP_1S,stoch
174.0,2.809,2.809,2.795,0.014,0.049000002,0.127,0.165,0.09900001,0.124000005,0.34,2.7120001,2.904,1.0,0.97400004,Linear_oracle,dynamic
