idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
14,4.8640003,4.8640003,4.88,-0.016,0.075,0.07700001,0.061000004,0.013,4.716,5.011,1,Linear_oracle,dynamic
14,4.8430004,4.8430004,4.88,-0.037,0.086,0.093,0.075,0.015000001,4.675,5.011,1,GP_oracle,dynamic
14,5.768,5.769,5.756,0.012,0.08800001,0.089,0.071,0.012,5.5940003,5.9410005,1,Linear_oracle,stoch
14,5.657,5.6600003,5.756,-0.09900001,0.108,0.147,0.11800001,0.021000002,5.4300003,5.861,1,GP_oracle,stoch
14,3.4950001,3.4940002,4.88,-1.3850001,0.102000006,1.389,1.3850001,0.284,3.295,3.6970003,0,Linear_observed,dynamic
14,3.463,3.4640002,4.88,-1.417,0.10700001,1.4210001,1.417,0.29000002,3.2530003,3.673,0,GP_observed,dynamic
14,4.854,4.855,5.756,-0.90200007,0.13700001,0.91200006,0.90200007,0.157,4.584,5.122,0,Linear_observed,stoch
14,5.7460003,5.7440004,5.756,-0.010000001,0.22700001,0.22800002,0.18200001,0.032,5.2980003,6.1910005,1,GP_observed,stoch
14,4.6990004,4.6990004,4.88,-0.18100001,0.10300001,0.209,0.185,0.038000003,4.497,4.901,1,Linear_3S,dynamic
14,4.525,4.5270004,4.88,-0.35500002,0.136,0.38000003,0.356,0.07300001,4.2510004,4.7850003,0,GP_3S,dynamic
14,5.5360003,5.539,5.756,-0.22000001,0.12200001,0.252,0.223,0.039,5.2960005,5.7700005,1,Linear_3S,stoch
14,5.222,5.236,5.756,-0.53400004,0.19100001,0.56700003,0.53400004,0.093,4.807,5.5600004,0,GP_3S,stoch
14,4.842,4.842,4.88,-0.038000003,0.082,0.09,0.072000004,0.015000001,4.683,5.0010004,1,Linear_1S,dynamic
14,4.868,4.867,4.88,-0.012,0.11400001,0.11400001,0.091000006,0.019000001,4.65,5.098,1,GP_1S,dynamic
14,5.748,5.749,5.756,-0.008,0.097,0.098000005,0.078,0.014,5.556,5.9370003,1,Linear_1S,stoch
14,5.6720004,5.6730003,5.756,-0.08400001,0.13800001,0.16100001,0.128,0.022000002,5.3970003,5.9430003,1,GP_1S,stoch
47,5.2180004,5.2190003,5.1260004,0.09200001,0.071,0.116000004,0.09900001,0.019000001,5.078,5.3560004,1,Linear_oracle,dynamic
47,5.177,5.176,5.1260004,0.051000003,0.07700001,0.09200001,0.074,0.014,5.026,5.3290005,1,GP_oracle,dynamic
47,6.019,6.019,5.8890004,0.13000001,0.080000006,0.15200001,0.133,0.023000002,5.859,6.176,1,Linear_oracle,stoch
47,5.92,5.92,5.8890004,0.031000001,0.098000005,0.102000006,0.082,0.014,5.7260003,6.109,1,GP_oracle,stoch
47,4.4040003,4.4040003,5.1260004,-0.72200006,0.10300001,0.72900003,0.72200006,0.141,4.203,4.6070004,0,Linear_observed,dynamic
47,4.392,4.392,5.1260004,-0.734,0.101,0.74100006,0.734,0.143,4.1980004,4.5860004,0,GP_observed,dynamic
47,5.5480003,5.5490003,5.8890004,-0.34100002,0.124000005,0.363,0.34100002,0.058000002,5.3040004,5.7920003,0,Linear_observed,stoch
47,6.0470004,6.0480003,5.8890004,0.158,0.141,0.21100001,0.17600001,0.030000001,5.7650003,6.3240004,1,GP_observed,stoch
47,5.0930004,5.0930004,5.1260004,-0.033,0.097,0.102000006,0.082,0.016,4.9040003,5.2850003,1,Linear_3S,dynamic
47,4.952,4.951,5.1260004,-0.17400001,0.102000006,0.202,0.178,0.035,4.7520003,5.1520004,1,GP_3S,dynamic
47,5.8160005,5.8180003,5.8890004,-0.07300001,0.11100001,0.133,0.10700001,0.018000001,5.598,6.03,1,Linear_3S,stoch
47,5.576,5.5800004,5.8890004,-0.31300002,0.13800001,0.34300002,0.314,0.053000003,5.2900004,5.833,0,GP_3S,stoch
47,5.169,5.169,5.1260004,0.043,0.078,0.089,0.071,0.014,5.0160003,5.321,1,Linear_1S,dynamic
47,5.104,5.103,5.1260004,-0.022000002,0.085,0.08800001,0.07,0.014,4.938,5.2720003,1,GP_1S,dynamic
47,5.966,5.966,5.8890004,0.07700001,0.09,0.11800001,0.096,0.016,5.787,6.1400003,1,Linear_1S,stoch
47,5.841,5.841,5.8890004,-0.048,0.11000001,0.120000005,0.095000006,0.016,5.622,6.0540004,1,GP_1S,stoch
80,4.8890004,4.8890004,4.8500004,0.039,0.067,0.07700001,0.062000003,0.013,4.7570004,5.0210004,1,Linear_oracle,dynamic
80,4.835,4.8360004,4.8500004,-0.015000001,0.079,0.080000006,0.064,0.013,4.6780005,4.9880004,1,GP_oracle,dynamic
80,5.9020004,5.9010005,5.872,0.030000001,0.083000004,0.08800001,0.07,0.012,5.7400002,6.064,1,Linear_oracle,stoch
80,5.748,5.761,5.872,-0.124000005,0.128,0.178,0.14,0.024,5.459,5.9680004,1,GP_oracle,stoch
80,4.353,4.3510003,4.8500004,-0.497,0.09,0.50600004,0.49800003,0.10300001,4.178,4.531,0,Linear_observed,dynamic
80,4.3320003,4.3320003,4.8500004,-0.518,0.091000006,0.526,0.51900005,0.10700001,4.1540003,4.5090003,0,GP_observed,dynamic
80,5.497,5.498,5.872,-0.37500003,0.13000001,0.397,0.37500003,0.064,5.2390003,5.7510004,0,Linear_observed,stoch
80,6.136,6.1340003,5.872,0.264,0.254,0.36600003,0.30200002,0.051000003,5.6400003,6.636,1,GP_observed,stoch
80,4.8050003,4.8040004,4.8500004,-0.045,0.091000006,0.102000006,0.082,0.017,4.625,4.985,1,Linear_3S,dynamic
80,4.6940002,4.6930003,4.8500004,-0.156,0.108,0.19000001,0.164,0.034,4.479,4.905,1,GP_3S,dynamic
80,5.656,5.6600003,5.872,-0.216,0.115,0.24400002,0.21800001,0.037,5.4290004,5.873,1,Linear_3S,stoch
80,5.4230003,5.427,5.872,-0.44900003,0.165,0.47800002,0.44900003,0.076000005,5.089,5.736,0,GP_3S,stoch
80,4.872,4.872,4.8500004,0.022000002,0.076000005,0.079,0.063,0.013,4.721,5.0200005,1,Linear_1S,dynamic
80,4.743,4.7450004,4.8500004,-0.10700001,0.1,0.14600001,0.120000005,0.025,4.544,4.931,1,GP_1S,dynamic
80,5.8360004,5.8360004,5.872,-0.036000002,0.097,0.104,0.083000004,0.014,5.6450005,6.0260005,1,Linear_1S,stoch
80,5.5660005,5.572,5.872,-0.30600002,0.16000001,0.34500003,0.307,0.052,5.235,5.859,0,GP_1S,stoch
113,5.085,5.0860004,5.024,0.061000004,0.069000006,0.09200001,0.075,0.015000001,4.9490004,5.2240005,1,Linear_oracle,dynamic
113,5.037,5.037,5.024,0.013,0.076000005,0.07700001,0.061000004,0.012,4.8890004,5.1860003,1,GP_oracle,dynamic
113,5.6120005,5.6130004,5.545,0.067,0.07700001,0.102000006,0.083000004,0.015000001,5.4610004,5.7630005,1,Linear_oracle,stoch
113,5.532,5.531,5.545,-0.013,0.089,0.09,0.071,0.013,5.354,5.7040005,1,GP_oracle,stoch
113,4.195,4.195,5.024,-0.82900006,0.096,0.83500004,0.82900006,0.165,4.006,4.387,0,Linear_observed,dynamic
113,4.1000004,4.1000004,5.024,-0.924,0.097,0.93000007,0.924,0.18400002,3.9070003,4.2920003,0,GP_observed,dynamic
113,4.9100003,4.9090004,5.545,-0.63500005,0.11400001,0.646,0.63500005,0.115,4.6860003,5.1330004,0,Linear_observed,stoch
113,5.6080003,5.6080003,5.545,0.063,0.15300001,0.165,0.132,0.024,5.3100004,5.9090004,1,GP_observed,stoch
113,4.9230003,4.9240003,5.024,-0.101,0.101,0.143,0.117000006,0.023000002,4.723,5.1200004,1,Linear_3S,dynamic
113,4.736,4.7380004,5.024,-0.28800002,0.113000005,0.31,0.289,0.057000004,4.511,4.953,0,GP_3S,dynamic
113,5.3880005,5.3910003,5.545,-0.157,0.11000001,0.192,0.164,0.030000001,5.17,5.5990005,1,Linear_3S,stoch
113,5.142,5.1470003,5.545,-0.40300003,0.13700001,0.42600003,0.404,0.07300001,4.8580003,5.3960004,0,GP_3S,stoch
113,5.0480003,5.0480003,5.024,0.024,0.079,0.083000004,0.066,0.013,4.8900003,5.2000003,1,Linear_1S,dynamic
113,4.965,4.965,5.024,-0.059000004,0.093,0.11100001,0.089,0.018000001,4.7840004,5.15,1,GP_1S,dynamic
113,5.5670004,5.5670004,5.545,0.022000002,0.08800001,0.091000006,0.072000004,0.013,5.393,5.7370005,1,Linear_1S,stoch
