idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
29.0,5.236,5.236,5.2440004,-0.008,0.087000005,0.08800001,0.07,0.013,5.064,5.4080005,1.0,Linear_oracle,dynamic
29.0,5.1660004,5.1650004,5.2440004,-0.078,0.113000005,0.13700001,0.11100001,0.021000002,4.9480004,5.3910003,1.0,GP_oracle,dynamic
29.0,5.722,5.721,5.734,-0.012,0.096,0.097,0.07700001,0.013,5.532,5.9100003,1.0,Linear_oracle,stoch
29.0,5.6250005,5.6250005,5.734,-0.109000005,0.136,0.17400001,0.142,0.025,5.355,5.893,1.0,GP_oracle,stoch
29.0,3.8750002,3.8760002,5.2440004,-1.3690001,0.1,1.3720001,1.3690001,0.261,3.676,4.071,0.0,Linear_observed,dynamic
29.0,3.8220003,3.821,5.2440004,-1.422,0.101,1.4250001,1.422,0.27100003,3.6260002,4.018,0.0,GP_observed,dynamic
29.0,4.6850004,4.6870003,5.734,-1.049,0.13800001,1.0580001,1.049,0.18300001,4.4110003,4.9560003,0.0,Linear_observed,stoch
29.0,5.484,5.4820004,5.734,-0.25,0.21200001,0.32900003,0.27600002,0.048,5.065,5.8970003,1.0,GP_observed,stoch
29.0,4.958,4.959,5.2440004,-0.286,0.117000006,0.30900002,0.286,0.055000003,4.73,5.1850004,0.0,Linear_3S,dynamic
29.0,4.783,4.787,5.2440004,-0.46100003,0.149,0.48400003,0.46,0.08800001,4.4820004,5.0670004,0.0,GP_3S,dynamic
29.0,5.4550004,5.4560003,5.734,-0.279,0.12900001,0.30800003,0.28100002,0.049000002,5.2040005,5.7000003,0.0,Linear_3S,stoch
29.0,5.1780005,5.1870003,5.734,-0.55600005,0.185,0.586,0.55600005,0.097,4.7910004,5.518,0.0,GP_3S,stoch
29.0,5.1260004,5.1270003,5.2440004,-0.11800001,0.093,0.15,0.127,0.024,4.9410005,5.308,1.0,Linear_1S,dynamic
29.0,5.105,5.1000004,5.2440004,-0.13900001,0.127,0.18800001,0.15900001,0.030000001,4.8650002,5.368,1.0,GP_1S,dynamic
29.0,5.663,5.664,5.734,-0.071,0.104,0.126,0.102000006,0.018000001,5.4540005,5.867,1.0,Linear_1S,stoch
29.0,5.5530005,5.552,5.734,-0.18100001,0.15100001,0.23600002,0.2,0.035,5.261,5.866,1.0,GP_1S,stoch
62.0,5.386,5.386,5.3950005,-0.009000001,0.074,0.075,0.060000002,0.011000001,5.2400002,5.531,1.0,Linear_oracle,dynamic
62.0,5.288,5.289,5.3950005,-0.10700001,0.083000004,0.136,0.115,0.021000002,5.122,5.445,1.0,GP_oracle,dynamic
