idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
4.0,0.71400005,0.71400005,0.71000004,0.004,0.019000001,0.007,0.036000002,0.004,0.020000001,0.67600006,0.75200003,1.0,1.0,Linear_oracle,dynamic
4.0,0.711,0.711,0.71000004,0.001,0.023000002,0.089,0.136,0.046000004,0.067,0.66700006,0.75500005,1.0,1.0,GP_oracle,dynamic
4.0,2.628,2.628,2.6130002,0.015000001,0.07,0.016,0.078,0.015000001,0.058000002,2.492,2.765,1.0,1.0,Linear_oracle,stoch
4.0,2.5660002,2.5660002,2.6130002,-0.047000002,0.076000005,0.22900002,0.293,0.082,0.135,2.4150002,2.713,1.0,0.99600005,GP_oracle,stoch
4.0,0.507,0.507,0.71000004,-0.20300001,0.038000003,0.38200003,0.386,0.291,0.29500002,0.432,0.582,0.0,0.20600002,Linear_observed,dynamic
4.0,0.33800003,0.33800003,0.71000004,-0.372,0.062000003,0.53900003,0.558,0.432,0.44500002,0.21900001,0.46100003,0.0,0.37,GP_observed,dynamic
4.0,1.8320001,1.8310001,2.6130002,-0.781,0.126,1.067,1.075,0.84400004,0.851,1.5810001,2.078,0.0,0.2,Linear_observed,stoch
4.0,2.1100001,2.1100001,2.6130002,-0.503,0.13800001,1.3470001,1.3840001,1.1420001,1.1550001,1.8330001,2.377,0.0,0.178,GP_observed,stoch
4.0,0.573,0.57100004,0.71000004,-0.13700001,0.036000002,0.31300002,0.36,0.23500001,0.27600002,0.505,0.648,0.0,0.79800004,Linear_3S,dynamic
4.0,2.1850002,2.1820002,2.6130002,-0.42800003,0.10700001,0.624,0.69600004,0.48100004,0.544,1.9800001,2.4020002,0.0,0.69000006,Linear_3S,stoch
4.0,0.577,0.57500005,0.71000004,-0.133,0.045,0.33900002,0.46400002,0.24700001,0.32900003,0.49100003,0.67,0.0,0.93600005,GP_3S,dynamic
4.0,2.062,2.061,2.6130002,-0.551,0.128,0.75500005,0.94100004,0.578,0.71500003,1.8160001,2.3160002,0.0,0.92200005,GP_3S,stoch
4.0,0.70000005,0.70100003,0.71000004,-0.010000001,0.026,0.27400002,0.277,0.22200002,0.224,0.647,0.75200003,1.0,0.15400001,Linear_1S,dynamic
4.0,0.72900003,0.73,0.71000004,0.019000001,0.036000002,0.38500002,0.41200003,0.29000002,0.298,0.656,0.79800004,1.0,0.314,GP_1S,dynamic
4.0,2.661,2.661,2.6130002,0.048,0.09900001,0.41200003,0.425,0.33,0.34,2.4620001,2.854,1.0,0.33800003,Linear_1S,stoch
4.0,2.709,2.709,2.6130002,0.096,0.13700001,0.78400004,0.82800007,0.50600004,0.52900004,2.44,2.986,1.0,0.48800004,GP_1S,stoch
59.0,1.024,1.023,1.0250001,-0.001,0.031000001,0.006,0.048,0.004,0.030000001,0.9620001,1.085,1.0,1.0,Linear_oracle,dynamic
59.0,1.001,1.0020001,1.0250001,-0.024,0.032,0.164,0.21300001,0.074,0.102000006,0.938,1.065,1.0,0.998,GP_oracle,dynamic
59.0,2.661,2.66,2.663,-0.002,0.078,0.004,0.085,0.003,0.064,2.5070002,2.815,1.0,1.0,Linear_oracle,stoch
59.0,2.565,2.5660002,2.663,-0.098000005,0.085,0.37300003,0.425,0.115,0.16800001,2.4020002,2.73,1.0,0.98800004,GP_oracle,stoch
59.0,0.57600003,0.57500005,1.0250001,-0.44900003,0.055000003,0.596,0.6,0.47200003,0.476,0.47000003,0.68500006,0.0,0.16600001,Linear_observed,dynamic
59.0,0.30900002,0.30900002,1.0250001,-0.716,0.09200001,0.837,0.86,0.72200006,0.73200005,0.132,0.48900002,0.0,0.19800001,GP_observed,dynamic
59.0,1.5760001,1.572,2.663,-1.087,0.134,1.286,1.294,1.0960001,1.1,1.3180001,1.843,0.0,0.096,Linear_observed,stoch
59.0,1.7300001,1.728,2.663,-0.933,0.143,1.264,1.309,1.0430001,1.065,1.4540001,2.0140002,0.0,0.264,GP_observed,stoch
59.0,0.689,0.68700004,1.0250001,-0.33600003,0.049000002,0.49400002,0.51900005,0.379,0.40100002,0.596,0.78800005,0.0,0.55600005,Linear_3S,dynamic
59.0,1.945,1.9420002,2.663,-0.71800005,0.125,0.883,0.92100006,0.73700005,0.75900006,1.7040001,2.194,0.0,0.33800003,Linear_3S,stoch
59.0,0.665,0.665,1.0250001,-0.36,0.052,0.521,0.60200006,0.397,0.45200002,0.563,0.77000004,0.0,0.78400004,GP_3S,dynamic
59.0,1.8060001,1.8060001,2.663,-0.85700005,0.13100001,1.0,1.093,0.86100006,0.89900005,1.5480001,2.062,0.0,0.54800004,GP_3S,stoch
59.0,0.929,0.93000007,1.0250001,-0.096,0.044000003,0.35500002,0.36,0.26900002,0.273,0.845,1.0150001,0.0,0.256,Linear_1S,dynamic
59.0,0.92,0.92,1.0250001,-0.105000004,0.053000003,0.47200003,0.504,0.33600003,0.351,0.81500006,1.024,0.0,0.416,GP_1S,dynamic
59.0,2.605,2.6060002,2.663,-0.058000002,0.12100001,0.42800003,0.44700003,0.33,0.34600002,2.371,2.8420002,1.0,0.43600002,Linear_1S,stoch
59.0,2.5,2.5,2.663,-0.163,0.178,0.758,0.81200004,0.46,0.50100005,2.1490002,2.848,1.0,0.66800004,GP_1S,stoch
114.0,0.58100003,0.58100003,0.57900006,0.002,0.015000001,0.009000001,0.032,0.006,0.017,0.55200005,0.61,1.0,1.0,Linear_oracle,dynamic
114.0,0.574,0.574,0.57900006,-0.0050000004,0.016,0.067,0.10700001,0.017,0.045,0.54200006,0.606,1.0,0.998,GP_oracle,dynamic
114.0,2.5660002,2.5660002,2.552,0.014,0.07,0.019000001,0.079,0.015000001,0.058000002,2.4310002,2.7020001,1.0,1.0,Linear_oracle,stoch
114.0,2.5210001,2.5200002,2.552,-0.031000001,0.07300001,0.24100001,0.29500002,0.040000003,0.11800001,2.3790002,2.6620002,1.0,0.99200004,GP_oracle,stoch
