,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,TRUE,model,type,abs_bias,ci_length
0,1.0,0.84700006,0.84700006,0.83900005,0.008,0.026,0.027,0.071,0.022000002,0.043,0.026,0.056,0.001,0.0050000004,0.79600006,0.89800006,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.008,0.10199999999999998
1,1.0,0.822,0.82100004,0.83900005,-0.017,0.031000001,0.036000002,0.186,0.029000001,0.091000006,0.034,0.116000004,0.002,0.029000001,0.76100004,0.88100004,1.0,1.0,GP_oracle,dynamic,,GP,Oracle,0.017,0.12
2,1.0,2.7120001,2.7120001,2.69,0.022000002,0.082,0.085,0.105000004,0.068,0.076000005,0.025,0.027,0.001,0.001,2.551,2.8720002,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.022000002,0.32100019999999985
3,1.0,2.5890002,2.588,2.69,-0.101,0.095000006,0.13800001,0.397,0.115,0.17300001,0.043,0.056,0.003,0.008,2.4050002,2.7730002,1.0,0.998,GP_oracle,stoch,,GP,Oracle,0.101,0.3679999999999999
4,1.0,0.614,0.61300004,0.83900005,-0.22500001,0.048,0.231,0.42200002,0.22600001,0.31500003,0.26900002,1724.4221,0.076000005,46166824.0,0.518,0.71000004,0.0,0.224,Linear_observed,dynamic,,Linear,Obs.,0.22500001,0.19200004000000004
5,1.0,0.469,0.46800002,0.83900005,-0.37,0.080000006,0.379,0.54300004,0.37,0.418,0.441,1068.556,0.20400001,24885096.0,0.316,0.62600005,0.0,0.48000002,GP_observed,dynamic,,GP,Obs.,0.37,0.31000005
6,1.0,1.927,1.9250001,2.69,-0.763,0.14600001,0.776,1.09,0.763,0.85200006,0.284,0.286,0.083000004,0.108,1.6400001,2.217,0.0,0.23200001,Linear_observed,stoch,,Linear,Obs.,0.763,0.5769999000000001
7,1.0,2.039,2.038,2.69,-0.651,0.20600002,0.68200004,1.3060001,0.651,0.97700006,0.24200001,0.347,0.064,0.177,1.639,2.444,0.0,0.41400003,GP_observed,stoch,,GP,Obs.,0.651,0.8049999999999999
8,1.0,0.684,0.68200004,0.83900005,-0.155,0.044000003,0.162,0.39600003,0.156,0.303,0.186,1852.3641,0.037,70164270.0,0.601,0.77400005,0.0,0.832,Linear_3S,dynamic,,Linear,3S,0.155,0.17300005000000007
9,1.0,2.26,2.2580001,2.69,-0.43,0.123,0.44700003,0.735,0.43,0.583,0.16000001,0.208,0.028,0.062000003,2.02,2.505,0.0,0.71400005,Linear_3S,stoch,,Linear,3S,0.43,0.4849999999999999
10,1.0,0.67700005,0.675,0.83900005,-0.162,0.052,0.171,0.51100004,0.163,0.36,0.194,1669.2941,0.041,77619170.0,0.577,0.78300005,0.0,0.94600004,GP_3S,dynamic,,GP,3S,0.162,0.20600005
11,1.0,2.13,2.1290002,2.69,-0.56,0.13900001,0.57600003,1.0090001,0.559,0.748,0.208,0.266,0.046000004,0.104,1.863,2.4060001,0.0,0.89000005,GP_3S,stoch,,GP,3S,0.56,0.5430001
12,1.0,0.887,0.887,0.83900005,0.048,0.034,0.059000004,0.29900002,0.05,0.23900001,0.060000002,2918.2432,0.0050000004,113771200.0,0.82000005,0.95300007,1.0,0.19600001,Linear_1S,dynamic,,Linear,1S,0.048,0.13300002
13,1.0,0.84000003,0.841,0.83900005,0.001,0.039,0.039,0.38000003,0.031000001,0.268,0.037,2823.3481,0.002,109905030.0,0.762,0.91200006,1.0,0.45400003,GP_1S,dynamic,,GP,1S,0.001,0.15000006
14,1.0,2.9380002,2.9380002,2.69,0.24800001,0.113000005,0.273,0.512,0.25,0.409,0.093,0.17300001,0.010000001,0.054,2.7150002,3.157,0.0,0.324,Linear_1S,stoch,,Linear,1S,0.24800001,0.44199980000000005
15,1.0,2.7270002,2.7280002,2.69,0.037,0.13100001,0.13700001,0.707,0.109000005,0.469,0.040000003,0.178,0.003,0.057000004,2.4650002,2.9750001,1.0,0.55,GP_1S,stoch,,GP,1S,0.037,0.5099999
16,56.0,0.781,0.781,0.78300005,-0.002,0.021000002,0.021000002,0.048,0.017,0.026,0.022000002,0.034,0.001,0.002,0.74,0.823,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.002,0.08299999999999996
17,56.0,0.75000006,0.75000006,0.78300005,-0.033,0.027,0.042000003,0.23200001,0.036000002,0.094000004,0.045,0.128,0.003,0.040000003,0.698,0.804,1.0,0.984,GP_oracle,dynamic,,GP,Oracle,0.033,0.1060000000000001
18,56.0,2.6560001,2.6560001,2.66,-0.004,0.07300001,0.07300001,0.081,0.058000002,0.060000002,0.022000002,0.022000002,0.001,0.001,2.5140002,2.798,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.004,0.28399980000000014
19,56.0,2.515,2.5140002,2.66,-0.14500001,0.081,0.16700001,0.33100003,0.149,0.17400001,0.056,0.062000003,0.004,0.007,2.3560002,2.676,1.0,1.0,GP_oracle,stoch,,GP,Oracle,0.14500001,0.31999980000000017
20,56.0,0.52000004,0.52000004,0.78300005,-0.263,0.045,0.266,0.437,0.26200002,0.31500003,0.335,1266.9451,0.116000004,25855276.0,0.43100002,0.61,0.0,0.23200001,Linear_observed,dynamic,,Linear,Obs.,0.263,0.17899998
21,56.0,0.42400002,0.425,0.78300005,-0.35900003,0.067,0.365,0.56100005,0.35900003,0.43,0.45800003,1455.034,0.21700001,46156984.0,0.294,0.55600005,0.0,0.47200003,GP_observed,dynamic,,GP,Obs.,0.35900003,0.26200005
22,56.0,1.646,1.644,2.66,-1.014,0.127,1.0220001,1.2340001,1.014,1.028,0.381,0.354,0.148,0.15,1.3950001,1.9000001,0.0,0.12200001,Linear_observed,stoch,,Linear,Obs.,1.014,0.5049999999999999
23,56.0,1.6560001,1.6550001,2.66,-1.0040001,0.133,1.013,1.342,1.005,1.079,0.37800002,0.379,0.14500001,0.18400002,1.4000001,1.9190001,0.0,0.24400002,GP_observed,stoch,,GP,Obs.,1.0040001,0.5190000000000001
24,56.0,0.67,0.67,0.78300005,-0.113000005,0.040000003,0.120000005,0.335,0.113000005,0.257,0.14400001,1903.582,0.023000002,67246550.0,0.59300005,0.75100005,0.0,0.882,Linear_3S,dynamic,,Linear,3S,0.113000005,0.15800000000000003
25,56.0,2.1780002,2.1780002,2.66,-0.48200002,0.108,0.49400002,0.72200006,0.48200002,0.578,0.18100001,0.20600002,0.034,0.058000002,1.968,2.3920002,0.0,0.60400003,Linear_3S,stoch,,Linear,3S,0.48200002,0.42400020000000005
