idx,mean,median,TRUE,bias,std,RMSE,q025,q975,covering,method,estimand
0,1.6190001,1.6200001,1.613,0.006,0.036000002,0.036000002,1.5480001,1.6890001,1,Linear_oracle,dynamic
0,1.6190001,1.6190001,1.613,0.006,0.036000002,0.036000002,1.5480001,1.69,1,GP_oracle,dynamic
0,1.646,1.646,1.6650001,-0.019000001,0.038000003,0.043,1.5710001,1.72,1,Linear_oracle,stoch
0,1.636,1.6350001,1.6650001,-0.029000001,0.039,0.049000002,1.559,1.7140001,1,GP_oracle,stoch
0,1.8240001,1.8240001,1.613,0.21100001,0.054,0.21800001,1.718,1.9310001,0,Linear_observed,dynamic
0,1.835,1.835,1.613,0.22200002,0.057000004,0.22900002,1.7240001,1.9470001,0,GP_observed,dynamic
0,1.6060001,1.605,1.6650001,-0.059000004,0.053000003,0.080000006,1.5020001,1.71,1,Linear_observed,stoch
0,1.6190001,1.6190001,1.6650001,-0.046000004,0.058000002,0.074,1.506,1.7360001,1,GP_observed,stoch
0,1.6450001,1.6450001,1.613,0.032,0.046000004,0.056,1.5550001,1.7350001,1,Linear_2S,dynamic
0,1.651,1.6500001,1.613,0.038000003,0.049000002,0.062000003,1.557,1.7470001,1,GP_2S,dynamic
0,1.5790001,1.58,1.6650001,-0.086,0.051000003,0.1,1.478,1.6780001,1,Linear_2S,stoch
0,1.5510001,1.552,1.6650001,-0.11400001,0.061000004,0.12900001,1.432,1.6710001,1,GP_2S,stoch
0,1.6450001,1.6450001,1.613,0.032,0.049000002,0.058000002,1.5500001,1.741,1,Linear_3S,dynamic
0,1.651,1.6500001,1.613,0.038000003,0.051000003,0.063,1.552,1.7520001,1,GP_3S,dynamic
0,1.5790001,1.5790001,1.6650001,-0.086,0.053000003,0.102000006,1.4740001,1.6840001,1,Linear_3S,stoch
0,1.552,1.5510001,1.6650001,-0.113000005,0.062000003,0.13000001,1.4300001,1.6760001,1,GP_3S,stoch
0,1.6680001,1.669,1.613,0.055000003,0.041,0.069000006,1.588,1.7490001,1,Linear_1S,dynamic
0,1.6630001,1.6630001,1.613,0.05,0.041,0.065000005,1.5830001,1.743,1,GP_1S,dynamic
0,1.71,1.7110001,1.6650001,0.045,0.048,0.066,1.616,1.8030001,1,Linear_1S,stoch
0,1.7190001,1.718,1.6650001,0.054,0.063,0.083000004,1.5960001,1.848,1,GP_1S,stoch
33,1.738,1.738,1.7220001,0.016,0.038000003,0.041,1.664,1.8140001,1,Linear_oracle,dynamic
33,1.7270001,1.7270001,1.7220001,0.005,0.039,0.039,1.6520001,1.8030001,1,GP_oracle,dynamic
33,1.516,1.516,1.496,0.020000001,0.038000003,0.043,1.442,1.5910001,1,Linear_oracle,stoch
33,1.5200001,1.5200001,1.496,0.024,0.039,0.046000004,1.445,1.5970001,1,GP_oracle,stoch
33,2.082,2.082,1.7220001,0.36,0.063,0.36600003,1.9590001,2.204,0,Linear_observed,dynamic
33,2.101,2.1000001,1.7220001,0.379,0.071,0.38500002,1.9650002,2.243,0,GP_observed,dynamic
33,1.552,1.5510001,1.496,0.056,0.053000003,0.07700001,1.4490001,1.6550001,1,Linear_observed,stoch
33,1.5580001,1.5580001,1.496,0.062000003,0.056,0.08400001,1.45,1.6700001,1,GP_observed,stoch
33,1.748,1.7490001,1.7220001,0.026,0.053000003,0.059000004,1.6430001,1.8500001,1,Linear_2S,dynamic
33,1.7500001,1.7500001,1.7220001,0.028,0.052,0.059000004,1.646,1.8500001,1,GP_2S,dynamic
33,1.4540001,1.455,1.496,-0.042000003,0.051000003,0.066,1.353,1.552,1,Linear_2S,stoch
33,1.4380001,1.4380001,1.496,-0.058000002,0.051000003,0.07700001,1.337,1.5370001,1,GP_2S,stoch
33,1.748,1.748,1.7220001,0.026,0.056,0.062000003,1.6380001,1.858,1,Linear_3S,dynamic
33,1.7500001,1.7490001,1.7220001,0.028,0.055000003,0.061000004,1.6420001,1.8570001,1,GP_3S,dynamic
33,1.4530001,1.4540001,1.496,-0.043,0.053000003,0.068,1.348,1.5560001,1,Linear_3S,stoch
33,1.437,1.4360001,1.496,-0.059000004,0.052,0.079,1.3340001,1.5410001,1,GP_3S,stoch
33,1.774,1.7730001,1.7220001,0.052,0.046000004,0.069000006,1.6830001,1.8640001,1,Linear_1S,dynamic
33,1.766,1.766,1.7220001,0.044000003,0.047000002,0.064,1.6750001,1.8570001,1,GP_1S,dynamic
33,1.5250001,1.5250001,1.496,0.029000001,0.047000002,0.055000003,1.4330001,1.6170001,1,Linear_1S,stoch
33,1.5320001,1.5320001,1.496,0.036000002,0.05,0.062000003,1.434,1.6300001,1,GP_1S,stoch
33,1.738,1.738,1.7220001,0.016,0.038000003,0.041,1.664,1.8140001,1,Linear_oracle,dynamic
33,1.7270001,1.7270001,1.7220001,0.005,0.039,0.039,1.6520001,1.8030001,1,GP_oracle,dynamic
33,1.516,1.516,1.496,0.020000001,0.038000003,0.043,1.442,1.5910001,1,Linear_oracle,stoch
33,1.5200001,1.5200001,1.496,0.024,0.039,0.046000004,1.445,1.5970001,1,GP_oracle,stoch
33,2.082,2.082,1.7220001,0.36,0.063,0.36600003,1.9590001,2.204,0,Linear_observed,dynamic
33,2.101,2.1000001,1.7220001,0.379,0.071,0.38500002,1.9650002,2.243,0,GP_observed,dynamic
33,1.552,1.5510001,1.496,0.056,0.053000003,0.07700001,1.4490001,1.6550001,1,Linear_observed,stoch
33,1.5580001,1.5580001,1.496,0.062000003,0.056,0.08400001,1.45,1.6700001,1,GP_observed,stoch
33,1.748,1.7490001,1.7220001,0.026,0.053000003,0.059000004,1.6430001,1.8500001,1,Linear_2S,dynamic
33,1.7500001,1.7500001,1.7220001,0.028,0.052,0.059000004,1.646,1.8500001,1,GP_2S,dynamic
33,1.4540001,1.455,1.496,-0.042000003,0.051000003,0.066,1.353,1.552,1,Linear_2S,stoch
33,1.4380001,1.4380001,1.496,-0.058000002,0.051000003,0.07700001,1.337,1.5370001,1,GP_2S,stoch
33,1.7490001,1.7490001,1.7220001,0.027,0.055000003,0.061000004,1.639,1.8570001,1,Linear_3S,dynamic
33,1.751,1.751,1.7220001,0.029000001,0.054,0.061000004,1.6430001,1.8560001,1,GP_3S,dynamic
33,1.4540001,1.455,1.496,-0.042000003,0.052,0.067,1.3490001,1.5550001,1,Linear_3S,stoch
33,1.437,1.437,1.496,-0.059000004,0.051000003,0.078,1.3360001,1.539,1,GP_3S,stoch
33,1.774,1.7730001,1.7220001,0.052,0.046000004,0.069000006,1.6830001,1.8640001,1,Linear_1S,dynamic
33,1.766,1.766,1.7220001,0.044000003,0.047000002,0.064,1.6750001,1.8570001,1,GP_1S,dynamic
33,1.5250001,1.5250001,1.496,0.029000001,0.047000002,0.055000003,1.4330001,1.6170001,1,Linear_1S,stoch
33,1.5320001,1.5320001,1.496,0.036000002,0.05,0.062000003,1.434,1.6300001,1,GP_1S,stoch
66,1.9440001,1.9440001,1.9640001,-0.020000001,0.037,0.042000003,1.871,2.015,1,Linear_oracle,dynamic
66,1.9420002,1.9420002,1.9640001,-0.022000002,0.037,0.043,1.8700001,2.015,1,GP_oracle,dynamic
66,1.5960001,1.5960001,1.623,-0.027,0.036000002,0.045,1.5250001,1.667,1,Linear_oracle,stoch
66,1.5920001,1.5920001,1.623,-0.031000001,0.036000002,0.048,1.5200001,1.6630001,1,GP_oracle,stoch
66,2.171,2.17,1.9640001,0.20700002,0.058000002,0.215,2.0600002,2.2840002,0,Linear_observed,dynamic
66,2.1430001,2.1430001,1.9640001,0.179,0.060000002,0.18900001,2.025,2.26,0,GP_observed,dynamic
66,1.5810001,1.5810001,1.623,-0.042000003,0.047000002,0.063,1.4900001,1.6730001,1,Linear_observed,stoch
66,1.5740001,1.5740001,1.623,-0.049000002,0.047000002,0.068,1.4820001,1.6680001,1,GP_observed,stoch
66,1.9470001,1.9470001,1.9640001,-0.017,0.056,0.058000002,1.8320001,2.056,1,Linear_2S,dynamic
66,1.9490001,1.9490001,1.9640001,-0.015000001,0.052,0.055000003,1.8460001,2.0540001,1,GP_2S,dynamic
66,1.5530001,1.5530001,1.623,-0.07,0.051000003,0.087000005,1.445,1.654,1,Linear_2S,stoch
