idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
22.0,1.618,1.6190001,1.613,0.0050000004,0.036000002,0.036000002,1.547,1.6880001,1.0,Linear_oracle,dynamic
22.0,1.6170001,1.618,1.613,0.004,0.036000002,0.036000002,1.547,1.6880001,1.0,GP_oracle,dynamic
22.0,1.6450001,1.6450001,1.6650001,-0.020000001,0.038000003,0.043,1.572,1.7190001,1.0,Linear_oracle,stoch
22.0,1.6340001,1.6340001,1.6650001,-0.031000001,0.039,0.05,1.557,1.7110001,1.0,GP_oracle,stoch
22.0,1.8240001,1.8240001,1.613,0.21100001,0.054,0.21700001,1.718,1.9300001,0.0,Linear_observed,dynamic
22.0,1.835,1.835,1.613,0.22200002,0.058000002,0.22900002,1.7220001,1.9470001,0.0,GP_observed,dynamic
22.0,1.605,1.605,1.6650001,-0.060000002,0.053000003,0.080000006,1.5020001,1.7090001,1.0,Linear_observed,stoch
22.0,1.6190001,1.6190001,1.6650001,-0.046000004,0.059000004,0.075,1.5040001,1.7340001,1.0,GP_observed,stoch
22.0,1.636,1.636,1.613,0.023000002,0.052,0.056,1.5380001,1.7390001,1.0,Linear_2S,dynamic
22.0,1.6420001,1.6420001,1.613,0.029000001,0.046000004,0.054,1.5530001,1.733,1.0,GP_2S,dynamic
22.0,1.5710001,1.57,1.6650001,-0.094000004,0.056,0.109000005,1.4670001,1.6840001,1.0,Linear_2S,stoch
22.0,1.5410001,1.5410001,1.6650001,-0.124000005,0.057000004,0.13700001,1.429,1.654,0.0,GP_2S,stoch
22.0,1.636,1.6350001,1.613,0.023000002,0.055000003,0.060000002,1.531,1.7470001,1.0,Linear_3S,dynamic
22.0,1.6420001,1.6420001,1.613,0.029000001,0.049000002,0.057000004,1.547,1.7390001,1.0,GP_3S,dynamic
22.0,1.5710001,1.5690001,1.6650001,-0.094000004,0.058000002,0.11100001,1.463,1.6890001,1.0,Linear_3S,stoch
22.0,1.5400001,1.5400001,1.6650001,-0.125,0.058000002,0.13800001,1.427,1.6570001,0.0,GP_3S,stoch
22.0,1.667,1.6660001,1.613,0.054,0.041,0.067,1.5870001,1.746,1.0,Linear_1S,dynamic
22.0,1.6620001,1.6630001,1.613,0.049000002,0.041,0.064,1.582,1.7420001,1.0,GP_1S,dynamic
22.0,1.71,1.71,1.6650001,0.045,0.048,0.065000005,1.618,1.802,1.0,Linear_1S,stoch
22.0,1.7190001,1.7170001,1.6650001,0.054,0.064,0.083000004,1.598,1.848,1.0,GP_1S,stoch
55.0,1.7370001,1.7370001,1.7220001,0.015000001,0.038000003,0.041,1.6630001,1.8140001,1.0,Linear_oracle,dynamic
55.0,1.7260001,1.7270001,1.7220001,0.004,0.038000003,0.039,1.6500001,1.8000001,1.0,GP_oracle,dynamic
55.0,1.5150001,1.5150001,1.496,0.019000001,0.038000003,0.043,1.442,1.5920001,1.0,Linear_oracle,stoch
55.0,1.519,1.519,1.496,0.023000002,0.038000003,0.045,1.442,1.593,1.0,GP_oracle,stoch
55.0,2.081,2.081,1.7220001,0.35900003,0.063,0.365,1.9580001,2.206,0.0,Linear_observed,dynamic
55.0,2.102,2.1030002,1.7220001,0.38000003,0.069000006,0.38700002,1.968,2.239,0.0,GP_observed,dynamic
55.0,1.5510001,1.5500001,1.496,0.055000003,0.053000003,0.076000005,1.447,1.6550001,1.0,Linear_observed,stoch
55.0,1.559,1.559,1.496,0.063,0.055000003,0.08400001,1.4530001,1.6680001,1.0,GP_observed,stoch
55.0,1.7440001,1.7450001,1.7220001,0.022000002,0.056,0.060000002,1.6340001,1.8540001,1.0,Linear_2S,dynamic
55.0,1.7490001,1.7490001,1.7220001,0.027,0.056,0.062000003,1.6400001,1.858,1.0,GP_2S,dynamic
55.0,1.452,1.4530001,1.496,-0.044000003,0.054,0.069000006,1.3460001,1.5580001,1.0,Linear_2S,stoch
