idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
1.0,1.432,1.432,1.1850001,0.24700001,0.038000003,0.78000003,0.68500006,1.3570001,1.508,0.0,0.036000002,Linear_oracle,dynamic
1.0,1.1730001,1.174,1.1850001,-0.012,0.048,0.36800003,0.257,1.079,1.266,1.0,0.40600002,GP_oracle,dynamic
1.0,4.8450003,4.8450003,3.6320002,1.213,0.13000001,2.072,1.9460001,4.589,5.104,0.0,0.016,Linear_oracle,stoch
1.0,3.2910001,3.2890003,3.6320002,-0.34100002,0.158,0.99300003,0.397,2.9810002,3.604,0.0,0.89400005,GP_oracle,stoch
1.0,0.957,0.957,1.1850001,-0.22800002,0.091000006,1.024,0.767,0.77800006,1.136,0.0,0.1,Linear_observed,dynamic
1.0,0.44400004,0.44400004,1.1850001,-0.74100006,0.116000004,1.2030001,0.79800004,0.21300001,0.671,0.0,0.512,GP_observed,dynamic
1.0,2.986,2.986,3.6320002,-0.646,0.277,2.733,1.677,2.437,3.5310001,0.0,0.28,Linear_observed,stoch
1.0,4.2980003,4.2970004,3.6320002,0.666,0.41000003,3.1980002,2.6130002,3.4970002,5.1150002,1.0,0.2,GP_observed,stoch
1.0,1.442,1.4410001,1.1850001,0.257,0.056,0.84300005,0.74100006,1.3360001,1.5550001,0.0,0.34600002,Linear_3S,dynamic
1.0,2.134,2.135,1.1850001,0.94900006,0.13100001,2.288,1.8320001,1.8770001,2.388,0.0,0.73800004,GP_3S,dynamic
1.0,4.848,4.847,3.6320002,1.2160001,0.165,2.2050002,1.9990001,4.531,5.175,0.0,0.106000006,Linear_3S,stoch
1.0,3.2510002,3.2510002,3.6320002,-0.381,0.21900001,1.8190001,1.133,2.8240001,3.6810002,1.0,0.85800004,GP_3S,stoch
1.0,1.6,1.5990001,1.1850001,0.41500002,0.042000003,0.882,0.77500004,1.5170001,1.682,0.0,0.058000002,Linear_1S,dynamic
1.0,1.2700001,1.271,1.1850001,0.085,0.064,0.592,0.469,1.139,1.393,1.0,0.31800002,GP_1S,dynamic
1.0,5.3830004,5.3820004,3.6320002,1.751,0.141,2.446,2.289,5.103,5.6610003,0.0,0.020000001,Linear_1S,stoch
1.0,3.3760002,3.3750002,3.6320002,-0.256,0.24900001,1.2540001,0.88000005,2.8930001,3.8620002,1.0,0.476,GP_1S,stoch
54.0,0.94400007,0.94400007,0.57500005,0.36900002,0.032,0.647,0.572,0.882,1.0070001,0.0,0.028,Linear_oracle,dynamic
54.0,0.577,0.577,0.57500005,0.002,0.054,0.39800003,0.209,0.47100002,0.68100005,1.0,0.522,GP_oracle,dynamic
54.0,4.011,4.011,2.611,1.4000001,0.132,2.108,1.9860001,3.7500002,4.2720003,0.0,0.006,Linear_oracle,stoch
54.0,2.384,2.384,2.611,-0.22700001,0.18,1.1,0.342,2.0300002,2.739,1.0,0.93000007,GP_oracle,stoch
54.0,0.688,0.688,0.57500005,0.113000005,0.05,0.63600004,0.497,0.59000003,0.78700006,0.0,0.044000003,Linear_observed,dynamic
54.0,0.374,0.374,0.57500005,-0.201,0.059000004,0.54,0.30200002,0.26000002,0.49100003,0.0,0.70400006,GP_observed,dynamic
54.0,2.8750002,2.8760002,2.611,0.264,0.201,2.3400002,1.5480001,2.483,3.269,1.0,0.11400001,Linear_observed,stoch
54.0,3.7560003,3.755,2.611,1.1450001,0.25500003,2.927,2.253,3.259,4.2580004,0.0,0.23400001,GP_observed,stoch
54.0,0.95400006,0.952,0.57500005,0.379,0.046000004,0.65300006,0.60400003,0.86800003,1.049,0.0,0.186,Linear_3S,dynamic
54.0,1.48,1.4810001,0.57500005,0.90500003,0.112,2.19,1.7680001,1.2570001,1.692,0.0,0.716,GP_3S,dynamic
54.0,3.9630003,3.9570003,2.611,1.3520001,0.165,2.1620002,1.9800001,3.653,4.306,0.0,0.058000002,Linear_3S,stoch
54.0,2.2910001,2.2900002,2.611,-0.32000002,0.231,1.7190001,0.878,1.8410001,2.7470002,1.0,0.91200006,GP_3S,stoch
54.0,1.092,1.092,0.57500005,0.517,0.035,0.73,0.68200004,1.023,1.159,0.0,0.030000001,Linear_1S,dynamic
54.0,0.63600004,0.638,0.57500005,0.061000004,0.085,0.43600002,0.31300002,0.46400002,0.79700005,1.0,0.4,GP_1S,dynamic
54.0,4.5150003,4.5140004,2.611,1.904,0.14,2.4420002,2.3490002,4.2380004,4.788,0.0,0.006,Linear_1S,stoch
54.0,2.4450002,2.4420002,2.611,-0.16600001,0.303,1.149,0.69600004,1.858,3.0490003,1.0,0.68200004,GP_1S,stoch
107.0,1.3700001,1.3700001,0.97300005,0.397,0.042000003,0.82900006,0.73200005,1.2870001,1.4530001,0.0,0.042000003,Linear_oracle,dynamic
107.0,0.87600005,0.87600005,0.97300005,-0.097,0.066,0.47200003,0.256,0.74600005,1.0040001,1.0,0.574,GP_oracle,dynamic
107.0,4.6800003,4.6800003,3.2530003,1.427,0.13900001,2.1560001,2.055,4.4040003,4.952,0.0,0.010000001,Linear_oracle,stoch
107.0,2.6580002,2.657,3.2530003,-0.595,0.185,1.455,0.59900004,2.298,3.0230002,0.0,0.90400004,GP_oracle,stoch
107.0,0.934,0.93500006,0.97300005,-0.039,0.071,0.90000004,0.71900004,0.79300004,1.072,1.0,0.072000004,Linear_observed,dynamic
107.0,0.46800002,0.46800002,0.97300005,-0.505,0.085,0.929,0.609,0.3,0.637,0.0,0.53000003,GP_observed,dynamic
107.0,3.2380002,3.2400002,3.2530003,-0.015000001,0.231,2.5210001,1.669,2.776,3.6880002,1.0,0.17,Linear_observed,stoch
107.0,4.057,4.056,3.2530003,0.804,0.256,3.0210001,2.4190001,3.5530002,4.5600004,0.0,0.18800001,GP_observed,stoch
107.0,1.2650001,1.263,0.97300005,0.29200003,0.059000004,0.84700006,0.74300003,1.156,1.3870001,0.0,0.294,Linear_3S,dynamic
107.0,1.9350001,1.9360001,0.97300005,0.9620001,0.117000006,2.286,1.8470001,1.7030001,2.164,0.0,0.73600006,GP_3S,dynamic
107.0,4.359,4.352,3.2530003,1.1060001,0.18300001,2.14,1.9030001,4.02,4.7390003,0.0,0.098000005,Linear_3S,stoch
107.0,2.6090002,2.608,3.2530003,-0.64400005,0.19600001,2.066,1.108,2.2280002,2.9970002,0.0,0.874,GP_3S,stoch
107.0,1.427,1.427,0.97300005,0.45400003,0.044000003,0.90700006,0.8,1.3410001,1.514,0.0,0.054,Linear_1S,dynamic
107.0,0.827,0.82800007,0.97300005,-0.14600001,0.076000005,0.82600003,0.53400004,0.67600006,0.97400004,1.0,0.36800003,GP_1S,dynamic
107.0,4.8890004,4.888,3.2530003,1.636,0.14500001,2.352,2.21,4.602,5.176,0.0,0.018000001,Linear_1S,stoch
107.0,2.46,2.46,3.2530003,-0.79300004,0.21100001,2.013,1.1420001,2.0500002,2.874,0.0,0.42200002,GP_1S,stoch
160.0,0.961,0.961,0.87100005,0.09,0.030000001,0.592,0.504,0.90300006,1.019,0.0,0.038000003,Linear_oracle,dynamic
160.0,0.79,0.79,0.87100005,-0.081,0.053000003,0.41300002,0.223,0.684,0.89300007,1.0,0.48600003,GP_oracle,dynamic
160.0,4.2520003,4.2510004,3.1610003,1.0910001,0.136,2.026,1.8490001,3.9870002,4.518,0.0,0.024,Linear_oracle,stoch
160.0,2.746,2.746,3.1610003,-0.41500002,0.172,0.98800004,0.41500002,2.4080002,3.085,0.0,0.77800006,GP_oracle,stoch
160.0,0.81000006,0.81000006,0.87100005,-0.061000004,0.064,0.809,0.59400004,0.68500006,0.93500006,1.0,0.09,Linear_observed,dynamic
160.0,0.499,0.499,0.87100005,-0.372,0.067,0.734,0.48800004,0.36600003,0.632,0.0,0.53000003,GP_observed,dynamic
160.0,2.97,2.9710002,3.1610003,-0.19100001,0.23,2.4940002,1.5690001,2.5180001,3.423,1.0,0.22000001,Linear_observed,stoch
160.0,3.6130002,3.611,3.1610003,0.45200002,0.24800001,2.8300002,2.26,3.1350002,4.0930004,1.0,0.162,GP_observed,stoch
160.0,0.89800006,0.897,0.87100005,0.027,0.042000003,0.64400005,0.52900004,0.81700003,0.9850001,1.0,0.34800002,Linear_3S,dynamic
160.0,1.8340001,1.8340001,0.87100005,0.96300006,0.133,2.084,1.6600001,1.5730001,2.094,0.0,0.76400006,GP_3S,dynamic
160.0,3.9120002,3.9090002,3.1610003,0.75100005,0.172,2.045,1.7070001,3.5850003,4.261,0.0,0.134,Linear_3S,stoch
160.0,2.4580002,2.4550002,3.1610003,-0.703,0.20700002,2.0830002,1.0830001,2.061,2.8700001,0.0,0.878,GP_3S,stoch
160.0,1.001,1.001,0.87100005,0.13000001,0.032,0.628,0.53800005,0.93700004,1.065,0.0,0.05,Linear_1S,dynamic
160.0,0.74300003,0.74600005,0.87100005,-0.128,0.072000004,0.71900004,0.43,0.59300005,0.87600005,1.0,0.312,GP_1S,dynamic
160.0,4.392,4.3910003,3.1610003,1.2310001,0.147,2.1590002,1.9640001,4.102,4.6800003,0.0,0.040000003,Linear_1S,stoch
160.0,2.3590002,2.358,3.1610003,-0.80200005,0.24300002,1.697,1.019,1.881,2.835,0.0,0.47400004,GP_1S,stoch
213.0,1.098,1.097,0.89900005,0.19900002,0.034,0.65300006,0.574,1.031,1.164,0.0,0.046000004,Linear_oracle,dynamic
213.0,0.68600005,0.68600005,0.89900005,-0.21300001,0.056,0.41700003,0.273,0.57500005,0.795,0.0,0.56600004,GP_oracle,dynamic
213.0,4.511,4.5090003,3.1750002,1.3360001,0.136,2.104,1.9920001,4.243,4.7790003,0.0,0.008,Linear_oracle,stoch
213.0,2.364,2.365,3.1750002,-0.81100005,0.187,1.1140001,0.81100005,1.9920001,2.73,0.0,0.284,GP_oracle,stoch
213.0,0.75200003,0.753,0.89900005,-0.147,0.062000003,0.754,0.60400003,0.632,0.87500006,0.0,0.080000006,Linear_observed,dynamic
213.0,0.504,0.503,0.89900005,-0.395,0.065000005,0.79800004,0.537,0.37800002,0.63100004,0.0,0.50200003,GP_observed,dynamic
213.0,3.0820003,3.0820003,3.1750002,-0.093,0.24200001,2.496,1.582,2.6120002,3.5590003,1.0,0.216,Linear_observed,stoch
213.0,3.7530003,3.752,3.1750002,0.578,0.28,2.654,2.0400002,3.2150002,4.3050003,0.0,0.26200002,GP_observed,stoch
213.0,1.0760001,1.075,0.89900005,0.177,0.05,0.674,0.588,0.98,1.1750001,0.0,0.416,Linear_3S,dynamic
213.0,2.051,2.051,0.89900005,1.1520001,0.127,2.289,1.7800001,1.8010001,2.299,0.0,0.73200005,GP_3S,dynamic
213.0,4.346,4.3430004,3.1750002,1.171,0.172,2.1360002,1.9160001,4.017,4.6930003,0.0,0.112,Linear_3S,stoch
213.0,2.434,2.4310002,3.1750002,-0.74100006,0.20700002,2.081,1.0990001,2.033,2.8460002,0.0,0.88400006,GP_3S,stoch
213.0,1.207,1.207,0.89900005,0.30800003,0.036000002,0.71000004,0.61600006,1.1350001,1.2780001,0.0,0.07,Linear_1S,dynamic
213.0,0.82000005,0.82100004,0.89900005,-0.079,0.072000004,0.72,0.48800004,0.675,0.95600003,1.0,0.298,GP_1S,dynamic
213.0,4.852,4.8510003,3.1750002,1.677,0.143,2.3530002,2.2250001,4.5690002,5.136,0.0,0.010000001,Linear_1S,stoch
213.0,2.3330002,2.3330002,3.1750002,-0.84200007,0.23600002,1.853,1.1110001,1.871,2.7960002,0.0,0.41400003,GP_1S,stoch
266.0,1.3310001,1.3310001,0.915,0.416,0.033,0.73800004,0.65300006,1.268,1.396,0.0,0.028,Linear_oracle,dynamic
266.0,0.93000007,0.93000007,0.915,0.015000001,0.043,0.367,0.231,0.84400004,1.0150001,1.0,0.386,GP_oracle,dynamic
266.0,4.9040003,4.9030004,3.012,1.8920001,0.12200001,2.3990002,2.3630002,4.6660004,5.1450005,0.0,0.0,Linear_oracle,stoch
266.0,2.6920002,2.6920002,3.012,-0.32000002,0.18400002,0.72700006,0.32000002,2.332,3.048,1.0,0.92,GP_oracle,stoch
266.0,1.005,1.0040001,0.915,0.09,0.07700001,0.89900005,0.693,0.85300004,1.1580001,1.0,0.080000006,Linear_observed,dynamic
266.0,0.568,0.568,0.915,-0.347,0.11000001,0.924,0.55,0.35000002,0.785,0.0,0.67200005,GP_observed,dynamic
266.0,3.0640001,3.0630002,3.012,0.052,0.224,2.467,1.5730001,2.6230001,3.5110002,1.0,0.18800001,Linear_observed,stoch
266.0,3.4850001,3.4840002,3.012,0.47300002,0.22800002,2.4350002,1.7260001,3.045,3.9310002,0.0,0.34600002,GP_observed,stoch
266.0,1.3130001,1.3110001,0.915,0.39800003,0.055000003,0.8,0.708,1.21,1.4250001,0.0,0.28800002,Linear_3S,dynamic
266.0,1.904,1.9030001,0.915,0.989,0.089,2.309,1.8260001,1.7310001,2.0770001,0.0,0.72,GP_3S,dynamic
266.0,4.6540003,4.649,3.012,1.6420001,0.18200001,2.3260002,2.209,4.313,5.03,0.0,0.028,Linear_3S,stoch
266.0,2.516,2.5140002,3.012,-0.49600002,0.24400002,1.6010001,0.86500007,2.0400002,3.0010002,0.0,0.88400006,GP_3S,stoch
266.0,1.483,1.483,0.915,0.568,0.037,0.87700003,0.77900004,1.409,1.557,0.0,0.044000003,Linear_1S,dynamic
266.0,0.924,0.92300004,0.915,0.009000001,0.066,0.758,0.49400002,0.794,1.051,1.0,0.282,GP_1S,dynamic
266.0,5.2710004,5.2720003,3.012,2.259,0.133,2.6980002,2.605,5.005,5.5350003,0.0,0.008,Linear_1S,stoch
266.0,2.569,2.569,3.012,-0.44300002,0.27800003,1.445,0.85200006,2.022,3.108,1.0,0.56600004,GP_1S,stoch
