idx,mean,median,TRUE,bias,std,RMSE,q025,q975,covering,method,estimand
12,1.7360001,1.7360001,1.715,0.021000002,0.041,0.046000004,1.6560001,1.817,1,Linear_oracle,dynamic
12,1.7190001,1.7190001,1.715,0.004,0.036000002,0.036000002,1.649,1.7900001,1,GP_oracle,dynamic
12,1.963,1.963,1.9410001,0.022000002,0.044000003,0.049000002,1.8790001,2.049,1,Linear_oracle,stoch
12,1.9020001,1.9020001,1.9410001,-0.039,0.040000003,0.056,1.8230001,1.9810001,1,GP_oracle,stoch
12,2.105,2.105,1.715,0.39000002,0.079,0.39800003,1.9520001,2.259,0,Linear_observed,dynamic
12,2.0960002,2.095,1.715,0.381,0.082,0.39000002,1.9360001,2.255,0,GP_observed,dynamic
12,1.8850001,1.8850001,1.9410001,-0.056,0.07700001,0.095000006,1.7370001,2.0370002,1,Linear_observed,stoch
12,1.8730001,1.871,1.9410001,-0.068,0.083000004,0.108,1.71,2.035,1,GP_observed,stoch
12,1.761,1.7600001,1.715,0.046000004,0.071,0.085,1.6240001,1.9000001,1,Linear_2S,dynamic
12,1.766,1.7650001,1.715,0.051000003,0.072000004,0.08800001,1.6290001,1.9100001,1,GP_2S,dynamic
12,1.8110001,1.8100001,1.9410001,-0.13000001,0.078,0.15200001,1.6610001,1.963,1,Linear_2S,stoch
12,1.7570001,1.756,1.9410001,-0.18400002,0.086,0.20300001,1.5910001,1.9290001,0,GP_2S,stoch
12,1.7590001,1.7580001,1.715,0.044000003,0.078,0.09,1.6090001,1.914,1,Linear_3S,dynamic
12,1.7650001,1.764,1.715,0.05,0.07700001,0.09200001,1.6170001,1.9200001,1,GP_3S,dynamic
12,1.8080001,1.807,1.9410001,-0.133,0.082,0.156,1.6530001,1.9720001,1,Linear_3S,stoch
12,1.7540001,1.7530001,1.9410001,-0.187,0.08800001,0.20600002,1.5840001,1.9310001,0,GP_3S,stoch
12,1.817,1.817,1.715,0.102000006,0.058000002,0.117000006,1.7030001,1.9300001,1,Linear_1S,dynamic
12,1.8030001,1.802,1.715,0.08800001,0.057000004,0.104,1.692,1.9150001,1,GP_1S,dynamic
12,2.056,2.056,1.9410001,0.115,0.068,0.133,1.922,2.1880002,1,Linear_1S,stoch
12,2.0640001,2.065,1.9410001,0.123,0.091000006,0.15300001,1.8820001,2.239,1,GP_1S,stoch
45,1.8800001,1.8800001,1.8780001,0.002,0.044000003,0.044000003,1.7930001,1.9670001,1,Linear_oracle,dynamic
45,1.8790001,1.8790001,1.8780001,0.001,0.040000003,0.040000003,1.802,1.9560001,1,GP_oracle,dynamic
45,1.7810001,1.7810001,1.728,0.053000003,0.044000003,0.069000006,1.6960001,1.868,1,Linear_oracle,stoch
45,1.7630001,1.7630001,1.728,0.035,0.041,0.054,1.6840001,1.843,1,GP_oracle,stoch
45,2.4950001,2.4950001,1.8780001,0.61700004,0.08800001,0.624,2.321,2.6650002,0,Linear_observed,dynamic
45,2.5100002,2.5110002,1.8780001,0.632,0.097,0.63900006,2.318,2.6980002,0,GP_observed,dynamic
45,1.8620001,1.863,1.728,0.134,0.074,0.15400001,1.7160001,2.0070002,1,Linear_observed,stoch
45,1.8670001,1.868,1.728,0.13900001,0.076000005,0.15900001,1.7170001,2.016,1,GP_observed,stoch
45,1.8960001,1.8970001,1.8780001,0.018000001,0.07700001,0.080000006,1.743,2.045,1,Linear_2S,dynamic
