idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
16.0,1.5450001,1.5450001,1.3870001,0.158,0.135,0.208,1.281,1.8090001,1.0,Linear_oracle,dynamic
16.0,1.4890001,1.488,1.3870001,0.102000006,0.135,0.16900001,1.2260001,1.7530001,1.0,GP_oracle,dynamic
16.0,1.4280001,1.427,1.455,-0.027,0.143,0.14600001,1.1450001,1.7110001,1.0,Linear_oracle,stoch
16.0,1.4970001,1.498,1.455,0.042000003,0.14600001,0.15100001,1.2080001,1.7850001,1.0,GP_oracle,stoch
16.0,1.659,1.659,1.3870001,0.272,0.164,0.31800002,1.3360001,1.9790001,1.0,Linear_observed,dynamic
16.0,1.6790001,1.6780001,1.3870001,0.29200003,0.16800001,0.337,1.3620001,2.0170002,1.0,GP_observed,dynamic
16.0,1.447,1.447,1.455,-0.008,0.16100001,0.16100001,1.131,1.7600001,1.0,Linear_observed,stoch
16.0,1.473,1.4720001,1.455,0.018000001,0.16800001,0.16900001,1.159,1.812,1.0,GP_observed,stoch
16.0,1.554,1.5530001,1.3870001,0.16700001,0.14,0.21800001,1.2750001,1.8160001,1.0,Linear_2S,dynamic
16.0,1.536,1.5370001,1.3870001,0.149,0.13800001,0.20300001,1.261,1.8000001,1.0,GP_2S,dynamic
16.0,1.404,1.4030001,1.455,-0.051000003,0.16000001,0.16800001,1.0860001,1.7090001,1.0,Linear_2S,stoch
16.0,1.4250001,1.4230001,1.455,-0.030000001,0.164,0.16700001,1.1110001,1.7530001,1.0,GP_2S,stoch
16.0,1.554,1.5530001,1.3870001,0.16700001,0.141,0.21900001,1.276,1.8190001,1.0,Linear_3S,dynamic
16.0,1.536,1.5370001,1.3870001,0.149,0.13900001,0.20400001,1.2590001,1.8030001,1.0,GP_3S,dynamic
16.0,1.4070001,1.406,1.455,-0.048,0.16000001,0.16700001,1.09,1.7120001,1.0,Linear_3S,stoch
16.0,1.4260001,1.424,1.455,-0.029000001,0.165,0.16700001,1.11,1.7570001,1.0,GP_3S,stoch
16.0,1.5630001,1.5640001,1.3870001,0.17600001,0.13900001,0.224,1.2930001,1.8340001,1.0,Linear_1S,dynamic
16.0,1.519,1.5200001,1.3870001,0.132,0.13800001,0.19100001,1.246,1.784,1.0,GP_1S,dynamic
16.0,1.4530001,1.452,1.455,-0.002,0.162,0.162,1.1350001,1.7680001,1.0,Linear_1S,stoch
16.0,1.677,1.6730001,1.455,0.22200002,0.21300001,0.307,1.268,2.0990002,1.0,GP_1S,stoch
49.0,1.7620001,1.761,1.48,0.282,0.13700001,0.314,1.493,2.025,0.0,Linear_oracle,dynamic
49.0,1.7010001,1.702,1.48,0.22100002,0.133,0.25800002,1.4380001,1.96,1.0,GP_oracle,dynamic
49.0,1.3690001,1.368,1.391,-0.022000002,0.13700001,0.13800001,1.1,1.639,1.0,Linear_oracle,stoch
49.0,1.427,1.427,1.391,0.036000002,0.13100001,0.136,1.1700001,1.6860001,1.0,GP_oracle,stoch
49.0,1.9540001,1.9530001,1.48,0.47400004,0.17600001,0.50600004,1.6120001,2.299,0.0,Linear_observed,dynamic
49.0,1.9250001,1.922,1.48,0.44500002,0.177,0.47900003,1.5870001,2.2800002,0.0,GP_observed,dynamic
49.0,1.4410001,1.4410001,1.391,0.05,0.149,0.157,1.151,1.7300001,1.0,Linear_observed,stoch
49.0,1.4200001,1.419,1.391,0.029000001,0.147,0.149,1.1340001,1.713,1.0,GP_observed,stoch
49.0,1.7400001,1.7370001,1.48,0.26000002,0.136,0.293,1.4770001,2.003,1.0,Linear_2S,dynamic
49.0,1.7220001,1.72,1.48,0.24200001,0.14,0.279,1.452,2.003,1.0,GP_2S,dynamic
49.0,1.319,1.319,1.391,-0.072000004,0.136,0.15400001,1.049,1.5780001,1.0,Linear_2S,stoch
49.0,1.3510001,1.35,1.391,-0.040000003,0.14,0.14500001,1.079,1.6300001,1.0,GP_2S,stoch
49.0,1.7400001,1.7370001,1.48,0.26000002,0.13700001,0.294,1.4790001,2.006,1.0,Linear_3S,dynamic
49.0,1.7210001,1.7190001,1.48,0.24100001,0.141,0.279,1.4490001,2.003,1.0,GP_3S,dynamic
49.0,1.319,1.3180001,1.391,-0.072000004,0.13700001,0.155,1.049,1.5810001,1.0,Linear_3S,stoch
49.0,1.3510001,1.35,1.391,-0.040000003,0.141,0.14600001,1.0780001,1.6340001,1.0,GP_3S,stoch
49.0,1.764,1.7620001,1.48,0.284,0.13800001,0.316,1.4940001,2.0370002,0.0,Linear_1S,dynamic
49.0,1.6910001,1.692,1.48,0.21100001,0.13800001,0.252,1.4200001,1.9610001,1.0,GP_1S,dynamic
49.0,1.35,1.348,1.391,-0.041,0.14,0.14600001,1.077,1.6250001,1.0,Linear_1S,stoch
49.0,1.4720001,1.473,1.391,0.081,0.147,0.16800001,1.1860001,1.7600001,1.0,GP_1S,stoch
82.0,1.6890001,1.6890001,1.9190001,-0.23,0.136,0.26700002,1.4210001,1.9580001,1.0,Linear_oracle,dynamic
82.0,1.6840001,1.682,1.9190001,-0.23500001,0.133,0.27,1.4250001,1.9460001,1.0,GP_oracle,dynamic
82.0,1.302,1.3010001,1.4640001,-0.162,0.133,0.21000001,1.0430001,1.562,1.0,Linear_oracle,stoch
82.0,1.304,1.3030001,1.4640001,-0.16000001,0.13000001,0.20500001,1.0500001,1.5600001,1.0,GP_oracle,stoch
82.0,1.516,1.5130001,1.9190001,-0.40300003,0.16900001,0.437,1.189,1.8510001,0.0,Linear_observed,dynamic
82.0,1.5640001,1.5660001,1.9190001,-0.35500002,0.163,0.39100003,1.2390001,1.8780001,0.0,GP_observed,dynamic
82.0,1.2160001,1.2140001,1.4640001,-0.24800001,0.136,0.28300002,0.95100003,1.483,1.0,Linear_observed,stoch
82.0,1.235,1.2360001,1.4640001,-0.22900002,0.134,0.26500002,0.97200006,1.498,1.0,GP_observed,stoch
82.0,1.6630001,1.664,1.9190001,-0.256,0.132,0.28800002,1.396,1.917,0.0,Linear_2S,dynamic
82.0,1.6610001,1.6620001,1.9190001,-0.25800002,0.13900001,0.293,1.378,1.9350001,1.0,GP_2S,dynamic
82.0,1.2570001,1.2590001,1.4640001,-0.20700002,0.127,0.24200001,1.006,1.5040001,1.0,Linear_2S,stoch
82.0,1.2620001,1.264,1.4640001,-0.202,0.134,0.24200001,0.989,1.5270001,1.0,GP_2S,stoch
82.0,1.6630001,1.664,1.9190001,-0.256,0.133,0.289,1.3950001,1.9190001,0.0,Linear_3S,dynamic
82.0,1.6610001,1.6620001,1.9190001,-0.25800002,0.13900001,0.293,1.378,1.9350001,1.0,GP_3S,dynamic
82.0,1.258,1.2590001,1.4640001,-0.20600002,0.127,0.24200001,1.005,1.5040001,1.0,Linear_3S,stoch
82.0,1.263,1.2650001,1.4640001,-0.201,0.134,0.24100001,0.989,1.5280001,1.0,GP_3S,stoch
82.0,1.641,1.6420001,1.9190001,-0.27800003,0.13800001,0.31100002,1.3720001,1.9130001,0.0,Linear_1S,dynamic
82.0,1.651,1.651,1.9190001,-0.268,0.134,0.3,1.3850001,1.9100001,0.0,GP_1S,dynamic
82.0,1.2310001,1.2320001,1.4640001,-0.23300001,0.135,0.26900002,0.966,1.4970001,1.0,Linear_1S,stoch
82.0,1.24,1.2390001,1.4640001,-0.224,0.132,0.259,0.98,1.4940001,1.0,GP_1S,stoch
115.0,1.6190001,1.6190001,1.6600001,-0.041,0.136,0.142,1.353,1.8900001,1.0,Linear_oracle,dynamic
115.0,1.6350001,1.6350001,1.6600001,-0.025,0.128,0.13000001,1.3840001,1.8830001,1.0,GP_oracle,dynamic
115.0,1.3510001,1.3510001,1.4410001,-0.09,0.141,0.16700001,1.072,1.631,1.0,Linear_oracle,stoch
115.0,1.3560001,1.3570001,1.4410001,-0.085,0.135,0.15900001,1.0910001,1.616,1.0,GP_oracle,stoch
115.0,1.779,1.779,1.6600001,0.119,0.17300001,0.21000001,1.4380001,2.1220002,1.0,Linear_observed,dynamic
115.0,1.8470001,1.8460001,1.6600001,0.187,0.194,0.27,1.4690001,2.236,1.0,GP_observed,dynamic
115.0,1.414,1.4150001,1.4410001,-0.027,0.156,0.158,1.11,1.7240001,1.0,Linear_observed,stoch
115.0,1.463,1.4610001,1.4410001,0.022000002,0.16800001,0.16900001,1.1320001,1.7980001,1.0,GP_observed,stoch
115.0,1.5890001,1.588,1.6600001,-0.071,0.13100001,0.149,1.3410001,1.8470001,1.0,Linear_2S,dynamic
115.0,1.575,1.575,1.6600001,-0.085,0.142,0.165,1.2950001,1.8570001,1.0,GP_2S,dynamic
115.0,1.307,1.3050001,1.4410001,-0.134,0.13700001,0.192,1.047,1.595,1.0,Linear_2S,stoch
115.0,1.327,1.3260001,1.4410001,-0.11400001,0.148,0.187,1.036,1.6190001,1.0,GP_2S,stoch
115.0,1.5890001,1.588,1.6600001,-0.071,0.13100001,0.149,1.34,1.8470001,1.0,Linear_3S,dynamic
115.0,1.577,1.577,1.6600001,-0.083000004,0.142,0.164,1.296,1.8600001,1.0,GP_3S,dynamic
115.0,1.3050001,1.304,1.4410001,-0.136,0.13700001,0.193,1.0450001,1.593,1.0,Linear_3S,stoch
115.0,1.325,1.3240001,1.4410001,-0.116000004,0.148,0.18800001,1.0320001,1.616,1.0,GP_3S,stoch
115.0,1.5970001,1.5960001,1.6600001,-0.063,0.135,0.149,1.335,1.8600001,1.0,Linear_1S,dynamic
115.0,1.5380001,1.5350001,1.6600001,-0.12200001,0.13700001,0.18400002,1.266,1.8090001,1.0,GP_1S,dynamic
