idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
2.0,4.201,4.2000003,4.756,-0.555,0.117000006,0.568,0.55600005,0.117000006,3.9710002,4.433,0.0,Linear_oracle,dynamic
2.0,5.0750003,5.0750003,4.756,0.319,0.117000006,0.33900002,0.319,0.067,4.847,5.307,0.0,GP_oracle,dynamic
2.0,4.813,4.813,5.2850003,-0.47200003,0.13000001,0.48900002,0.47100002,0.089,4.559,5.0690002,0.0,Linear_oracle,stoch
2.0,5.9090004,5.9080005,5.2850003,0.624,0.156,0.643,0.624,0.11800001,5.609,6.2190003,0.0,GP_oracle,stoch
2.0,3.177,3.176,4.756,-1.5790001,0.135,1.585,1.5790001,0.33200002,2.913,3.4410002,0.0,Linear_observed,dynamic
2.0,3.1160002,3.1150002,4.756,-1.6400001,0.135,1.646,1.641,0.34500003,2.8530002,3.3830001,0.0,GP_observed,dynamic
2.0,3.9570003,3.9550002,5.2850003,-1.3280001,0.165,1.338,1.3280001,0.25100002,3.634,4.2840004,0.0,Linear_observed,stoch
2.0,4.217,4.216,5.2850003,-1.0680001,0.19500001,1.085,1.0680001,0.202,3.8370001,4.603,0.0,GP_observed,stoch
2.0,3.844,3.844,4.756,-0.91200006,0.142,0.924,0.91300005,0.192,3.571,4.122,0.0,Linear_3S,dynamic
2.0,3.8520002,3.8520002,4.756,-0.90400004,0.15100001,0.91700006,0.90400004,0.19000001,3.5620003,4.1520004,0.0,GP_3S,dynamic
2.0,4.3450003,4.347,5.2850003,-0.94000006,0.157,0.952,0.93900007,0.178,4.037,4.6520004,0.0,Linear_3S,stoch
2.0,4.314,4.313,5.2850003,-0.9710001,0.172,0.9850001,0.97,0.18400002,3.9850001,4.6590004,0.0,GP_3S,stoch
2.0,3.9620001,3.9620001,4.756,-0.794,0.135,0.80600005,0.794,0.16700001,3.696,4.2250004,0.0,Linear_1S,dynamic
2.0,4.3820004,4.3820004,4.756,-0.374,0.163,0.40800002,0.37500003,0.079,4.063,4.703,0.0,GP_1S,dynamic
2.0,4.517,4.517,5.2850003,-0.768,0.15200001,0.78200006,0.767,0.14500001,4.217,4.813,0.0,Linear_1S,stoch
2.0,5.0270004,5.0270004,5.2850003,-0.25800002,0.20600002,0.33,0.279,0.053000003,4.622,5.44,1.0,GP_1S,stoch
55.0,4.316,4.3170004,4.7110004,-0.395,0.116000004,0.411,0.395,0.08400001,4.089,4.545,0.0,Linear_oracle,dynamic
55.0,4.8040004,4.8030005,4.7110004,0.093,0.10300001,0.13900001,0.11400001,0.024,4.604,5.0070004,1.0,GP_oracle,dynamic
55.0,4.972,4.9740005,5.157,-0.185,0.127,0.224,0.192,0.037,4.721,5.2240005,1.0,Linear_oracle,stoch
55.0,5.5000005,5.498,5.157,0.34300002,0.133,0.36800003,0.34300002,0.067,5.2380004,5.7660003,0.0,GP_oracle,stoch
55.0,2.8790002,2.8790002,4.7110004,-1.8320001,0.13800001,1.8360001,1.8310001,0.38900003,2.6100001,3.154,0.0,Linear_observed,dynamic
55.0,2.785,2.785,4.7110004,-1.9260001,0.13800001,1.9300001,1.9250001,0.409,2.515,3.058,0.0,GP_observed,dynamic
55.0,4.227,4.228,5.157,-0.93000007,0.185,0.9480001,0.93000007,0.18,3.8610003,4.5870004,0.0,Linear_observed,stoch
55.0,4.5280004,4.5270004,5.157,-0.629,0.24800001,0.675,0.629,0.12200001,4.046,5.0200005,0.0,GP_observed,stoch
55.0,3.8490002,3.851,4.7110004,-0.86200005,0.15,0.87500006,0.86200005,0.18300001,3.5530002,4.138,0.0,Linear_3S,dynamic
55.0,3.834,3.8320003,4.7110004,-0.87700003,0.162,0.892,0.87700003,0.186,3.5230002,4.158,0.0,GP_3S,dynamic
55.0,4.418,4.421,5.157,-0.739,0.16700001,0.757,0.73800004,0.143,4.084,4.7380004,0.0,Linear_3S,stoch
55.0,4.302,4.2990003,5.157,-0.855,0.187,0.87500006,0.85400003,0.16600001,3.9450002,4.682,0.0,GP_3S,stoch
55.0,4.026,4.026,4.7110004,-0.68500006,0.13800001,0.69900006,0.68500006,0.14500001,3.7560003,4.3,0.0,Linear_1S,dynamic
55.0,4.7180004,4.716,4.7110004,0.007,0.18100001,0.18100001,0.14400001,0.031000001,4.366,5.0740004,1.0,GP_1S,dynamic
