idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
3,8.205,8.205,8.954,-0.749,0.143,2.93,1.784,0.35000002,7.925,8.488001,0,0.24000001,Linear_oracle,dynamic
3,8.989,8.989,8.954,0.035,0.105000004,0.95300007,0.721,0.23,8.785001,9.196,1,0.36800003,GP_oracle,dynamic
3,9.057,9.057,9.179001,-0.12200001,0.15900001,2.256,1.409,0.14400001,8.745001,9.373,1,0.27,Linear_oracle,stoch
3,9.181001,9.181001,9.179001,0.002,0.124000005,0.94000006,0.574,0.057000004,8.939,9.424001,1,0.48000002,GP_oracle,stoch
3,6.9990005,6.9990005,8.954,-1.955,0.15,3.6310003,2.6430001,0.56100005,6.7000003,7.2910004,0,0.07,Linear_observed,dynamic
3,7.5060005,7.5050006,8.954,-1.4480001,0.19800001,2.857,2.3200002,0.65300006,7.1240005,7.8950005,0,0.22200002,GP_observed,dynamic
3,7.064,7.064,9.179001,-2.115,0.24900001,3.1590002,2.391,0.24700001,6.571,7.556,0,0.14,Linear_observed,stoch
3,9.069,9.076,9.179001,-0.11000001,0.395,2.094,1.3590001,0.164,8.284,9.841001,1,0.53000003,GP_observed,stoch
3,7.8630004,7.859,8.954,-1.0910001,0.179,3.0360003,1.9950001,0.48900002,7.5160003,8.226001,0,0.492,Linear_3S,dynamic
3,8.102,8.103001,8.954,-0.85200006,0.18,1.9770001,1.5640001,0.44200003,7.7450004,8.457001,0,0.59800005,GP_3S,dynamic
3,8.634001,8.63,9.179001,-0.545,0.201,2.2340002,1.452,0.162,8.236,9.0390005,0,0.57600003,Linear_3S,stoch
3,8.184,8.188001,9.179001,-0.99500006,0.21200001,1.9700001,1.3610001,0.149,7.7550006,8.595,0,0.748,GP_3S,stoch
3,8.063001,8.064,8.954,-0.89100003,0.164,3.022,1.9790001,0.49100003,7.7390003,8.385,0,0.21200001,Linear_1S,dynamic
3,8.861,8.860001,8.954,-0.093,0.177,2.003,1.3460001,0.45600003,8.514,9.213,1,0.46,GP_1S,dynamic
3,8.910001,8.909,9.179001,-0.26900002,0.19000001,2.2930002,1.5270001,0.17,8.536,9.280001,1,0.27400002,Linear_1S,stoch
3,9.112,9.110001,9.179001,-0.067,0.21000001,2.243,1.3460001,0.15400001,8.694,9.527,1,0.42200002,GP_1S,stoch
58,7.005,7.0060005,8.303,-1.2980001,0.136,3.147,2.1790001,0.42900002,6.7360005,7.2660003,0,0.11000001,Linear_oracle,dynamic
58,8.085,8.086,8.303,-0.21800001,0.098000005,1.064,0.762,0.268,7.8910003,8.275001,0,0.37800002,GP_oracle,dynamic
58,8.591001,8.591001,9.436001,-0.845,0.178,2.3500001,1.544,0.149,8.239,8.936001,0,0.21000001,Linear_oracle,stoch
58,9.346001,9.344001,9.436001,-0.09,0.142,1.199,0.72700006,0.07,9.069,9.623,1,0.39800003,GP_oracle,stoch
58,5.7630005,5.7630005,8.303,-2.5400002,0.14400001,4.0940003,3.1780002,0.63600004,5.4810004,6.0390005,0,0.052,Linear_observed,dynamic
