idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
1.0,5.644,5.643,6.8580003,-1.2140001,0.13700001,1.2210001,1.213,0.177,5.3760004,5.912,0.0,Linear_oracle,dynamic
1.0,6.86,6.86,6.8580003,0.002,0.09200001,0.09200001,0.07300001,0.011000001,6.6800003,7.0410004,1.0,GP_oracle,dynamic
1.0,5.9170003,5.918,7.0820003,-1.1650001,0.16700001,1.177,1.1650001,0.164,5.5880003,6.2460003,0.0,Linear_oracle,stoch
1.0,6.9430003,6.9420004,7.0820003,-0.13900001,0.141,0.19900002,0.164,0.023000002,6.6640005,7.2200003,1.0,GP_oracle,stoch
1.0,5.9150004,5.9140005,6.8580003,-0.943,0.126,0.95100003,0.943,0.13700001,5.668,6.162,0.0,Linear_observed,dynamic
1.0,5.945,5.945,6.8580003,-0.91300005,0.13100001,0.92200005,0.91300005,0.133,5.689,6.2000003,0.0,GP_observed,dynamic
1.0,5.874,5.8750005,7.0820003,-1.2080001,0.18800001,1.223,1.2080001,0.171,5.504,6.2430005,0.0,Linear_observed,stoch
1.0,5.4900002,5.524,7.0820003,-1.5920001,0.381,1.6380001,1.593,0.22500001,4.6590004,6.137,0.0,GP_observed,stoch
1.0,5.4740005,5.4750004,6.8580003,-1.3840001,0.147,1.3920001,1.3840001,0.202,5.1920004,5.761,0.0,Linear_3S,dynamic
1.0,6.0480003,6.0470004,6.8580003,-0.81000006,0.16800001,0.827,0.81000006,0.11800001,5.7250004,6.3820004,0.0,GP_3S,dynamic
1.0,5.6130004,5.624,7.0820003,-1.4690001,0.192,1.4820001,1.4690001,0.20700002,5.247,5.9700003,0.0,Linear_3S,stoch
1.0,6.1980004,6.195,7.0820003,-0.88400006,0.22900002,0.91400003,0.88500005,0.125,5.756,6.6600003,0.0,GP_3S,stoch
1.0,5.432,5.432,6.8580003,-1.4260001,0.13700001,1.432,1.4250001,0.208,5.163,5.701,0.0,Linear_1S,dynamic
1.0,6.867,6.8650002,6.8580003,0.009000001,0.172,0.172,0.13700001,0.020000001,6.5290003,7.2070003,1.0,GP_1S,dynamic
1.0,5.531,5.531,7.0820003,-1.5510001,0.17400001,1.562,1.552,0.21900001,5.1870003,5.872,0.0,Linear_1S,stoch
1.0,7.188,7.1860003,7.0820003,0.106000006,0.26200002,0.28300002,0.22500001,0.032,6.6780005,7.7100005,1.0,GP_1S,stoch
54.0,6.005,6.005,6.5920005,-0.587,0.123,0.6,0.587,0.089,5.762,6.249,0.0,Linear_oracle,dynamic
54.0,6.6390004,6.6380005,6.5920005,0.047000002,0.08800001,0.1,0.080000006,0.012,6.4670005,6.8110003,1.0,GP_oracle,dynamic
54.0,6.5210004,6.5220003,7.3480005,-0.827,0.15200001,0.841,0.827,0.113000005,6.2230005,6.821,0.0,Linear_oracle,stoch
54.0,7.4100003,7.4110003,7.3480005,0.062000003,0.143,0.156,0.125,0.017,7.1330004,7.6910005,1.0,GP_oracle,stoch
54.0,5.7660003,5.7660003,6.5920005,-0.82600003,0.119,0.83400005,0.82500005,0.125,5.5330005,6.0030003,0.0,Linear_observed,dynamic
54.0,5.774,5.775,6.5920005,-0.818,0.123,0.82600003,0.81700003,0.124000005,5.532,6.0140004,0.0,GP_observed,dynamic
54.0,6.3760004,6.3780003,7.3480005,-0.97200006,0.16600001,0.98600006,0.97200006,0.132,6.045,6.6940002,0.0,Linear_observed,stoch
54.0,6.0740004,6.0950003,7.3480005,-1.274,0.25100002,1.2980001,1.274,0.17300001,5.5230002,6.5160003,0.0,GP_observed,stoch
54.0,5.795,5.795,6.5920005,-0.79700005,0.13700001,0.809,0.79700005,0.12100001,5.532,6.0590005,0.0,Linear_3S,dynamic
54.0,6.1520004,6.1510005,6.5920005,-0.44000003,0.15100001,0.46500003,0.44000003,0.067,5.859,6.4540005,0.0,GP_3S,dynamic
54.0,6.096,6.1050005,7.3480005,-1.2520001,0.18,1.2650001,1.2520001,0.17,5.7450004,6.4300003,0.0,Linear_3S,stoch
54.0,6.6340003,6.6320004,7.3480005,-0.71400005,0.22500001,0.749,0.71400005,0.097,6.201,7.0880003,0.0,GP_3S,stoch
54.0,5.794,5.794,6.5920005,-0.79800004,0.12900001,0.808,0.79800004,0.12100001,5.5410004,6.045,0.0,Linear_1S,dynamic
54.0,6.946,6.9440002,6.5920005,0.354,0.163,0.39000002,0.356,0.054,6.6280003,7.2700005,0.0,GP_1S,dynamic
54.0,6.0820003,6.083,7.3480005,-1.266,0.164,1.276,1.2650001,0.172,5.7590003,6.4,0.0,Linear_1S,stoch
54.0,8.018001,8.018001,7.3480005,0.67,0.28800002,0.72900003,0.67200005,0.091000006,7.465,8.591001,0.0,GP_1S,stoch
107.0,6.111,6.111,6.892,-0.781,0.12900001,0.79200006,0.781,0.113000005,5.8570004,6.3610005,0.0,Linear_oracle,dynamic
107.0,6.8900003,6.8900003,6.892,-0.002,0.09,0.09,0.072000004,0.010000001,6.7120004,7.0660005,1.0,GP_oracle,dynamic
107.0,6.3090005,6.3090005,7.2040005,-0.89500004,0.15400001,0.90800005,0.89500004,0.124000005,6.0070004,6.6120005,0.0,Linear_oracle,stoch
107.0,7.0950003,7.0950003,7.2040005,-0.109000005,0.157,0.19100001,0.15400001,0.021000002,6.7900004,7.405,1.0,GP_oracle,stoch
107.0,6.2790003,6.28,6.892,-0.61300004,0.117000006,0.624,0.61300004,0.089,6.0470004,6.5080004,0.0,Linear_observed,dynamic
107.0,6.3480005,6.3480005,6.892,-0.544,0.116000004,0.55600005,0.544,0.079,6.1210003,6.577,0.0,GP_observed,dynamic
107.0,6.3150005,6.3150005,7.2040005,-0.88900006,0.16600001,0.90400004,0.88900006,0.123,5.9820004,6.637,0.0,Linear_observed,stoch
107.0,5.227,5.2240005,7.2040005,-1.9770001,0.264,1.9950001,1.978,0.275,4.703,5.7520003,0.0,GP_observed,stoch
107.0,5.9440002,5.946,6.892,-0.9480001,0.13900001,0.95800006,0.9480001,0.13800001,5.6720004,6.215,0.0,Linear_3S,dynamic
107.0,6.36,6.3580003,6.892,-0.532,0.141,0.551,0.532,0.07700001,6.09,6.643,0.0,GP_3S,dynamic
107.0,6.045,6.0530005,7.2040005,-1.159,0.172,1.172,1.159,0.16100001,5.7040005,6.3680005,0.0,Linear_3S,stoch
107.0,6.51,6.5060005,7.2040005,-0.694,0.19900002,0.72200006,0.694,0.096,6.1330004,6.9170003,0.0,GP_3S,stoch
107.0,5.9020004,5.9030004,6.892,-0.99000007,0.12900001,0.9990001,0.99000007,0.14400001,5.6470003,6.156,0.0,Linear_1S,dynamic
107.0,6.7460003,6.7430005,6.892,-0.14600001,0.133,0.19800001,0.165,0.024,6.491,7.01,1.0,GP_1S,dynamic
107.0,5.9670005,5.9670005,7.2040005,-1.2370001,0.157,1.2470001,1.2370001,0.172,5.656,6.2720003,0.0,Linear_1S,stoch
107.0,7.063,7.0590005,7.2040005,-0.141,0.209,0.252,0.20400001,0.028,6.6570005,7.4790006,1.0,GP_1S,stoch
160.0,6.1530004,6.1540003,6.807,-0.65400004,0.127,0.666,0.65400004,0.096,5.906,6.4030004,0.0,Linear_oracle,dynamic
160.0,6.873,6.873,6.807,0.066,0.098000005,0.11800001,0.095000006,0.014,6.681,7.064,1.0,GP_oracle,dynamic
160.0,6.5000005,6.5010004,7.2040005,-0.70400006,0.15400001,0.721,0.70400006,0.098000005,6.1970005,6.8040004,0.0,Linear_oracle,stoch
160.0,7.188,7.1870003,7.2040005,-0.016,0.147,0.148,0.11800001,0.016,6.9,7.471,1.0,GP_oracle,stoch
160.0,6.0070004,6.0080004,6.807,-0.8,0.109000005,0.80700004,0.799,0.117000006,5.7920003,6.2230005,0.0,Linear_observed,dynamic
160.0,6.0090003,6.0090003,6.807,-0.79800004,0.11100001,0.80500007,0.79700005,0.117000006,5.7910004,6.227,0.0,GP_observed,dynamic
160.0,6.058,6.057,7.2040005,-1.146,0.16700001,1.1580001,1.146,0.15900001,5.735,6.387,0.0,Linear_observed,stoch
160.0,5.827,5.84,7.2040005,-1.3770001,0.27100003,1.404,1.3770001,0.19100001,5.2790003,6.314,0.0,GP_observed,stoch
160.0,5.9230003,5.926,6.807,-0.88400006,0.13900001,0.89500004,0.88400006,0.13000001,5.655,6.19,0.0,Linear_3S,dynamic
160.0,6.293,6.2920003,6.807,-0.514,0.15100001,0.535,0.514,0.075,5.9930005,6.5920005,0.0,GP_3S,dynamic
160.0,6.136,6.1450005,7.2040005,-1.0680001,0.172,1.082,1.0680001,0.148,5.801,6.4560003,0.0,Linear_3S,stoch
160.0,6.524,6.524,7.2040005,-0.68,0.194,0.707,0.68,0.094000004,6.1400003,6.9070005,0.0,GP_3S,stoch
160.0,5.9150004,5.9150004,6.807,-0.892,0.13100001,0.901,0.89100003,0.13100001,5.662,6.1720004,0.0,Linear_1S,dynamic
160.0,6.8420005,6.84,6.807,0.035,0.163,0.16600001,0.133,0.020000001,6.524,7.1610003,1.0,GP_1S,dynamic
160.0,6.1180005,6.1180005,7.2040005,-1.0860001,0.15900001,1.097,1.0860001,0.15100001,5.8090005,6.4300003,0.0,Linear_1S,stoch
160.0,7.1990004,7.195,7.2040005,-0.0050000004,0.22800002,0.22800002,0.18300001,0.025,6.754,7.642,1.0,GP_1S,stoch
213.0,5.905,5.907,6.978,-1.0730001,0.128,1.08,1.072,0.15400001,5.6530004,6.1580005,0.0,Linear_oracle,dynamic
213.0,6.88,6.8810005,6.978,-0.098000005,0.095000006,0.136,0.113000005,0.016,6.696,7.0660005,1.0,GP_oracle,dynamic
213.0,5.973,5.9740005,7.2300005,-1.2570001,0.14600001,1.2650001,1.256,0.17400001,5.6860003,6.26,0.0,Linear_oracle,stoch
213.0,7.0000005,6.998,7.2300005,-0.23,0.14400001,0.27100003,0.23600002,0.033,6.7190003,7.28,1.0,GP_oracle,stoch
213.0,6.2430005,6.242,6.978,-0.735,0.116000004,0.74300003,0.734,0.105000004,6.0140004,6.4740005,0.0,Linear_observed,dynamic
213.0,6.347,6.347,6.978,-0.63100004,0.113000005,0.64000005,0.63000005,0.09,6.1280003,6.5680003,0.0,GP_observed,dynamic
213.0,6.0920005,6.0930004,7.2300005,-1.138,0.162,1.149,1.1370001,0.157,5.7770004,6.412,0.0,Linear_observed,stoch
213.0,5.076,5.076,7.2300005,-2.154,0.25100002,2.1690001,2.154,0.298,4.578,5.5610003,0.0,GP_observed,stoch
213.0,5.7320004,5.734,6.978,-1.246,0.14,1.2540001,1.246,0.179,5.46,6.004,0.0,Linear_3S,dynamic
213.0,6.3310003,6.3290005,6.978,-0.647,0.15100001,0.66400003,0.647,0.093,6.0410004,6.6320004,0.0,GP_3S,dynamic
213.0,5.734,5.7400002,7.2300005,-1.496,0.16600001,1.5040001,1.4950001,0.20700002,5.412,6.0490003,0.0,Linear_3S,stoch
213.0,6.439,6.4350004,7.2300005,-0.791,0.2,0.81600004,0.791,0.109000005,6.0590005,6.8450003,0.0,GP_3S,stoch
213.0,5.663,5.663,6.978,-1.315,0.128,1.3210001,1.314,0.18800001,5.413,5.9150004,0.0,Linear_1S,dynamic
213.0,6.8970003,6.8970003,6.978,-0.081,0.15,0.17,0.13700001,0.020000001,6.6070004,7.1900005,1.0,GP_1S,dynamic
213.0,5.6270003,5.6260004,7.2300005,-1.603,0.149,1.6100001,1.603,0.22200002,5.335,5.918,0.0,Linear_1S,stoch
213.0,7.1370006,7.1340003,7.2300005,-0.093,0.22000001,0.23900001,0.192,0.027,6.708,7.5750003,1.0,GP_1S,stoch
266.0,6.4360003,6.4360003,6.8890004,-0.453,0.125,0.47000003,0.453,0.066,6.188,6.682,0.0,Linear_oracle,dynamic
266.0,6.872,6.873,6.8890004,-0.017,0.067,0.069000006,0.055000003,0.008,6.7380004,7.0030003,1.0,GP_oracle,dynamic
266.0,6.3690004,6.3690004,7.3020005,-0.933,0.141,0.943,0.933,0.128,6.0930004,6.6460004,0.0,Linear_oracle,stoch
266.0,7.241,7.241,7.3020005,-0.061000004,0.094000004,0.112,0.09,0.012,7.0550003,7.4230003,1.0,GP_oracle,stoch
266.0,6.7590003,6.7580004,6.8890004,-0.13000001,0.135,0.187,0.15400001,0.022000002,6.492,7.024,1.0,Linear_observed,dynamic
266.0,6.813,6.8120003,6.8890004,-0.076000005,0.13700001,0.156,0.125,0.018000001,6.5480003,7.0800004,1.0,GP_observed,dynamic
266.0,6.577,6.5780005,7.3020005,-0.725,0.15300001,0.74100006,0.725,0.09900001,6.275,6.8740005,0.0,Linear_observed,stoch
266.0,5.94,5.939,7.3020005,-1.3620001,0.193,1.3750001,1.3610001,0.186,5.5610003,6.3160005,0.0,GP_observed,stoch
266.0,6.3320003,6.3320003,6.8890004,-0.55700004,0.133,0.572,0.55600005,0.081,6.07,6.5980005,0.0,Linear_3S,dynamic
266.0,6.6870003,6.6860003,6.8890004,-0.202,0.11400001,0.23200001,0.20600002,0.030000001,6.4700003,6.9170003,1.0,GP_3S,dynamic
266.0,6.2500005,6.2530003,7.3020005,-1.052,0.155,1.0630001,1.052,0.14400001,5.9430003,6.5480003,0.0,Linear_3S,stoch
266.0,6.88,6.8770003,7.3020005,-0.42200002,0.15400001,0.44900003,0.42200002,0.058000002,6.5860004,7.1960006,0.0,GP_3S,stoch
266.0,6.287,6.287,6.8890004,-0.60200006,0.12200001,0.614,0.60200006,0.087000005,6.044,6.5260005,0.0,Linear_1S,dynamic
266.0,6.9030004,6.9030004,6.8890004,0.014,0.09900001,0.1,0.080000006,0.012,6.7130003,7.0940003,1.0,GP_1S,dynamic
266.0,6.1460004,6.1470003,7.3020005,-1.156,0.13900001,1.164,1.156,0.158,5.8710003,6.418,0.0,Linear_1S,stoch
266.0,7.301,7.301,7.3020005,-0.001,0.143,0.143,0.11400001,0.016,7.0210004,7.576,1.0,GP_1S,stoch
319.0,6.3570004,6.3570004,7.0880003,-0.731,0.124000005,0.74100006,0.731,0.10300001,6.1150002,6.6000004,0.0,Linear_oracle,dynamic
319.0,7.0390005,7.0390005,7.0880003,-0.049000002,0.11100001,0.12100001,0.097,0.014,6.82,7.2580004,1.0,GP_oracle,dynamic
319.0,6.459,6.4600005,7.2570004,-0.79800004,0.141,0.81000006,0.79800004,0.11000001,6.1840005,6.7320004,0.0,Linear_oracle,stoch
319.0,7.1830006,7.1830006,7.2570004,-0.074,0.147,0.164,0.132,0.018000001,6.8940005,7.4690003,1.0,GP_oracle,stoch
319.0,6.4740005,6.4740005,7.0880003,-0.614,0.10700001,0.623,0.614,0.087000005,6.262,6.6840005,0.0,Linear_observed,dynamic
319.0,6.4830003,6.484,7.0880003,-0.605,0.10300001,0.61300004,0.605,0.085,6.28,6.6850004,0.0,GP_observed,dynamic
