idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
0,true_net,dynamic,0.25,4.3186197,3.83773,4.2985597,0.02006,0.015269999,0.025209999,0.00586,0.021399999,0.0049799997,4.2887387,4.3492475,True,1.0
0,true_net,stoch,0.25,4.70539,4.50209,4.68366,0.021739999,0.01661,0.02736,0.0058399998,0.023219999,0.00496,4.672853,4.738686,True,1.0
0,obs_net,dynamic,0.25,4.86093,4.39501,4.2985597,0.56236,0.14566,0.58092,0.13514,0.56236,0.13082999,4.576477,5.150825,False,0.22999999
0,obs_net,stoch,0.25,5.2543697,5.18085,4.68366,0.57071996,0.15685,0.59187996,0.12637,0.57071996,0.12185,4.9482183,5.5661783,False,0.21
0,MWG,dynamic,0.25,6.94196,5.94443,4.2985597,2.6434,0.00388,2.6434,0.61495,2.6434,0.61495,6.935836,6.9485273,False,0.0
0,MWG,stochastic,0.25,7.5945296,7.4147496,4.68366,2.9108799,0.19693999,2.9175298,0.62292,2.9108799,0.62149996,7.276736,7.9150033,False,0.0
0,MWG_rep,dynamic,0.25,-2.368,-3.46432,4.2985597,-6.6665597,0.0049699997,6.6665597,1.55088,6.6665597,1.55088,-2.378993,-2.3616138,False,0.0
0,MWG_rep,stochastic,0.25,-2.61532,-2.8388898,4.68366,-7.2989697,0.12963,7.30012,1.55864,7.2989697,1.5583899,-2.8570898,-2.4088633,False,0.0
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
6,true_net,dynamic,0.75,4.3188,3.8378499,4.2985597,0.02024,0.015179999,0.0253,0.0058899997,0.02152,0.00501,4.288845,4.3484287,True,1.0
6,true_net,stoch,0.75,4.7056,4.50241,4.68366,0.02194,0.01651,0.02746,0.00586,0.023349999,0.0049799997,4.672968,4.7377768,True,1.0
6,obs_net,dynamic,0.75,2.32072,1.3974899,4.2985597,-1.97785,0.15682,1.9840499,0.46155998,1.97784,0.46012,2.0123205,2.6248655,False,0.018
6,obs_net,stoch,0.75,2.47693,2.43636,4.68366,-2.2067199,0.16386,2.2128,0.47245,2.2067199,0.47114998,2.1550736,2.7947314,False,0.007999999
6,MWG,dynamic,0.75,-3.2075,-4.0408,4.2985597,-7.5060596,0.04479,7.50619,1.74621,7.5060596,1.7461799,-3.2507637,-3.109702,False,0.0
6,MWG,stochastic,0.75,-3.6208298,-3.9045599,4.68366,-8.30448,0.16094999,8.30604,1.77341,8.30448,1.77308,-3.9583433,-3.36117,False,0.0
6,MWG_rep,dynamic,0.75,4.34413,3.67008,4.2985597,0.045569997,0.06832,0.08212,0.0191,0.071679994,0.01667,4.2145686,4.423198,True,0.12799999
6,MWG_rep,stochastic,0.75,4.72079,4.55414,4.68366,0.03713,0.1266,0.13193999,0.028169999,0.105189994,0.022459999,4.3779697,4.900699,True,0.662
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
0,true_net,dynamic,0.5,4.3186197,3.83773,4.2985597,0.02006,0.015269999,0.025209999,0.00586,0.021399999,0.0049799997,4.2887387,4.3492475,True,1.0
0,true_net,stoch,0.5,4.70539,4.50209,4.68366,0.021739999,0.01661,0.02736,0.0058399998,0.023219999,0.00496,4.672853,4.738686,True,1.0
0,obs_net,dynamic,0.5,3.8295598,3.16714,4.2985597,-0.46901,0.17164999,0.49943,0.116189994,0.46932998,0.109179996,3.49779,4.1797695,False,0.302
0,obs_net,stoch,0.5,4.10627,4.03757,4.68366,-0.57739,0.18256,0.60556,0.12929,0.57747996,0.12329999,3.7533412,4.4794445,False,0.31
0,MWG,dynamic,0.5,7.87588,6.9115996,4.2985597,3.5773199,0.00308,3.5773199,0.83221,3.5773199,0.83221,7.8713393,7.879777,False,0.0
0,MWG,stochastic,0.5,8.5769,8.405479,4.68366,3.89324,0.22558999,3.8997698,0.83263,3.89324,0.83124,8.223831,8.961085,False,0.0
0,MWG_rep,dynamic,0.5,-2.26646,-3.32226,4.2985597,-6.5650196,0.0050999997,6.5650196,1.52726,6.5650196,1.52726,-2.277292,-2.2580688,False,0.0
0,MWG_rep,stochastic,0.5,-2.52233,-2.73697,4.68366,-7.20599,0.1239,7.20705,1.53877,7.20599,1.53854,-2.7723114,-2.3300774,False,0.0
