idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
0_0,true_net,dynamic,3.0,3.52858,3.04736,3.51686,0.01172,0.0111299995,0.01616,0.0046,0.01267,0.00446,3.5069048,3.5504482,True,1.0,0.26889426
0_0,true_net,stoch,3.0,5.25765,5.06078,5.23951,0.01814,0.01674,0.02468,0.00471,0.01814,0.00341,5.225174,5.2907295,True,1.0,0.26889426
0_0,obs_net,dynamic,3.0,1.0321599,0.29135,3.51686,-2.4847,0.24385999,2.49664,0.70989996,2.4847,0.78277,0.54433036,1.5024296,False,0.0019999999,6.769163
0_0,obs_net,stoch,3.0,1.4316,1.43137,5.23951,-3.80791,0.30014,3.8197198,0.72902,3.80791,0.72097,0.8328546,2.0137143,False,0.0,6.769163
0_0,MWG,dynamic,3.0,0.78841996,-0.04465,3.51686,-2.7284498,0.00781,2.7284598,0.77581996,2.7284498,0.87179,0.7784856,0.79888904,False,0.0,8.728664
0_0,MWG,stoch,3.0,1.12561,1.12992,5.23951,-4.1138997,0.010629999,4.1139197,0.78516996,4.1138997,0.78186,1.1069165,1.1437334,False,0.0,8.728664
0_0,MWG_rep,dynamic,3.0,3.12394,2.61937,3.51686,-0.39293,0.084709994,0.40195,0.11429,0.73205996,0.24775,2.925585,3.2804086,False,0.21599999,2.3162365
0_0,MWG_rep,stoch,3.0,4.55009,4.4305797,5.23951,-0.68942,0.16826,0.70966,0.13543999,0.78486997,0.14642,4.2256184,4.858957,False,0.464,2.3162365
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
0_1,true_net,dynamic,3.5,3.52809,3.0469499,3.51686,0.011229999,0.01108,0.01577,0.0044899997,0.01237,0.00435,3.5067997,3.5500078,True,1.0,0.27519324
0_1,true_net,stoch,3.5,5.2569,5.06006,5.23951,0.0174,0.01666,0.02409,0.0046,0.0174,0.00327,5.2248983,5.289768,True,1.0,0.27519324
0_1,obs_net,dynamic,3.5,1.11356,0.40339,3.51686,-2.4033,0.29316,2.42112,0.68843,2.4033,0.75302,0.5422767,1.6891556,False,0.007999999,6.7346387
0_1,obs_net,stoch,3.5,1.53388,1.5305899,5.23951,-3.7056198,0.36317998,3.7233799,0.71063995,3.7056198,0.70076,0.8262633,2.244066,False,0.0,6.7346387
0_1,MWG,dynamic,3.5,0.43929,-0.3096,3.51686,-3.07758,0.15605,3.0815299,0.87622,3.07758,0.99483997,0.15077254,0.72389627,False,0.0,7.5491304
0_1,MWG,stoch,3.5,0.63356,0.63719,5.23951,-4.60595,0.21394,4.61091,0.88003,4.60595,0.87930995,0.22989415,1.0258873,False,0.0,7.5491304
0_1,MWG_rep,dynamic,3.5,2.8149998,2.1884599,3.51686,-0.70186,0.06827,0.70517,0.20051,0.86542,0.28247,2.6835756,2.934947,False,0.134,2.846412
0_1,MWG_rep,stoch,3.5,4.09063,3.95958,5.23951,-1.14887,0.124069996,1.15555,0.22055,1.1664599,0.21762,3.8513105,4.398468,False,0.206,2.846412
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
0_2,true_net,dynamic,4.0,3.52807,3.04701,3.51686,0.01121,0.01131,0.01592,0.00453,0.01239,0.0043599997,3.5054424,3.5498064,True,1.0,0.2754268
0_2,true_net,stoch,4.0,5.25688,5.06008,5.23951,0.01737,0.01701,0.02431,0.00464,0.01737,0.00327,5.2229486,5.2893724,True,1.0,0.2754268
0_2,obs_net,dynamic,4.0,1.0172,0.34127,3.51686,-2.49966,0.34232998,2.52299,0.71739995,2.49966,0.78722,0.3499268,1.6749203,False,0.007999999,6.916526
0_2,obs_net,stoch,4.0,1.41783,1.41844,5.23951,-3.8216798,0.43223998,3.84604,0.73405,3.8216798,0.72366,0.57292277,2.2509477,False,0.0,6.916526
0_2,MWG,dynamic,4.0,2.74002,2.11863,3.51686,-0.77684,0.11169,0.78483,0.22316,0.99047,0.31480998,2.5318491,2.9886093,False,0.29999998,4.0360513
0_2,MWG,stoch,4.0,4.0124097,3.90762,5.23951,-1.22709,0.17648,1.23972,0.23661,1.25242,0.23033999,3.6565368,4.3381867,False,0.262,4.0360513
0_2,MWG_rep,dynamic,4.0,2.8618898,2.2764199,3.51686,-0.65497,0.08744,0.66078,0.18789,0.87395996,0.27997,2.7147915,3.0298412,False,0.148,2.740401
0_2,MWG_rep,stoch,4.0,4.2009597,4.04552,5.23951,-1.03855,0.15705,1.05035,0.20047,1.06918,0.1986,3.9344778,4.516609,False,0.26999998,2.740401
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
0_3,true_net,dynamic,4.5,3.52801,3.04684,3.51686,0.01115,0.011,0.01567,0.00445,0.012329999,0.00434,3.505881,3.5494514,True,1.0,0.27300844
0_3,true_net,stoch,4.5,5.2567897,5.06002,5.23951,0.01729,0.016549999,0.02393,0.00457,0.01729,0.0032499998,5.2235875,5.2890773,True,1.0,0.27300844
