idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
1_0_0,true_net,dynamic,2.0,3.59598,3.10199,3.58301,0.01298,0.012259999,0.01785,0.0049799997,0.01298,0.0035299999,3.5717607,3.6199853,1.0,1.0,0.3356831,1_0
1_0_0,true_net,stoch,2.0,5.24175,5.04176,5.22285,0.0189,0.01791,0.026039999,0.00499,0.0189,0.00363,5.2063265,5.27678,1.0,1.0,0.3356831,1_0
1_0_0,obs_net,dynamic,2.0,0.9515,0.26580998,3.58301,-2.6315,0.21428,2.64021,0.73687,2.6315,0.80254996,0.52411044,1.3752962,0.0,0.0019999999,7.0959435,1_0
1_0_0,obs_net,stoch,2.0,1.3424699,1.33795,5.22285,-3.88038,0.27157,3.88987,0.74478,3.88038,0.73544997,0.7998588,1.8818271,0.0,0.0,7.0959435,1_0
1_0_0,MWG,dynamic,2.0,3.57393,3.31189,3.58301,-0.00908,0.11013,0.11051,0.03084,0.54372,0.21677999,3.3580067,3.7886038,1.0,0.98999995,1.629064,1_0
1_0_0,MWG,stoch,2.0,5.20301,5.0208097,5.22285,-0.01984,0.12956999,0.13108,0.0251,0.32338,0.064059995,4.9584227,5.47273,1.0,0.912,1.629064,1_0
1_0_0,MWG_rep,dynamic,2.0,2.9965699,2.86404,3.58301,-0.58643,0.124859996,0.59958,0.16734,0.7672,0.25184998,2.7501776,3.235918,0.0,0.996,2.4664044,1_0
1_0_0,MWG_rep,stoch,2.0,4.3237,4.15732,5.22285,-0.89914995,0.14281,0.91042,0.17431,0.91503,0.17007999,4.029009,4.5790915,0.0,0.274,2.4664044,1_0
1_0_1,true_net,dynamic,2.5,3.59633,3.1024399,3.58301,0.0133299995,0.012089999,0.017989999,0.00502,0.0133299995,0.00364,3.572675,3.6204083,1.0,1.0,0.33665264,1_0
1_0_1,true_net,stoch,2.5,5.24226,5.0422297,5.22285,0.01941,0.017649999,0.026239999,0.00502,0.01941,0.00372,5.2076755,5.2773876,1.0,1.0,0.33665264,1_0
1_0_1,obs_net,dynamic,2.5,0.92364997,0.26754,3.58301,-2.65935,0.2617,2.6722,0.74579996,2.65935,0.81193,0.3997343,1.4343957,0.0,0.0039999997,7.240433,1_0
1_0_1,obs_net,stoch,2.5,1.30896,1.3074399,5.22285,-3.9138799,0.33438998,3.92814,0.75211,3.9138799,0.742,0.63866735,1.9632512,0.0,0.0,7.240433,1_0
1_0_1,MWG,dynamic,2.5,3.2677999,2.9935,3.58301,-0.31520998,0.16802,0.35718998,0.09969,0.6027,0.21255,2.998635,3.5844812,1.0,0.97999996,1.8839275,1_0
1_0_1,MWG,stoch,2.5,4.75145,4.56309,5.22285,-0.47138998,0.23604,0.52718997,0.10094,0.53545,0.09974,4.3707137,5.1443853,0.0,0.774,1.8839275,1_0
1_0_1,MWG_rep,dynamic,2.5,2.99914,2.8502998,3.58301,-0.58387,0.13505,0.59928,0.16725999,0.76405996,0.2547,2.7372992,3.259553,0.0,0.98999995,2.4917629,1_0
1_0_1,MWG_rep,stoch,2.5,4.34836,4.18231,5.22285,-0.87447995,0.13599,0.885,0.16945,0.88733995,0.16416,4.0917473,4.6140804,0.0,0.366,2.4917629,1_0
1_0_2,true_net,dynamic,3.0,3.59602,3.10162,3.58301,0.01301,0.01265,0.01815,0.00506,0.01301,0.0035299999,3.5709221,3.620638,1.0,1.0,0.33876625,1_0
1_0_2,true_net,stoch,3.0,5.2418,5.04172,5.22285,0.01895,0.018469999,0.02647,0.00507,0.01895,0.00364,5.205204,5.2777686,1.0,1.0,0.33876625,1_0
