idx,model,estimand,mean,median,true,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
0,true_net,dynamic,4.15657,3.9998398,4.09835,0.05822,0.16203,0.042009998,0.024459999,True,1.0,0.2968135
0,true_net,gate,12.90339,12.48461,12.720699,0.18268,0.47300997,0.03986,0.01383,True,1.0,0.2968135
0,MWG,dynamic,4.2693614,5.2508909,4.09835,0.1710114,0.31359,0.0461813,0.1170753,True,1.2895697,0.7959569
0,MWG,gate,13.1894656,16.0161069,12.720699,0.4687666,0.94301,0.0638738,0.0870709,True,0.3964299,0.7577576
1,true_net,dynamic,3.64444,3.5074198,3.95384,-0.3094,0.14946,0.086899996,0.08441,False,1.0,0.4673448
1,true_net,gate,12.64273,12.2494,13.72024,-1.07751,0.47548997,0.085839994,0.07796,False,1.0,0.4673448
1,MWG,dynamic,4.0327141,4.1435976,3.95384,0.0788741,0.30832,0.0246478,0.0420051,True,1.25977,0.7018909
1,MWG,gate,14.0451279,15.0767788,13.72024,0.3248879,1.0615699,0.0350942,0.0464045,True,0.9329666,0.2338572
2,true_net,dynamic,3.92434,3.7319798,4.04221,-0.117879994,0.16343999,0.04985,0.03617,True,1.0,0.36220282
2,true_net,gate,12.966479,12.53873,13.35631,-0.38983998,0.49932998,0.047429997,0.0286,True,1.0,0.36220282
2,MWG,dynamic,4.2178365,5.051218,4.04221,0.1756265,0.25285,0.0833239,0.0456563,True,1.1501852,0.8890096
2,MWG,gate,14.2419446,17.3999688,13.35631,0.8856346,0.81784,0.1109298,0.085754,False,0.0920185,1.3533986
3,true_net,dynamic,4.48422,4.33709,3.8464499,0.63777,0.18153,0.17239,0.18403,False,1.0,0.77613705
3,true_net,gate,13.904989,13.44664,11.91684,1.98815,0.53358,0.17274,0.16541,False,0.956,0.77613705
3,MWG,dynamic,4.0862016,4.6841937,3.8464499,0.2397517,0.24351,0.0725216,0.018823,False,1.1582629,0.5892883
3,MWG,gate,12.5031072,15.3530972,11.91684,0.5862672,0.74000996,0.0679309,0.0712247,True,0.0987762,0.2417214
4,true_net,dynamic,3.34123,3.18549,3.3867,-0.04547,0.13652,0.042489998,0.01243,True,1.0,0.30172852
4,true_net,gate,13.01236,12.6214,13.18987,-0.17751,0.48843998,0.0394,0.01354,True,1.0,0.30172852
4,MWG,dynamic,3.3888539,3.0883403,3.3867,0.0021539,0.25509998,0.0178642,0.0237369,True,1.12188,0.4050942
4,MWG,gate,13.172310300000001,11.7479259,13.18987,-0.0175597,0.95808,0.0057855,0.0064447,True,1.47323,0.9816201
5,true_net,dynamic,3.6183498,3.45553,3.99574,-0.37739,0.15088,0.10172,0.10843,False,1.0,0.5900032
5,true_net,gate,11.235189,10.90384,12.42705,-1.19186,0.43539,0.10211,0.0946,False,1.0,0.5900032
5,MWG,dynamic,4.0944124,4.5927934,3.99574,0.0986724,0.30609998,0.0101751,0.0796226,True,1.4451139,1.0653176
5,MWG,gate,12.8385854,13.4362022,12.42705,0.4115354,0.94080997,0.009201,0.0270152,True,1.0365138,0.6728187
6,true_net,dynamic,3.4584,3.3267698,3.5965898,-0.13819,0.16642,0.060149997,0.04228,True,1.0,0.26755154
6,true_net,gate,12.06784,11.72355,12.55853,-0.49067998,0.54445,0.05836,0.03876,True,1.0,0.26755154
6,MWG,dynamic,3.6620562999999997,3.5670223,3.5965898,0.0654665,0.16138,0.0200915,0.0274573,False,1.045877,0.1825879
6,MWG,gate,12.8020918,12.8330416,12.55853,0.2435618,0.56135,0.0227281,0.010173,True,0.7400527,0.163516
7,true_net,dynamic,3.5746,3.39846,3.51766,0.05695,0.14729999,0.0449,0.01783,True,1.0,0.25166982
7,true_net,gate,13.08648,12.64576,12.876309,0.21017,0.49330997,0.04164,0.01621,True,1.0,0.25166982
7,MWG,dynamic,3.5469812999999997,3.2302636,3.51766,0.0293213,0.35094,0.0076416,0.0107003,True,1.49139,1.3232372
7,MWG,gate,12.9607725,13.3014032,12.876309,0.0844635,1.2939999,0.0141628,0.0324095,True,1.0301655,0.3375178
8,true_net,dynamic,3.8009799,3.64355,3.79495,0.00603,0.1467,0.03869,0.00919,True,1.0,0.23989028
8,true_net,gate,12.71173,12.3312,12.70121,0.01052,0.45753,0.03603,0.00165,True,1.0,0.23989028
8,MWG,dynamic,3.897307,4.0895389,3.79495,0.102357,0.24459,0.0366038,0.0443049,False,1.24474,0.5103515
8,MWG,gate,13.013279599999999,13.8527579,12.70121,0.3120696,0.77437997,0.033588,0.0404253,True,1.134639,0.4548114
9,true_net,dynamic,3.81039,3.65135,3.6479099,0.16249,0.14209,0.05917,0.04975,True,1.0,0.32674026
9,true_net,gate,13.048599,12.65638,12.4890995,0.55948997,0.44377998,0.05718,0.04442,True,1.0,0.32674026
9,MWG,dynamic,3.9262842,4.931557,3.6479099,0.2783743,0.20109999,0.1342875,0.0174035,False,1.0562682,1.6521548
9,MWG,gate,12.6407668,18.6736532,12.4890995,0.1516673,0.68882,0.0679237,0.1211501,True,0.0,0.5249347
10,true_net,dynamic,4.2968197,4.16209,4.29834,-0.0015199999,0.16501999,0.03839,0.01419,True,1.0,0.27432844
10,true_net,gate,12.6082,12.17667,12.62405,-0.01585,0.44682,0.03542,0.0025,True,1.0,0.27432844
10,MWG,dynamic,4.325184999999999,5.1416205,4.29834,0.026845,0.57948,0.0086301,0.056826,True,1.244243,0.9655471
10,MWG,gate,12.756095,15.0286376,12.62405,0.132045,1.68977,0.080753,0.0414017,True,1.0849253,1.4352754
11,true_net,dynamic,3.7916899,3.5946898,3.79194,-0.00026,0.14957,0.03944,0.00354,True,1.0,0.24573967
11,true_net,gate,12.79224,12.36072,12.793139,-0.0009,0.45532,0.03559,0.00086,True,1.0,0.24573967
11,MWG,dynamic,4.1721994,6.0032082,3.79194,0.3802594,0.24706,0.1411442,0.1915553,True,0.7308299,1.0937311
11,MWG,gate,12.9549006,18.5523285,12.793139,0.1617616,0.80759996,0.1036677,0.0258842,True,0.0,1.6965038
12,true_net,dynamic,3.9589698,3.77697,3.6596198,0.29935,0.15974,0.092709996,0.08173,True,1.0,0.445283
12,true_net,gate,13.804379,13.40829,12.762919,1.0414599,0.52049,0.09122,0.08163,False,1.0,0.445283
12,MWG,dynamic,3.7050221000000003,3.5251386,3.6596198,0.0454023,0.26494,0.01431,0.0205569,True,1.27235,0.7013242
12,MWG,gate,12.8982507,12.6408208,12.762919,0.1353317,0.93173,0.0302096,0.012302,True,1.0258437,0.385918
13,true_net,dynamic,4.55568,4.3665,4.5752997,-0.019609999,0.1837,0.040379997,0.018199999,True,1.0,0.32481033
13,true_net,gate,13.536349,13.122339,13.58858,-0.05223,0.51131,0.03782,0.0036199999,True,1.0,0.32481033
13,MWG,dynamic,4.7887493,6.6121394,4.5752997,0.2134496,0.28781998,0.1567799,0.1018717,True,0.8347452,1.4007398
13,MWG,gate,13.8794704,18.5872711,13.58858,0.2908904,0.80605,0.0345192,0.0622568,False,0.0022516,0.6866633
14,true_net,dynamic,3.5035799,3.36072,3.59197,-0.0884,0.14194,0.04655,0.02673,True,1.0,0.28023055
14,true_net,gate,12.12212,11.78654,12.4333,-0.31118,0.45134,0.04409,0.02486,True,1.0,0.28023055
14,MWG,dynamic,3.6078759,3.7887128,3.59197,0.0159059,0.15447,0.0137866,0.0597119,False,1.2925264,0.5404623
14,MWG,gate,12.502547799999999,13.073067,12.4333,0.0692478,0.51190996,0.0199796,0.0263361,True,0.8618476,0.3346869
15,true_net,dynamic,4.1124897,3.96312,4.09043,0.022049999,0.16251999,0.0401,0.011279999,True,1.0,0.27641138
15,true_net,gate,12.656819,12.246059,12.58686,0.06996,0.47011,0.03776,0.00532,True,1.0,0.27641138
15,MWG,dynamic,4.204052099999999,4.5785179,4.09043,0.1136221,0.44254,0.0592024,0.0710074,True,1.4986,1.3620262
15,MWG,gate,12.6837546,13.0769763,12.58686,0.0968946,1.35917,0.0083867,0.0107123,True,1.1005465,0.6191202
16,true_net,dynamic,3.94972,3.78073,3.87816,0.07157,0.14212,0.041029997,0.01934,True,1.0,0.2747866
16,true_net,gate,13.78006,13.30968,13.528299,0.25176,0.45433998,0.038399998,0.01852,True,1.0,0.2747866
16,MWG,dynamic,3.9609113999999996,4.143463,3.87816,0.0827514,0.31377998,0.0251886,0.0471962,True,1.15569,0.5302613
16,MWG,gate,13.845407,14.7392322,13.528299,0.317108,1.09111,0.0181645,0.0387321,False,1.1511353,0.685337
17,true_net,dynamic,4.24228,4.08129,3.8996499,0.34263998,0.14802,0.095709994,0.09118,False,1.0,0.51368874
17,true_net,gate,13.83651,13.3602,12.71532,1.12119,0.44869,0.094969995,0.087859996,False,1.0,0.51368874
17,MWG,dynamic,4.1331209,5.6232762,3.8996499,0.233471,0.34151998,0.1439349,0.1391961,False,1.0873561,0.8027316
17,MWG,gate,14.049081300000001,17.0013212,12.71532,1.3337613,1.09532,0.1510582,0.016899,True,0.0240718,1.1891784
18,true_net,dynamic,4.16909,4.02573,4.20954,-0.04045,0.14565,0.03591,0.00955,True,1.0,0.23597357
18,true_net,gate,12.96701,12.59383,13.09258,-0.12558,0.41865,0.033379998,0.0095999995,True,1.0,0.23597357
18,MWG,dynamic,4.285141599999999,4.5958374,4.20954,0.0756016,0.27348998,0.0615395,0.0209327,False,1.28638,0.7361072
18,MWG,gate,13.1404194,14.7681768,13.09258,0.0478394,0.82513,0.031427,0.0433227,False,0.9086266,0.5963383
19,true_net,dynamic,4.33668,4.20286,4.2870297,0.04965,0.16670999,0.04058,0.01153,True,1.0,0.25627595
19,true_net,gate,13.785959,13.330339,13.62926,0.1567,0.50118,0.03853,0.0115,True,1.0,0.25627595
19,MWG,dynamic,4.4321192,5.1347011,4.2870297,0.1450895,0.5286,0.0158063,0.0402198,True,1.0816361,0.5403374
19,MWG,gate,13.842539,16.4313089,13.62926,0.213279,1.67417,0.0639142,0.0492186,True,0.6522381,0.5064683
20,true_net,dynamic,3.7947898,3.64326,3.6564798,0.13832,0.14920999,0.055639997,0.04057,True,1.0,0.3508348
20,true_net,gate,14.3525095,13.91362,13.828859,0.52365,0.51987,0.05336,0.037639998,True,1.0,0.3508348
20,MWG,dynamic,3.6597487,3.5785901,3.6564798,0.0032689,0.20238,0.0116538,0.0345355,True,1.13282,0.2754247
20,MWG,gate,13.939383099999999,13.7492018,13.828859,0.1105241,0.73162997,0.0065828,0.0169851,True,1.48141,0.6477942
21,true_net,dynamic,4.1851997,4.05938,4.2255497,-0.040349998,0.17152,0.041699998,0.0087,True,1.0,0.2536043
21,true_net,gate,12.91686,12.53348,13.03881,-0.12195,0.49600998,0.03917,0.00959,True,1.0,0.2536043
21,MWG,dynamic,4.239375,3.8646332,4.2255497,0.0138253,0.46073,0.0062669,0.0038871,True,1.24183,0.7936986
21,MWG,gate,13.1265524,12.6236499,13.03881,0.0877424,1.41738,0.0136661,0.0163373,True,1.2249704,0.7678965
22,true_net,dynamic,4.5672097,4.35946,4.13889,0.42832,0.17899999,0.11216,0.10754,False,1.0,0.5872325
22,true_net,gate,13.64024,13.20329,12.362289,1.2779399,0.50119,0.111039996,0.10301,False,1.0,0.5872325
22,MWG,dynamic,4.1628093,4.4521892,4.13889,0.0239193,0.45014998,0.0058177,0.0611751,True,1.32233,0.9957705
22,MWG,gate,12.383133200000001,12.6997482,12.362289,0.0208442,1.34819,0.0512944,0.0181047,True,1.1823828,0.7001503
23,true_net,dynamic,4.46262,4.29113,4.37521,0.087409995,0.17368999,0.044439998,0.02238,True,1.0,0.2495291
23,true_net,gate,13.177509,12.757529,12.925839,0.25168,0.47186998,0.04137,0.01922,True,1.0,0.2495291
23,MWG,dynamic,4.6043767,5.1153666,4.37521,0.2291667,0.47149,0.0078652,0.0566767,True,1.32053,1.0325816
23,MWG,gate,13.435789,14.8013379,12.925839,0.50995,1.35333,0.0365337,0.0347206,True,1.1460634,1.430573
24,true_net,dynamic,4.9260297,4.75799,4.82998,0.096049994,0.20182,0.04628,0.01918,True,1.0,0.2942431
24,true_net,gate,13.439159,12.99679,13.17624,0.26292,0.51991,0.04422,0.020019999,True,1.0,0.2942431
24,MWG,dynamic,4.9226014,5.2036819,4.82998,0.0926214,0.18724999,0.0261109,0.0464816,True,1.26635,0.3768827
24,MWG,gate,13.4554418,13.3868443,13.17624,0.2792018,0.47954997,0.009556,0.0192542,True,1.0015295,0.2920516
25,true_net,dynamic,4.37992,4.2661,4.05411,0.32581,0.16629,0.090229996,0.09189,False,1.0,0.5300293
25,true_net,gate,14.03056,13.557899,12.97816,1.0524,0.49725997,0.08969,0.08001,False,1.0,0.5300293
25,MWG,dynamic,4.1488178,5.2175254,4.05411,0.0947078,0.36354998,0.0425964,0.1201454,True,1.2579191,0.86592
25,MWG,gate,13.3657286,15.1281378,12.97816,0.3875686,1.1313599,0.0959513,0.0243487,True,0.6313306,0.848369
26,true_net,dynamic,3.5038998,3.33296,3.62825,-0.12435,0.16676,0.057329997,0.03884,True,1.0,0.2920651
26,true_net,gate,11.239699,10.943279,11.63816,-0.39846,0.49638999,0.05469,0.03388,True,1.0,0.2920651
26,MWG,dynamic,3.639574,3.4086718,3.62825,0.011324,0.38131,0.0209678,0.0282038,True,1.146,0.5584397
26,MWG,gate,11.728088799999998,11.1471363,11.63816,0.0899288,1.2094799,0.0335621,0.0132179,True,1.09525,0.453861
27,true_net,dynamic,4.4752097,4.3133698,4.45287,0.02235,0.18936999,0.04282,0.01487,True,1.0,0.33290234
27,true_net,gate,13.59585,13.16622,13.531859,0.06399,0.54473996,0.04053,0.00533,True,1.0,0.33290234
27,MWG,dynamic,4.4800496999999995,4.5419407,4.45287,0.0271797,0.57789,0.0444574,0.0429848,True,1.35628,1.0625018
27,MWG,gate,13.607633600000002,13.4163934,13.531859,0.0757746,1.71671,0.0364102,0.0185028,True,1.24849,0.8245414
